Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación),Columna_19
1,1,43832,,106.50225991388274,,49.602459016393446,,72.69948360591627,,46.65968175871562,,96.17770105924292,,1217.2556097560976,,140.0,,2950.0266260844387,
2,8,43839,,106.50225991388274,,49.602459016393446,,72.69948360591627,,46.65968175871562,,96.17770105924292,,1773.7180487804878,,140.0,,2972.285123645414,
3,15,43846,,106.50225991388274,,49.602459016393446,,72.69948360591627,,46.65968175871562,,96.17770105924292,,2608.4014634146342,,140.0,,3005.67246023078,
4,22,43853,,106.50225991388274,,49.602459016393446,,72.69948360591627,,46.65968175871562,,96.17770105924292,,2921.4039024390245,,140.0,,3018.1925577917555,
5,29,43860,,106.50225991388274,,49.602459016393446,,72.69948360591627,,46.65968175871562,,96.17770105924292,,3443.0951219512203,,140.0,,3039.0602065722433,
6,36,43867,,106.50225991388274,,49.602459016393446,,72.69948360591627,,46.65968175871562,,96.17770105924292,,4138.683414634147,,140.0,,3066.8837382795605,
7,43,43874,,106.50225991388274,,49.602459016393446,,72.69948360591627,,46.65968175871562,,96.17770105924292,,4556.026829268294,,140.0,,3083.5774748649264,
8,50,43881,,106.50225991388274,,49.602459016393446,,72.69948360591627,,46.65968175871562,,96.17770105924292,,5599.385365853658,,140.0,,3125.3118163283407,
9,57,43888,,106.50225991388274,,49.602459016393446,,72.69948360591627,,46.65968175871562,,96.17770105924292,,5808.060487804878,,140.0,,3133.65882120639,
10,64,43895,,106.50225991388274,,49.602459016393446,,72.69948360591627,,46.65968175871562,,96.17770105924292,,7060.111219512196,,140.0,,3183.7408504746822,
