Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación),Columna_19
1,1,43832,,15.214608559126107,,7.08606557377049,,10.385640515130898,,6.665668822673661,,13.739671579891848,,173.89365853658538,,140.0,,757.4323751549198,
2,8,43839,,15.214608559126107,,7.08606557377049,,10.385640515130898,,6.665668822673661,,13.739671579891848,,173.89365853658538,,140.0,,757.4323751549198,
3,15,43846,,15.214608559126107,,7.08606557377049,,10.385640515130898,,6.665668822673661,,13.739671579891848,,313.0092682926829,,140.0,,762.9969995451637,
4,22,43853,,15.214608559126107,,7.08606557377049,,10.385640515130898,,6.665668822673661,,13.739671579891848,,417.34341463414637,,140.0,,767.1703653988222,
5,29,43860,,15.214608559126107,,7.08606557377049,,10.385640515130898,,6.665668822673661,,13.739671579891848,,417.34341463414637,,140.0,,767.1703653988222,
6,36,43867,,15.214608559126107,,7.08606557377049,,10.385640515130898,,6.665668822673661,,13.739671579891848,,591.2404878048782,,140.0,,774.1262483256514,
7,43,43874,,15.214608559126107,,7.08606557377049,,10.385640515130898,,6.665668822673661,,13.739671579891848,,591.2404878048782,,140.0,,774.1262483256514,
8,50,43881,,15.214608559126107,,7.08606557377049,,10.385640515130898,,6.665668822673661,,13.739671579891848,,799.9121951219512,,140.0,,782.4731166183344,
9,57,43888,,15.214608559126107,,7.08606557377049,,10.385640515130898,,6.665668822673661,,13.739671579891848,,799.9121951219512,,140.0,,782.4731166183344,
10,64,43895,,15.214608559126107,,7.08606557377049,,10.385640515130898,,6.665668822673661,,13.739671579891848,,1008.5873170731708,,140.0,,790.8201214963832,
11,71,43902,,15.214608559126107,,7.08606557377049,,10.385640515130898,,6.665668822673661,,13.739671579891848,,1008.5873170731708,,140.0,,790.8201214963832,
12,78,43909,,15.214608559126107,,7.08606557377049,,10.385640515130898,,6.665668822673661,,13.739671579891848,,1008.5873170731708,,140.0,,790.8201214963832,
13,85,43916,,15.214608559126107,,7.08606557377049,,10.385640515130898,,6.665668822673661,,13.739671579891848,,1217.259024390244,,140.0,,799.1669897890661,
14,92,43923,,15.214608559126107,,7.08606557377049,,10.385640515130898,,6.665668822673661,,13.739671579891848,,1217.259024390244,,140.0,,799.1669897890661,
15,99,43930,,15.214608559126107,,7.08606557377049,,10.385640515130898,,6.665668822673661,,13.739671579891848,,1217.259024390244,,140.0,,799.1669897890661,
16,106,43937,,15.214608559126107,,7.08606557377049,,10.385640515130898,,6.665668822673661,,13.739671579891848,,1217.259024390244,,140.0,,799.1669897890661,
17,113,43944,,15.214608559126107,,7.08606557377049,,10.385640515130898,,6.665668822673661,,13.739671579891848,,1217.259024390244,,140.0,,799.1669897890661,
18,120,43951,,15.214608559126107,,7.08606557377049,,10.385640515130898,,6.665668822673661,,13.739671579891848,,1217.259024390244,,140.0,,799.1669897890661,
19,127,43958,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
20,134,43965,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
21,141,43972,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
22,148,43979,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
23,155,43986,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
24,162,43993,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
25,169,44000,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
26,176,44007,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
27,183,44014,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
28,190,44021,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
29,197,44028,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
30,204,44035,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
31,211,44042,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
32,218,44049,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
33,225,44056,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
34,232,44063,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
35,239,44070,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
36,246,44077,,12.799127544135668,,7.08606557377049,,15.80423556650354,,10.143409077981659,,20.908195882444115,,1217.259024390244,,140.0,,899.3838377158454,
