Semana,DDT,FECHA,Admin_col_3_Cambios,Columna_4,Admin_col_5_Cambios,Columna_6,Admin_col_7_Cambios,Columna_8,Admin_col_9_Cambios,Columna_10,Admin_col_11_Cambios,Columna_12,Admin_col_13_Cambios,Columna_14,Admin_col_15_Cambios,Columna_16,Admin_col_17_Cambios,Admin_Costo / Aplicación,Columna_19
1,1,43832,,456.43825677378305,,212.58196721311478,,311.56921545392686,,199.97006468020973,,412.19014739675566,,9355.465853658536,,140.0,,11520.517498550034,
2,31,43862,,471.65286533290913,,219.66803278688528,,321.95485596905775,,206.6357335028834,,425.92981897664754,,20902.064878048794,,140.0,,12340.8580883391,
3,62,43893,,456.43825677378305,,212.58196721311478,,311.56921545392686,,199.97006468020973,,412.19014739675566,,32344.3331707317,,140.0,,12440.07219123296,
4,92,43923,,471.65286533290913,,219.66803278688528,,321.95485596905775,,206.6357335028834,,425.92981897664754,,37735.02975609755,,140.0,,13014.17668346105,OJO
5,123,43954,,383.9738263240698,,212.58196721311478,,474.1270669951063,,304.30227233944976,,627.245876473323,,36517.770731707315,,140.0,,15613.51513147536,OJO Inicia la Floracion
6,153,43984,,396.77295386820543,,219.66803278688528,,489.9313025616098,,314.44568141743144,,648.1540723557671,,37735.02975609755,,140.0,,16120.898969191203,
7,184,44015,,383.9738263240698,,212.58196721311478,,474.1270669951063,,304.30227233944976,,627.245876473323,,36517.770731707315,,140.0,,15613.51513147536,
8,214,44045,,396.77295386820543,,219.66803278688528,,489.9313025616098,,314.44568141743144,,648.1540723557671,,37735.02975609755,,140.0,,16120.898969191203,
9,245,44076,,383.9738263240698,,212.58196721311478,,474.1270669951063,,304.30227233944976,,627.245876473323,,36517.770731707315,,140.0,,15613.51513147536,
10,275,44106,,396.77295386820543,,219.66803278688528,,489.9313025616098,,314.44568141743144,,648.1540723557671,,37735.02975609755,,140.0,,16120.898969191203,
11,306,44137,,383.9738263240698,,212.58196721311478,,474.1270669951063,,304.30227233944976,,627.245876473323,,36517.770731707315,,140.0,,15613.51513147536,
12,336,44167,,371.17469877993415,,205.4959016393443,,458.3228314286028,,294.1588632614681,,606.3376805908789,,35300.51170731707,,140.0,,15106.131293759512,
