Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
2,14,39133,,11.146977841964112,,22.18412207407408,,42.80487491536891,,29.533311281917708,,48.70064906915104,,427.70923317073175,,20.019999999999996,,642.1992598430814
4,28,39147,,19.711119354692645,,39.22802074074075,,75.69154710644503,,52.22353824241544,,86.11700140276707,,790.7621673170731,,20.019999999999996,,1098.2317304732992
6,42,39161,,14.59429608117486,,57.89514785185183,,111.71028331571884,,77.07473919915108,,127.09681586339421,,1084.1943307317076,,20.019999999999996,,1548.014120772451
8,56,39175,,17.647207806839017,,78.9971176296296,,152.42711555228928,,105.16740115024352,,173.4218235145379,,1452.2239439024388,,20.019999999999996,,2085.890477491343
10,70,39189,,22.36118797441931,,100.09908740740741,,193.1439477888596,,133.26006310133596,,219.74683116568156,,1840.148554146341,,20.019999999999996,,2629.710935131879
12,84,39203,,25.987326564865686,,116.33137185185184,,224.46458797083696,,154.86980306371476,,255.38145243579206,,2138.5520253658533,,20.019999999999996,,3048.0343617122844
14,98,39217,,29.61346515531208,,132.5636562962963,,255.78522815281428,,176.47954302609364,,291.01607370590256,,2436.952566829269,,20.019999999999996,,3466.357695712398
16,112,39231,,29.61346515531208,,132.5636562962963,,255.78522815281428,,176.47954302609364,,291.01607370590256,,2436.952566829269,,20.019999999999996,,3466.357695712398
18,126,39245,,29.61346515531208,,132.5636562962963,,255.78522815281428,,176.47954302609364,,291.01607370590256,,2436.952566829269,,20.019999999999996,,3466.357695712398
20,140,39259,,29.61346515531208,,132.5636562962963,,255.78522815281428,,176.47954302609364,,291.01607370590256,,2436.952566829269,,20.019999999999996,,3466.357695712398
22,154,39273,,29.61346515531208,,132.5636562962963,,255.78522815281428,,176.47954302609364,,291.01607370590256,,2436.952566829269,,20.019999999999996,,3466.357695712398
