Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,7,39126,,4.7578563959602915,,9.468832592592594,,18.270373439486733,,12.605681644720972,,20.786862407564474,,174.06755219512195,,20.019999999999996,,302.5283112666955
2,14,39133,,6.389121446003818,,12.715289481481483,,24.534501475882177,,16.92762963719673,,27.913786661586574,,253.64168097560975,,20.019999999999996,,389.72094857638615
3,21,39140,,9.243835283579998,,18.39658903703704,,35.49672553957422,,24.49103862402931,,40.38590410612525,,373.00140926829266,,20.019999999999996,,541.6793819608326
4,28,39147,,10.467284071112648,,20.831431703703707,,40.19482156687081,,27.732499618386136,,45.731097296641835,,417.7607580487805,,20.019999999999996,,606.6023485124665
5,35,39154,,7.402454543456223,,25.701117037037033,,49.591013621463986,,34.21542160709978,,56.421483677675,,492.36260243902444,,20.019999999999996,,718.3393823268297
6,42,39161,,7.191841537718633,,32.1940308148148,,62.11926969425489,,42.859317592051305,,70.67533218571921,,591.831728292683,,20.019999999999996,,879.7247384456211
7,49,39168,,7.9170692558079105,,35.44048770370369,,68.38339773065033,,47.18126558452707,,77.80225643974131,,651.5118365853659,,20.019999999999996,,963.3894052456434
8,56,39175,,9.730138551031105,,43.55662992592592,,84.04371782163895,,57.986135565716474,,95.61956707479659,,800.7121073170731,,20.019999999999996,,1172.5510722456997
9,63,39182,,10.092752410075743,,45.17985837037036,,87.17578183983667,,60.147109561954345,,99.18302920180763,,830.5526497560975,,20.019999999999996,,1214.3834210757598
10,70,39189,,12.268435564343566,,54.91922903703703,,105.968165949023,,73.1129535393816,,120.56380196387391,,1009.595904390244,,20.019999999999996,,1465.3775140561193
11,77,39196,,12.268435564343566,,54.91922903703703,,105.968165949023,,73.1129535393816,,120.56380196387391,,1009.595904390244,,20.019999999999996,,1465.3775140561193
12,84,39203,,13.718891000522122,,61.41214281481481,,118.49642202181391,,81.75684952433313,,134.81765047191814,,1128.9561209756096,,20.019999999999996,,1632.7068476561644
13,91,39210,,14.806732577656042,,66.28182814814815,,127.8926140764071,,88.23977151304679,,145.50803685295128,,1218.4762834146343,,20.019999999999996,,1758.2038478561983
14,98,39217,,14.806732577656042,,66.28182814814815,,127.8926140764071,,88.23977151304679,,145.50803685295128,,1218.4762834146343,,20.019999999999996,,1758.2038478561983
15,105,39224,,14.806732577656042,,66.28182814814815,,127.8926140764071,,88.23977151304679,,145.50803685295128,,1218.4762834146343,,20.019999999999996,,1758.2038478561983
16,112,39231,,14.806732577656042,,66.28182814814815,,127.8926140764071,,88.23977151304679,,145.50803685295128,,1218.4762834146343,,20.019999999999996,,1758.2038478561983
17,119,39238,,14.806732577656042,,66.28182814814815,,127.8926140764071,,88.23977151304679,,145.50803685295128,,1218.4762834146343,,20.019999999999996,,1758.2038478561983
18,126,39245,,14.806732577656042,,66.28182814814815,,127.8926140764071,,88.23977151304679,,145.50803685295128,,1218.4762834146343,,20.019999999999996,,1758.2038478561983
19,133,39252,,14.806732577656042,,66.28182814814815,,127.8926140764071,,88.23977151304679,,145.50803685295128,,1218.4762834146343,,20.019999999999996,,1758.2038478561983
20,140,39259,,14.806732577656042,,66.28182814814815,,127.8926140764071,,88.23977151304679,,145.50803685295128,,1218.4762834146343,,20.019999999999996,,1758.2038478561983
21,147,39266,,14.806732577656042,,66.28182814814815,,127.8926140764071,,88.23977151304679,,145.50803685295128,,1218.4762834146343,,20.019999999999996,,1758.2038478561983
22,154,39273,,14.806732577656042,,66.28182814814815,,127.8926140764071,,88.23977151304679,,145.50803685295128,,1218.4762834146343,,20.019999999999996,,1758.2038478561983
