Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39120,,1.3593875417029404,,2.705380740740741,,5.220106696996209,,3.6016233270631344,,5.93910354501842,,49.733586341463415,,20.019999999999996,,122.18666036191297
2,8,39127,,1.3593875417029404,,2.705380740740741,,5.220106696996209,,3.6016233270631344,,5.93910354501842,,49.733586341463415,,20.019999999999996,,122.18666036191297
3,15,39134,,2.175020066724704,,4.328609185185185,,8.352170715193934,,5.762597323301015,,9.502565672029473,,89.5206507317073,,20.019999999999996,,165.78297901675833
4,22,39141,,2.990652591746471,,5.9518376296296305,,11.48423473339166,,7.923571319538896,,13.066027799040524,,119.36021658536585,,20.019999999999996,,209.06495671784762
5,29,39148,,2.990652591746471,,5.9518376296296305,,11.48423473339166,,7.923571319538896,,13.066027799040524,,119.36021658536585,,20.019999999999996,,209.06495671784762
6,36,39155,,2.0548118679196095,,9.198294518518516,,17.74836276978711,,12.245519312014657,,20.19295205306263,,169.09477951219515,,20.019999999999996,,287.0999252701775
7,43,39162,,2.0548118679196095,,9.198294518518516,,17.74836276978711,,12.245519312014657,,20.19295205306263,,169.09477951219515,,20.019999999999996,,287.0999252701775
8,50,39169,,2.780039586008887,,12.444751407407406,,24.01249080618256,,16.56746730449042,,27.319876307084737,,228.774887804878,,20.019999999999996,,370.7645920701999
9,57,39176,,2.780039586008887,,12.444751407407406,,24.01249080618256,,16.56746730449042,,27.319876307084737,,228.774887804878,,20.019999999999996,,370.7645920701999
10,64,39183,,3.5052673040981612,,15.691208296296294,,30.276618842578003,,20.889415296966174,,34.44680056110683,,288.4559726829268,,20.019999999999996,,454.4292897303198
11,71,39190,,3.5052673040981612,,15.691208296296294,,30.276618842578003,,20.889415296966174,,34.44680056110683,,288.4559726829268,,20.019999999999996,,454.4292897303198
12,78,39197,,3.5052673040981612,,15.691208296296294,,30.276618842578003,,20.889415296966174,,34.44680056110683,,288.4559726829268,,20.019999999999996,,454.4292897303198
13,85,39204,,4.230495022187442,,18.937665185185185,,36.54074687897346,,25.211363289441945,,41.57372481512894,,348.13608097560973,,20.019999999999996,,538.0939565303424
14,92,39211,,4.230495022187442,,18.937665185185185,,36.54074687897346,,25.211363289441945,,41.57372481512894,,348.13608097560973,,20.019999999999996,,538.0939565303424
15,99,39218,,4.230495022187442,,18.937665185185185,,36.54074687897346,,25.211363289441945,,41.57372481512894,,348.13608097560973,,20.019999999999996,,538.0939565303424
16,106,39225,,4.230495022187442,,18.937665185185185,,36.54074687897346,,25.211363289441945,,41.57372481512894,,348.13608097560973,,20.019999999999996,,538.0939565303424
17,113,39232,,4.230495022187442,,18.937665185185185,,36.54074687897346,,25.211363289441945,,41.57372481512894,,348.13608097560973,,20.019999999999996,,538.0939565303424
18,120,39239,,4.230495022187442,,18.937665185185185,,36.54074687897346,,25.211363289441945,,41.57372481512894,,348.13608097560973,,20.019999999999996,,538.0939565303424
19,127,39246,,4.230495022187442,,18.937665185185185,,36.54074687897346,,25.211363289441945,,41.57372481512894,,348.13608097560973,,20.019999999999996,,538.0939565303424
20,134,39253,,4.230495022187442,,18.937665185185185,,36.54074687897346,,25.211363289441945,,41.57372481512894,,348.13608097560973,,20.019999999999996,,538.0939565303424
21,141,39260,,4.230495022187442,,18.937665185185185,,36.54074687897346,,25.211363289441945,,41.57372481512894,,348.13608097560973,,20.019999999999996,,538.0939565303424
22,148,39267,,4.230495022187442,,18.937665185185185,,36.54074687897346,,25.211363289441945,,41.57372481512894,,348.13608097560973,,20.019999999999996,,538.0939565303424
