Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39120,,0.6796937708514702,,1.3526903703703705,,2.6100533484981043,,1.8008116635315672,,2.96955177250921,,24.866793170731707,,20.019999999999996,,86.11833018095649
2,8,39127,,0.6796937708514702,,1.3526903703703705,,2.6100533484981043,,1.8008116635315672,,2.96955177250921,,24.866793170731707,,20.019999999999996,,86.11833018095649
3,15,39134,,1.087510033362352,,2.1643045925925923,,4.176085357596967,,2.8812986616505074,,4.751282836014736,,44.76032536585365,,20.019999999999996,,107.91648950837916
4,22,39141,,1.4953262958732354,,2.9759188148148152,,5.74211736669583,,3.961785659769448,,6.533013899520262,,59.680108292682924,,20.019999999999996,,129.55747835892382
5,29,39148,,1.4953262958732354,,2.9759188148148152,,5.74211736669583,,3.961785659769448,,6.533013899520262,,59.680108292682924,,20.019999999999996,,129.55747835892382
6,36,39155,,1.0274059339598047,,4.599147259259258,,8.874181384893555,,6.122759656007329,,10.096476026531315,,84.54738975609757,,20.019999999999996,,168.57496263508872
7,43,39162,,1.0274059339598047,,4.599147259259258,,8.874181384893555,,6.122759656007329,,10.096476026531315,,84.54738975609757,,20.019999999999996,,168.57496263508872
8,50,39169,,1.3900197930044436,,6.222375703703703,,12.00624540309128,,8.28373365224521,,13.659938153542369,,114.387443902439,,20.019999999999996,,210.40729603509993
9,57,39176,,1.3900197930044436,,6.222375703703703,,12.00624540309128,,8.28373365224521,,13.659938153542369,,114.387443902439,,20.019999999999996,,210.40729603509993
10,64,39183,,1.7526336520490806,,7.845604148148147,,15.138309421289001,,10.444707648483087,,17.223400280553417,,144.2279863414634,,20.019999999999996,,252.23964486515987
11,71,39190,,1.7526336520490806,,7.845604148148147,,15.138309421289001,,10.444707648483087,,17.223400280553417,,144.2279863414634,,20.019999999999996,,252.23964486515987
12,78,39197,,1.7526336520490806,,7.845604148148147,,15.138309421289001,,10.444707648483087,,17.223400280553417,,144.2279863414634,,20.019999999999996,,252.23964486515987
13,85,39204,,2.115247511093721,,9.468832592592593,,18.27037343948673,,12.605681644720972,,20.78686240756447,,174.06804048780486,,20.019999999999996,,294.0719782651712
14,92,39211,,2.115247511093721,,9.468832592592593,,18.27037343948673,,12.605681644720972,,20.78686240756447,,174.06804048780486,,20.019999999999996,,294.0719782651712
15,99,39218,,2.115247511093721,,9.468832592592593,,18.27037343948673,,12.605681644720972,,20.78686240756447,,174.06804048780486,,20.019999999999996,,294.0719782651712
16,106,39225,,2.115247511093721,,9.468832592592593,,18.27037343948673,,12.605681644720972,,20.78686240756447,,174.06804048780486,,20.019999999999996,,294.0719782651712
17,113,39232,,2.115247511093721,,9.468832592592593,,18.27037343948673,,12.605681644720972,,20.78686240756447,,174.06804048780486,,20.019999999999996,,294.0719782651712
18,120,39239,,2.115247511093721,,9.468832592592593,,18.27037343948673,,12.605681644720972,,20.78686240756447,,174.06804048780486,,20.019999999999996,,294.0719782651712
19,127,39246,,2.115247511093721,,9.468832592592593,,18.27037343948673,,12.605681644720972,,20.78686240756447,,174.06804048780486,,20.019999999999996,,294.0719782651712
20,134,39253,,2.115247511093721,,9.468832592592593,,18.27037343948673,,12.605681644720972,,20.78686240756447,,174.06804048780486,,20.019999999999996,,294.0719782651712
21,141,39260,,2.115247511093721,,9.468832592592593,,18.27037343948673,,12.605681644720972,,20.78686240756447,,174.06804048780486,,20.019999999999996,,294.0719782651712
22,148,39267,,2.115247511093721,,9.468832592592593,,18.27037343948673,,12.605681644720972,,20.78686240756447,,174.06804048780486,,20.019999999999996,,294.0719782651712
