Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,3,39122,,2.124043033910844,,4.227157407407407,,8.156416714056578,,5.627536448536148,,9.279849289091281,,87.03377609756097,,20.019999999999996,,163.0582033145622
2,10,39129,,2.852286359823135,,5.676468518518518,,10.95290244459026,,7.556977516605683,,12.461511902494005,,126.82084048780487,,20.019999999999996,,202.11819546010966
3,17,39136,,4.126712180169642,,8.212762962962962,,15.846752473024205,,10.93349938572737,,18.029421475948777,,186.50070463414633,,20.019999999999996,,270.15884076106164
4,24,39143,,4.672894674603859,,9.299746296296297,,17.94411677092447,,12.380580186779522,,20.415668436000818,,208.88037902439024,,20.019999999999996,,299.2180791549051
5,31,39150,,3.3046672069001,,11.473712962962962,,22.13884536672499,,15.27474178888383,,25.188162356104908,,246.18130121951222,,20.019999999999996,,349.22697380146366
6,38,39157,,3.2106435436243896,,14.372335185185182,,27.731816827792354,,19.1336239250229,,31.55148758291036,,295.9158641463415,,20.019999999999996,,421.44239480326206
7,45,39164,,3.534405917771388,,15.821646296296292,,30.528302558326043,,21.06306499309244,,34.73315019631308,,325.75591829268296,,20.019999999999996,,458.89372237945327
8,52,39171,,4.3438118531388845,,19.444924074074073,,37.519516884660256,,25.88666766326628,,42.6873067298199,,400.35605365853655,,20.019999999999996,,552.5220413199313
9,59,39178,,4.505693040212384,,20.169579629629627,,38.91775974992709,,26.851388197301045,,44.278138036521256,,415.27632487804874,,20.019999999999996,,571.2477128230512
10,66,39185,,5.47698016265338,,24.517512962962957,,47.307216941528125,,32.63971140150965,,53.82312587672942,,504.797952195122,,20.019999999999996,,683.601741841771
11,73,39192,,5.47698016265338,,24.517512962962957,,47.307216941528125,,32.63971140150965,,53.82312587672942,,504.797952195122,,20.019999999999996,,683.601741841771
12,80,39199,,6.124504910947375,,27.416135185185176,,52.900188402595504,,36.49859353764872,,60.18645110353488,,564.4780604878048,,20.019999999999996,,758.5043969941536
13,87,39206,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
14,94,39213,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
15,101,39220,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
16,108,39227,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
17,115,39234,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
18,122,39241,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
19,129,39248,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
20,136,39255,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
21,143,39262,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
22,150,39269,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
23,157,39276,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
24,164,39283,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
25,171,39290,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
26,178,39297,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
27,185,39304,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
28,192,39311,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
29,199,39318,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
30,206,39325,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
31,213,39332,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
32,220,39339,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
33,227,39346,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
34,234,39353,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
35,241,39360,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
36,248,39367,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
37,255,39374,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
38,262,39381,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
39,269,39388,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
40,276,39395,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
41,283,39402,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
42,290,39409,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
43,297,39416,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
44,304,39423,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
45,311,39430,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
46,318,39437,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
47,325,39444,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
48,332,39451,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
49,339,39458,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
50,346,39465,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
51,353,39472,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
52,360,39479,,6.610148472167871,,29.59010185185185,,57.09491699839603,,39.39275513975303,,64.95894502363896,,609.2381417073171,,20.019999999999996,,814.6813883584404
