Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,3,39608,Furadan 48 SC,15.701486443364837,,7.560506866956518,,15.266236101783335,,9.798112487619616,,0.0005453041523859821,,87.03377609756097,,20.019999999999996,3.788785,1885.1519694768579
2,10,39615,Actara 25 WG,24.871516878147442,,7.560506866956518,,22.943476222333334,,14.725486975613292,,0.0008195322521407821,,126.82084048780487,,20.019999999999996,400.4,1887.9313189585644
3,17,39622,,24.871516878147442,,7.560506866956518,,22.943476222333334,,14.725486975613292,,0.0008195322521407821,,186.50070463414633,,20.019999999999996,,589.0185135244183
4,24,39629,,33.599801660756135,,7.560506866956518,,30.444228064249998,,19.539588486871487,,0.0010874562576483457,,208.88037902439024,,20.019999999999996,,735.9340176421665
5,31,39636,BaZam,33.599801660756135,,7.560506866956518,,30.444228064249998,,19.539588486871487,,0.0010874562576483457,,246.18130121951222,,20.019999999999996,1.001,1117.806054529971
6,38,39643,,33.599801660756135,,7.560506866956518,,30.444228064249998,,19.539588486871487,,0.0010874562576483457,,295.9158641463415,,20.019999999999996,,739.4154370470444
7,45,39650,,30.745646008582227,,7.560506866956518,,30.444228064249998,,19.539588486871487,,0.0010874562576483457,,325.75591829268296,,20.019999999999996,,722.0570274737679
8,52,39657,,28.6909847042344,,7.560506866956518,,30.444228064249998,,19.539588486871487,,0.0010874562576483457,,400.35605365853655,,20.019999999999996,,711.6857344101411
9,59,39664,TricoZam,27.50675818249527,,7.560506866956518,,30.444228064249998,,19.539588486871487,,0.0010874562576483457,,415.27632487804874,,20.019999999999996,1.001,1084.965072867617
10,66,39671,,25.652949704234405,,7.560506866956518,,30.444228064249998,,19.539588486871487,,0.0010874562576483457,,504.797952195122,,20.019999999999996,,696.1161828516047
11,73,39678,,24.173720099829865,,11.340760300434779,,30.444228064249998,,19.539588486871487,,0.0010874562576483457,,504.797952195122,,20.019999999999996,,731.8642316247142
12,80,39685,,24.173720099829865,,11.340760300434779,,30.444228064249998,,19.539588486871487,,0.0010874562576483457,,564.4780604878048,,20.019999999999996,,734.2514359564213
13,87,39692,BaZam,24.173720099829865,,11.340760300434779,,30.444228064249998,,19.539588486871487,,0.0010874562576483457,,609.2381417073171,,20.019999999999996,1.001,1116.4218392052019
14,94,39699,,24.173720099829865,,11.340760300434779,,30.444228064249998,,19.539588486871487,,0.0010874562576483457,,609.2381417073171,,20.019999999999996,,736.041839205202
15,101,39706,,23.049242832873343,,11.340760300434779,,28.806360916666662,,18.488379371225516,,0.001028952265526185,,609.2381417073171,,20.019999999999996,,709.236108824208
