Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
2,1,39449,,36.73259039511727,,29.0482296452174,,60.46214648140331,,38.80556467998821,,79.98832950740979,,427.70923317073175,,20.019999999999996,,2260.097956918035
4,15,39463,,53.71097266515751,,29.0482296452174,,90.64426251847628,,58.17692551011996,,119.91772638297098,,790.7621673170731,,20.019999999999996,,3183.4808391798997
6,29,39477,,90.2675373937078,,29.0482296452174,,158.71313451368377,,101.86460728496904,,209.96936495695064,,1084.1943307317076,,20.019999999999996,,5233.673132016856
8,43,39491,,94.18586708852412,,29.0482296452174,,166.27090282385922,,106.71530286996762,,219.96790614537684,,1452.2239439024388,,20.019999999999996,,5473.812583845033
10,57,39505,,81.28632551559762,,29.0482296452174,,166.27090282385922,,106.71530286996762,,219.96790614537684,,1840.148554146341,,20.019999999999996,,5405.482548030767
12,71,39519,,63.164132577577746,,43.57234446782608,,166.27090282385922,,106.71530286996762,,219.96790614537684,,2138.5520253658533,,20.019999999999996,,5473.913810653723
14,85,39533,,57.17505970443326,,43.57234446782608,,166.27090282385922,,106.71530286996762,,219.96790614537684,,2436.952566829269,,20.019999999999996,,5446.9208586368195
16,99,39547,,57.17505970443326,,43.57234446782608,,166.27090282385922,,106.71530286996762,,219.96790614537684,,2436.952566829269,,20.019999999999996,,5446.9208586368195
18,113,39561,,57.17505970443326,,43.57234446782608,,166.27090282385922,,106.71530286996762,,219.96790614537684,,2436.952566829269,,20.019999999999996,,5446.9208586368195
20,127,39575,,57.17505970443326,,43.57234446782608,,166.27090282385922,,106.71530286996762,,219.96790614537684,,2436.952566829269,,20.019999999999996,,5446.9208586368195
22,141,39589,,57.17505970443326,,43.57234446782608,,166.27090282385922,,106.71530286996762,,219.96790614537684,,2436.952566829269,,20.019999999999996,,5446.9208586368195
24,155,39603,,57.17505970443326,,43.57234446782608,,166.27090282385922,,106.71530286996762,,219.96790614537684,,2436.952566829269,,20.019999999999996,,5446.9208586368195
26,169,39617,,57.17505970443326,,43.57234446782608,,166.27090282385922,,106.71530286996762,,219.96790614537684,,2436.952566829269,,20.019999999999996,,5446.9208586368195
28,183,39631,,57.17505970443326,,43.57234446782608,,166.27090282385922,,106.71530286996762,,219.96790614537684,,2436.952566829269,,20.019999999999996,,5446.9208586368195
30,197,39645,,57.17505970443326,,43.57234446782608,,166.27090282385922,,106.71530286996762,,219.96790614537684,,2436.952566829269,,20.019999999999996,,5446.9208586368195
32,211,39659,,57.17505970443326,,43.57234446782608,,166.27090282385922,,106.71530286996762,,219.96790614537684,,2436.952566829269,,20.019999999999996,,5446.9208586368195
