Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39449,,18.366295197558635,,14.524114822608695,,30.231073240701658,,19.40278233999411,,39.994164753704894,,174.06755219512195,,20.019999999999996,,1156.4854958834078
2,8,39456,,18.366295197558635,,14.524114822608695,,30.231073240701658,,19.40278233999411,,39.994164753704894,,253.64168097560975,,20.019999999999996,,1159.6684610346272
3,15,39463,,26.85548633257876,,14.524114822608695,,45.322131259238155,,29.08846275505999,,59.95886319148549,,373.00140926829266,,20.019999999999996,,1618.8732326143404
4,22,39470,,26.85548633257876,,14.524114822608695,,45.322131259238155,,29.08846275505999,,59.95886319148549,,417.7607580487805,,20.019999999999996,,1620.6636065655598
5,29,39477,,45.1337686968539,,14.524114822608695,,79.35656725684188,,50.93230364248453,,104.98468247847535,,492.36260243902444,,20.019999999999996,,2642.8751834913555
6,36,39484,,45.1337686968539,,14.524114822608695,,79.35656725684188,,50.93230364248453,,104.98468247847535,,591.831728292683,,20.019999999999996,,2646.853948525502
7,43,39491,,47.55363145758087,,14.524114822608695,,83.13545141192961,,53.357651434983794,,109.98395307268844,,651.5118365853659,,20.019999999999996,,2764.944822944455
8,50,39498,,46.632235630943256,,14.524114822608695,,83.13545141192961,,53.357651434983794,,109.98395307268844,,800.7121073170731,,20.019999999999996,,2764.923760900579
9,57,39505,,41.1038606711176,,14.524114822608695,,83.13545141192961,,53.357651434983794,,109.98395307268844,,830.5526497560975,,20.019999999999996,,2730.182945359273
10,64,39512,,40.182464844479995,,14.524114822608695,,83.13545141192961,,53.357651434983794,,109.98395307268844,,1009.595904390244,,20.019999999999996,,2731.3556026714946
11,71,39519,,31.812415245448275,,21.78617223391304,,83.13545141192961,,53.357651434983794,,109.98395307268844,,1009.595904390244,,20.019999999999996,,2764.0949692134404
12,78,39526,,31.351717332129468,,21.78617223391304,,83.13545141192961,,53.357651434983794,,109.98395307268844,,1128.9561209756096,,20.019999999999996,,2765.874841440283
13,85,39533,,28.58752985221663,,21.78617223391304,,83.13545141192961,,53.357651434983794,,109.98395307268844,,1218.4762834146343,,20.019999999999996,,2751.48842931841
14,92,39540,,28.58752985221663,,21.78617223391304,,83.13545141192961,,53.357651434983794,,109.98395307268844,,1218.4762834146343,,20.019999999999996,,2751.48842931841
15,99,39547,,28.58752985221663,,21.78617223391304,,83.13545141192961,,53.357651434983794,,109.98395307268844,,1218.4762834146343,,20.019999999999996,,2751.48842931841
16,106,39554,,28.58752985221663,,21.78617223391304,,83.13545141192961,,53.357651434983794,,109.98395307268844,,1218.4762834146343,,20.019999999999996,,2751.48842931841
17,113,39561,,28.58752985221663,,21.78617223391304,,83.13545141192961,,53.357651434983794,,109.98395307268844,,1218.4762834146343,,20.019999999999996,,2751.48842931841
18,120,39568,,28.58752985221663,,21.78617223391304,,83.13545141192961,,53.357651434983794,,109.98395307268844,,1218.4762834146343,,20.019999999999996,,2751.48842931841
19,127,39575,,28.58752985221663,,21.78617223391304,,83.13545141192961,,53.357651434983794,,109.98395307268844,,1218.4762834146343,,20.019999999999996,,2751.48842931841
20,134,39582,,28.58752985221663,,21.78617223391304,,83.13545141192961,,53.357651434983794,,109.98395307268844,,1218.4762834146343,,20.019999999999996,,2751.48842931841
21,141,39589,,28.58752985221663,,21.78617223391304,,83.13545141192961,,53.357651434983794,,109.98395307268844,,1218.4762834146343,,20.019999999999996,,2751.48842931841
22,148,39596,,28.58752985221663,,21.78617223391304,,83.13545141192961,,53.357651434983794,,109.98395307268844,,1218.4762834146343,,20.019999999999996,,2751.48842931841
23,155,39603,,28.58752985221663,,21.78617223391304,,83.13545141192961,,53.357651434983794,,109.98395307268844,,1218.4762834146343,,20.019999999999996,,2751.48842931841
24,162,39610,,28.58752985221663,,21.78617223391304,,83.13545141192961,,53.357651434983794,,109.98395307268844,,1218.4762834146343,,20.019999999999996,,2751.48842931841
25,169,39617,,28.58752985221663,,21.78617223391304,,83.13545141192961,,53.357651434983794,,109.98395307268844,,1218.4762834146343,,20.019999999999996,,2751.48842931841
26,176,39624,,28.58752985221663,,21.78617223391304,,83.13545141192961,,53.357651434983794,,109.98395307268844,,1218.4762834146343,,20.019999999999996,,2751.48842931841
27,183,39631,,28.58752985221663,,21.78617223391304,,83.13545141192961,,53.357651434983794,,109.98395307268844,,1218.4762834146343,,20.019999999999996,,2751.48842931841
28,190,39638,,28.58752985221663,,21.78617223391304,,83.13545141192961,,53.357651434983794,,109.98395307268844,,1218.4762834146343,,20.019999999999996,,2751.48842931841
29,197,39645,,28.58752985221663,,21.78617223391304,,83.13545141192961,,53.357651434983794,,109.98395307268844,,1218.4762834146343,,20.019999999999996,,2751.48842931841
30,204,39652,,28.58752985221663,,21.78617223391304,,83.13545141192961,,53.357651434983794,,109.98395307268844,,1218.4762834146343,,20.019999999999996,,2751.48842931841
31,211,39659,,28.58752985221663,,21.78617223391304,,83.13545141192961,,53.357651434983794,,109.98395307268844,,1218.4762834146343,,20.019999999999996,,2751.48842931841
32,218,39666,,28.58752985221663,,21.78617223391304,,83.13545141192961,,53.357651434983794,,109.98395307268844,,1218.4762834146343,,20.019999999999996,,2751.48842931841
