Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl (Lbs),Admin_Kcl_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39449,,5.2475129135881815,,4.149747092173913,,8.637449497343333,,5.543652097141174,,11.426904215344255,,49.733586341463415,,20.019999999999996,,370.46442739525935
2,8,39456,,5.2475129135881815,,4.149747092173913,,8.637449497343333,,5.543652097141174,,11.426904215344255,,49.733586341463415,,20.019999999999996,,370.46442739525935
3,15,39463,,7.672996095022504,,4.149747092173913,,12.94918035978233,,8.310989358588568,,17.131103768995857,,89.5206507317073,,20.019999999999996,,501.8931620988707
4,22,39470,,7.672996095022504,,4.149747092173913,,12.94918035978233,,8.310989358588568,,17.131103768995857,,119.36021658536585,,20.019999999999996,,503.08674473301704
5,29,39477,,12.8953624848154,,4.149747092173913,,22.67330493052625,,14.55208675499558,,29.99562356527867,,119.36021658536585,,20.019999999999996,,794.2946027759274
6,36,39484,,12.8953624848154,,4.149747092173913,,22.67330493052625,,14.55208675499558,,29.99562356527867,,169.09477951219515,,20.019999999999996,,796.2839852930006
7,43,39491,,13.586751845023105,,4.149747092173913,,23.75298611769417,,15.245043267138229,,31.423986592196698,,169.09477951219515,,20.019999999999996,,829.3421767464993
8,50,39498,,13.586751845023105,,4.149747092173913,,23.75298611769417,,15.245043267138229,,31.423986592196698,,228.774887804878,,20.019999999999996,,831.7293810782066
9,57,39505,,11.743960191747888,,4.149747092173913,,23.75298611769417,,15.245043267138229,,31.423986592196698,,228.774887804878,,20.019999999999996,,819.7512353319178
10,64,39512,,11.743960191747888,,4.149747092173913,,23.75298611769417,,15.245043267138229,,31.423986592196698,,288.4559726829268,,20.019999999999996,,822.1384787270397
11,71,39519,,9.089261498699507,,6.224620638260869,,23.75298611769417,,15.245043267138229,,31.423986592196698,,288.4559726829268,,20.019999999999996,,829.7814197752687
12,78,39526,,9.089261498699507,,6.224620638260869,,23.75298611769417,,15.245043267138229,,31.423986592196698,,288.4559726829268,,20.019999999999996,,829.7814197752687
13,85,39533,,8.167865672061895,,6.224620638260869,,23.75298611769417,,15.245043267138229,,31.423986592196698,,348.13608097560973,,20.019999999999996,,826.1795512338315
14,92,39540,,8.167865672061895,,6.224620638260869,,23.75298611769417,,15.245043267138229,,31.423986592196698,,348.13608097560973,,20.019999999999996,,826.1795512338315
15,99,39547,,8.167865672061895,,6.224620638260869,,23.75298611769417,,15.245043267138229,,31.423986592196698,,348.13608097560973,,20.019999999999996,,826.1795512338315
16,106,39554,,8.167865672061895,,6.224620638260869,,23.75298611769417,,15.245043267138229,,31.423986592196698,,348.13608097560973,,20.019999999999996,,826.1795512338315
17,113,39561,,8.167865672061895,,6.224620638260869,,23.75298611769417,,15.245043267138229,,31.423986592196698,,348.13608097560973,,20.019999999999996,,826.1795512338315
18,120,39568,,8.167865672061895,,6.224620638260869,,23.75298611769417,,15.245043267138229,,31.423986592196698,,348.13608097560973,,20.019999999999996,,826.1795512338315
19,127,39575,,8.167865672061895,,6.224620638260869,,23.75298611769417,,15.245043267138229,,31.423986592196698,,348.13608097560973,,20.019999999999996,,826.1795512338315
20,134,39582,,8.167865672061895,,6.224620638260869,,23.75298611769417,,15.245043267138229,,31.423986592196698,,348.13608097560973,,20.019999999999996,,826.1795512338315
21,141,39589,,8.167865672061895,,6.224620638260869,,23.75298611769417,,15.245043267138229,,31.423986592196698,,348.13608097560973,,20.019999999999996,,826.1795512338315
22,148,39596,,8.167865672061895,,6.224620638260869,,23.75298611769417,,15.245043267138229,,31.423986592196698,,348.13608097560973,,20.019999999999996,,826.1795512338315
23,155,39603,,8.167865672061895,,6.224620638260869,,23.75298611769417,,15.245043267138229,,31.423986592196698,,348.13608097560973,,20.019999999999996,,826.1795512338315
24,162,39610,,8.167865672061895,,6.224620638260869,,23.75298611769417,,15.245043267138229,,31.423986592196698,,348.13608097560973,,20.019999999999996,,826.1795512338315
25,169,39617,,8.167865672061895,,6.224620638260869,,23.75298611769417,,15.245043267138229,,31.423986592196698,,348.13608097560973,,20.019999999999996,,826.1795512338315
26,176,39624,,8.167865672061895,,6.224620638260869,,23.75298611769417,,15.245043267138229,,31.423986592196698,,348.13608097560973,,20.019999999999996,,826.1795512338315
27,183,39631,,8.167865672061895,,6.224620638260869,,23.75298611769417,,15.245043267138229,,31.423986592196698,,348.13608097560973,,20.019999999999996,,826.1795512338315
28,190,39638,,8.167865672061895,,6.224620638260869,,23.75298611769417,,15.245043267138229,,31.423986592196698,,348.13608097560973,,20.019999999999996,,826.1795512338315
29,197,39645,,8.167865672061895,,6.224620638260869,,23.75298611769417,,15.245043267138229,,31.423986592196698,,348.13608097560973,,20.019999999999996,,826.1795512338315
30,204,39652,,8.167865672061895,,6.224620638260869,,23.75298611769417,,15.245043267138229,,31.423986592196698,,348.13608097560973,,20.019999999999996,,826.1795512338315
31,211,39659,,8.167865672061895,,6.224620638260869,,23.75298611769417,,15.245043267138229,,31.423986592196698,,348.13608097560973,,20.019999999999996,,826.1795512338315
32,218,39666,,8.167865672061895,,6.224620638260869,,23.75298611769417,,15.245043267138229,,31.423986592196698,,348.13608097560973,,20.019999999999996,,826.1795512338315
