Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39449,,2.6237564567940908,,2.0748735460869563,,4.3187247486716664,,2.771826048570587,,5.713452107672127,,24.866793170731707,,20.019999999999996,,213.26021369762967
2,8,39456,,2.6237564567940908,,2.0748735460869563,,4.3187247486716664,,2.771826048570587,,5.713452107672127,,24.866793170731707,,20.019999999999996,,213.26021369762967
3,15,39463,,3.836498047511252,,2.0748735460869563,,6.474590179891165,,4.155494679294284,,8.565551884497928,,44.76032536585365,,20.019999999999996,,278.9745810494353
4,22,39470,,3.836498047511252,,2.0748735460869563,,6.474590179891165,,4.155494679294284,,8.565551884497928,,59.680108292682924,,20.019999999999996,,279.5713723665085
5,29,39477,,6.4476812424077,,2.0748735460869563,,11.336652465263125,,7.27604337749779,,14.997811782639335,,59.680108292682924,,20.019999999999996,,425.17530138796366
6,36,39484,,6.4476812424077,,2.0748735460869563,,11.336652465263125,,7.27604337749779,,14.997811782639335,,84.54738975609757,,20.019999999999996,,426.16999264650025
7,43,39491,,6.793375922511553,,2.0748735460869563,,11.876493058847085,,7.622521633569114,,15.711993296098349,,84.54738975609757,,20.019999999999996,,442.69908837324965
8,50,39498,,6.793375922511553,,2.0748735460869563,,11.876493058847085,,7.622521633569114,,15.711993296098349,,114.387443902439,,20.019999999999996,,443.8926905391033
9,57,39505,,5.871980095873944,,2.0748735460869563,,11.876493058847085,,7.622521633569114,,15.711993296098349,,114.387443902439,,20.019999999999996,,437.90361766595885
10,64,39512,,5.871980095873944,,2.0748735460869563,,11.876493058847085,,7.622521633569114,,15.711993296098349,,144.2279863414634,,20.019999999999996,,439.09723936351986
11,71,39519,,4.5446307493497535,,3.1123103191304344,,11.876493058847085,,7.622521633569114,,15.711993296098349,,144.2279863414634,,20.019999999999996,,442.91870988763435
12,78,39526,,4.5446307493497535,,3.1123103191304344,,11.876493058847085,,7.622521633569114,,15.711993296098349,,144.2279863414634,,20.019999999999996,,442.91870988763435
13,85,39533,,4.0839328360309475,,3.1123103191304344,,11.876493058847085,,7.622521633569114,,15.711993296098349,,174.06804048780486,,20.019999999999996,,441.11777561691576
14,92,39540,,4.0839328360309475,,3.1123103191304344,,11.876493058847085,,7.622521633569114,,15.711993296098349,,174.06804048780486,,20.019999999999996,,441.11777561691576
15,99,39547,,4.0839328360309475,,3.1123103191304344,,11.876493058847085,,7.622521633569114,,15.711993296098349,,174.06804048780486,,20.019999999999996,,441.11777561691576
