Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sin Magnecio,Sin Magnecio (Cambios),Sin Calcio,Sin Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39449,,30.03778858583905,,7.449418564471264,,22.82424151881889,,0.0001875066912199941,,0.000652218587072347,,174.06755219512195,,20.019999999999996,,335.12707661615104
2,8,39456,,38.620013896078774,,9.57782386860591,,29.345453381338576,,0.0002410800315685638,,0.0008385667548073034,,253.64168097560975,,20.019999999999996,,416.05529163261224
3,15,39463,,49.29701262173479,,13.302533150841544,,40.75757414074803,,0.00033483337717856083,,0.001164676048343477,,373.00140926829266,,20.019999999999996,,539.2991909810755
4,22,39470,,55.212654136342955,,14.898837128942528,,45.64848303763778,,0.0003750133824399882,,0.001304437174144694,,417.7607580487805,,20.019999999999996,,597.2883410855363
5,29,39477,,61.13895919408092,,18.091445085144496,,55.430300831417306,,0.00045537339296284273,,0.0015839594257471285,,492.36260243902444,,20.019999999999996,,688.7548063831409
6,36,39484,,75.5245966515117,,22.34825569341379,,68.47272455645667,,0.0005625200736599822,,0.001956655761217041,,591.831728292683,,20.019999999999996,,836.9698778374236
7,43,39491,,78.72287145834468,,24.47666099754844,,74.99393641897636,,0.0006160934140085519,,0.0021430039289519975,,651.5118365853659,,20.019999999999996,,895.2973324955756
8,50,39498,,95.83653916668048,,29.797674257885056,,91.29696607527556,,0.0007500267648799764,,0.002608874348289388,,800.7121073170731,,20.019999999999996,,1078.043790940531
9,57,39505,,94.21488501432121,,35.473421735577446,,106.33198231386262,,0.00087354307735029,,0.003038510401678315,,830.5526497560975,,20.019999999999996,,1175.6221312528908
10,64,39512,,115.34374392355146,,49.662790429808446,,145.82154303689845,,0.00119795941612774,,0.004166952084073328,,1009.595904390244,,20.019999999999996,,1535.1708046780518
11,71,39519,,113.12455285583899,,49.662790429808446,,145.82154303689845,,0.00119795941612774,,0.004166952084073328,,1009.595904390244,,20.019999999999996,,1526.1830808538161
