Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sin Magnecio,Admin_Kcl Soluble_Cambios_1,Sin Calcio,Admin_Kcl Soluble_Cambios_2,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39449,,4.291112655119864,,1.0642026520673233,,3.260605931259842,,2.678667017428487e-05,,9.317408386747813e-05,,24.866793170731707,,20.019999999999996,,95.92329665945013
2,8,39456,,4.291112655119864,,1.0642026520673233,,3.260605931259842,,2.678667017428487e-05,,9.317408386747813e-05,,24.866793170731707,,20.019999999999996,,95.92329665945013
3,15,39463,,5.915641514608175,,1.5963039781009853,,4.890908896889763,,4.01800052614273e-05,,0.00013976112580121723,,44.76032536585365,,20.019999999999996,,114.04518916787538
4,22,39470,,7.887522019477566,,2.1284053041346467,,6.521211862519684,,5.357334034856974e-05,,0.00018634816773495627,,59.680108292682924,,20.019999999999996,,133.3749058693623
5,29,39477,,7.1928187287154035,,2.1284053041346467,,6.521211862519684,,5.357334034856974e-05,,0.00018634816773495627,,59.680108292682924,,20.019999999999996,,130.56135754177555
6,36,39484,,10.7892280930731,,3.1926079562019707,,9.781817793779526,,8.03600105228546e-05,,0.00027952225160243445,,84.54738975609757,,20.019999999999996,,167.61512540534625
7,43,39491,,10.268200625001478,,3.1926079562019707,,9.781817793779526,,8.03600105228546e-05,,0.00027952225160243445,,84.54738975609757,,20.019999999999996,,165.5049641596562
8,50,39498,,13.690934166668642,,4.256810608269293,,13.042423725039368,,0.00010714668069713948,,0.00037269633546991253,,114.387443902439,,20.019999999999996,,202.05425584864724
9,57,39505,,11.606824294382152,,4.256810608269293,,13.042423725039368,,0.00010714668069713948,,0.00037269633546991253,,114.387443902439,,20.019999999999996,,193.61361086588698
10,64,39512,,18.379841475689464,,7.094684347115491,,20.831649005271206,,0.00017113705944682002,,0.0005952788691533325,,144.2279863414634,,20.019999999999996,,275.0618782319235
11,71,39519,,16.160650407977,,7.094684347115491,,20.831649005271206,,0.00017113705944682002,,0.0005952788691533325,,144.2279863414634,,20.019999999999996,,266.07415440768796
