Fase,Día Después Siembra,Semana,N,P2O5,K20,MgO,Ca,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O
,1.0,1,1.6274517650722007,0.48904417577519366,1.954409149606299,0.26759910264020853,0.9308100286461354,5.0926,2.8,0.4,0.4
,2.0,1,1.6274517650722007,0.48904417577519366,1.954409149606299,0.26759910264020853,0.9308100286461354,5.0926,2.8,0.4,0.4
,3.0,1,1.6274517650722007,0.48904417577519366,1.954409149606299,0.26759910264020853,0.9308100286461354,5.0926,2.8,0.4,0.4
,4.0,1,1.6274517650722007,0.48904417577519366,1.954409149606299,0.26759910264020853,0.9308100286461354,5.0926,2.8,0.4,0.4
,5.0,1,1.6274517650722007,0.48904417577519366,1.954409149606299,0.26759910264020853,0.9308100286461354,5.0926,2.8,0.4,0.4
,6.0,1,1.6274517650722007,0.48904417577519366,1.954409149606299,0.26759910264020853,0.9308100286461354,5.0926,2.8,0.4,0.4
,7.0,1,1.6274517650722007,0.48904417577519366,1.954409149606299,0.26759910264020853,0.9308100286461354,5.0926,2.8,0.4,0.4
,8.0,2,1.6274517650722007,0.48904417577519366,1.954409149606299,0.26759910264020853,0.9308100286461354,5.0926,2.8,0.4,0.4
,9.0,2,1.6274517650722007,0.48904417577519366,1.954409149606299,0.26759910264020853,0.9308100286461354,5.0926,2.8,0.4,0.4
,10.0,2,1.6274517650722007,0.48904417577519366,1.954409149606299,0.26759910264020853,0.9308100286461354,5.0926,2.8,0.4,0.4
,11.0,2,2.441177647608301,0.7335662636627905,2.9316137244094485,0.40139865396031277,1.396215042969203,9.1667,2.8,0.4,0.4
,12.0,2,2.441177647608301,0.7335662636627905,2.9316137244094485,0.40139865396031277,1.396215042969203,9.1667,2.8,0.4,0.4
,13.0,2,2.441177647608301,0.7335662636627905,2.9316137244094485,0.40139865396031277,1.396215042969203,9.1667,2.8,0.4,0.4
,14.0,2,2.441177647608301,0.7335662636627905,2.9316137244094485,0.40139865396031277,1.396215042969203,9.1667,2.8,0.4,0.4
,15.0,3,2.26680781563628,0.7335662636627905,2.9316137244094485,0.40139865396031277,1.396215042969203,9.1667,2.6,0.4,0.4
,16.0,3,2.26680781563628,0.7335662636627905,2.9316137244094485,0.40139865396031277,1.396215042969203,9.1667,2.6,0.4,0.4
,17.0,3,2.26680781563628,0.7335662636627905,2.9316137244094485,0.40139865396031277,1.396215042969203,9.1667,2.6,0.4,0.4
,18.0,3,3.022410420848373,0.9780883515503873,3.908818299212598,0.5351982052804171,1.8616200572922708,12.2222,2.6,0.4,0.4
,19.0,3,3.022410420848373,0.9780883515503873,3.908818299212598,0.5351982052804171,1.8616200572922708,12.2222,2.6,0.4,0.4
,20.0,3,3.022410420848373,0.9780883515503873,3.908818299212598,0.5351982052804171,1.8616200572922708,12.2222,2.6,0.4,0.4
,21.0,3,3.022410420848373,0.9780883515503873,3.908818299212598,0.5351982052804171,1.8616200572922708,12.2222,2.6,0.4,0.4
,22.0,4,3.022410420848373,0.9780883515503873,3.908818299212598,0.5351982052804171,1.8616200572922708,12.2222,2.6,0.4,0.4
,23.0,4,3.022410420848373,0.9780883515503873,3.908818299212598,0.5351982052804171,1.8616200572922708,12.2222,2.6,0.4,0.4
,24.0,4,3.022410420848373,0.9780883515503873,3.908818299212598,0.5351982052804171,1.8616200572922708,12.2222,2.6,0.4,0.4
,25.0,4,3.022410420848373,0.9780883515503873,3.908818299212598,0.5351982052804171,1.8616200572922708,12.2222,2.6,0.4,0.4
,26.0,4,3.022410420848373,0.9780883515503873,3.908818299212598,0.5351982052804171,1.8616200572922708,12.2222,2.6,0.4,0.4
,27.0,4,3.022410420848373,0.9780883515503873,3.908818299212598,0.5351982052804171,1.8616200572922708,12.2222,2.6,0.4,0.4
,28.0,4,3.022410420848373,0.9780883515503873,3.908818299212598,0.5351982052804171,1.8616200572922708,12.2222,2.6,0.4,0.4
,29.0,5,2.7899173115523443,0.9780883515503873,3.908818299212598,0.5351982052804171,1.8616200572922708,12.2222,2.4,0.4,0.4
,30.0,5,2.7899173115523443,0.9780883515503873,3.908818299212598,0.5351982052804171,1.8616200572922708,12.2222,2.4,0.4,0.4
,31.0,5,2.7899173115523443,0.9780883515503873,3.908818299212598,0.5351982052804171,1.8616200572922708,12.2222,2.4,0.4,0.4
,32.0,5,2.7899173115523443,0.9780883515503873,3.908818299212598,0.5351982052804171,1.8616200572922708,12.2222,2.4,0.4,0.4
,33.0,5,4.184875967328516,1.467132527325581,5.863227448818897,0.8027973079206255,2.792430085938406,17.3149,2.4,0.4,0.4
,34.0,5,4.184875967328516,1.467132527325581,5.863227448818897,0.8027973079206255,2.792430085938406,17.3149,2.4,0.4,0.4
,35.0,5,4.184875967328516,1.467132527325581,5.863227448818897,0.8027973079206255,2.792430085938406,17.3149,2.4,0.4,0.4
,36.0,6,4.184875967328516,1.467132527325581,5.863227448818897,0.8027973079206255,2.792430085938406,17.3149,2.4,0.4,0.4
,37.0,6,4.184875967328516,1.467132527325581,5.863227448818897,0.8027973079206255,2.792430085938406,17.3149,2.4,0.4,0.4
,38.0,6,4.184875967328516,1.467132527325581,5.863227448818897,0.8027973079206255,2.792430085938406,17.3149,2.4,0.4,0.4
,39.0,6,4.184875967328516,1.467132527325581,5.863227448818897,0.8027973079206255,2.792430085938406,17.3149,2.4,0.4,0.4
,40.0,6,4.184875967328516,1.467132527325581,5.863227448818897,0.8027973079206255,2.792430085938406,17.3149,2.4,0.4,0.4
,41.0,6,4.184875967328516,1.467132527325581,5.863227448818897,0.8027973079206255,2.792430085938406,17.3149,2.4,0.4,0.4
,42.0,6,4.184875967328516,1.467132527325581,5.863227448818897,0.8027973079206255,2.792430085938406,17.3149,2.4,0.4,0.4
,43.0,7,4.010506135356494,1.467132527325581,5.863227448818897,0.8027973079206255,2.792430085938406,17.3149,2.3,0.4,0.4
,44.0,7,4.010506135356494,1.467132527325581,5.863227448818897,0.8027973079206255,2.792430085938406,17.3149,2.3,0.4,0.4
,45.0,7,4.010506135356494,1.467132527325581,5.863227448818897,0.8027973079206255,2.792430085938406,17.3149,2.3,0.4,0.4
,46.0,7,4.010506135356494,1.467132527325581,5.863227448818897,0.8027973079206255,2.792430085938406,17.3149,2.3,0.4,0.4
,47.0,7,4.010506135356494,1.467132527325581,5.863227448818897,0.8027973079206255,2.792430085938406,17.3149,2.3,0.4,0.4
,48.0,7,5.34734151380866,1.9561767031007746,7.817636598425196,1.0703964105608341,3.7232401145845415,23.426,2.3,0.4,0.4
,49.0,7,5.34734151380866,1.9561767031007746,7.817636598425196,1.0703964105608341,3.7232401145845415,23.426,2.3,0.4,0.4
,50.0,8,5.34734151380866,1.9561767031007746,7.817636598425196,1.0703964105608341,3.7232401145845415,23.426,2.3,0.4,0.4
,51.0,8,5.34734151380866,1.9561767031007746,7.817636598425196,1.0703964105608341,3.7232401145845415,23.426,2.3,0.4,0.4
,52.0,8,5.34734151380866,1.9561767031007746,7.817636598425196,1.0703964105608341,3.7232401145845415,23.426,2.3,0.4,0.4
,53.0,8,5.34734151380866,1.9561767031007746,7.817636598425196,1.0703964105608341,3.7232401145845415,23.426,2.3,0.4,0.4
,54.0,8,5.34734151380866,1.9561767031007746,7.817636598425196,1.0703964105608341,3.7232401145845415,23.426,2.3,0.4,0.4
,55.0,8,5.34734151380866,1.9561767031007746,7.817636598425196,1.0703964105608341,3.7232401145845415,23.426,2.3,0.4,0.4
,56.0,8,5.34734151380866,1.9561767031007746,7.817636598425196,1.0703964105608341,3.7232401145845415,23.426,2.3,0.4,0.4
,57.0,9,4.649862185920574,1.9561767031007746,7.817636598425196,1.0703964105608341,3.7232401145845415,23.426,2,0.4,0.4
,58.0,9,4.649862185920574,1.9561767031007746,7.817636598425196,1.0703964105608341,3.7232401145845415,23.426,2,0.4,0.4
,59.0,9,4.649862185920574,1.9561767031007746,7.817636598425196,1.0703964105608341,3.7232401145845415,23.426,2,0.4,0.4
,60.0,9,4.649862185920574,1.9561767031007746,7.817636598425196,1.0703964105608341,3.7232401145845415,23.426,2,0.4,0.4
,61.0,9,5.94149057089851,2.6082356041343666,9.989202320209971,1.3677287468277324,4.757473479746913,23.426,2,0.4,0.4
,62.0,9,5.94149057089851,2.6082356041343666,9.989202320209971,1.3677287468277324,4.757473479746913,23.426,2,0.4,0.4
,63.0,9,7.426863213623137,3.2602945051679586,12.486502900262463,1.7096609335346657,5.946841849683643,29.5372,2,0.4,0.4000000000000001
,64.0,10,7.426863213623137,3.2602945051679586,12.486502900262463,1.7096609335346657,5.946841849683643,29.5372,2,0.4,0.4000000000000001
,65.0,10,6.684176892260823,3.2602945051679586,12.486502900262463,1.7096609335346657,5.946841849683643,29.5372,1.8,0.4,0.4000000000000001
,66.0,10,6.684176892260823,3.2602945051679586,12.486502900262463,1.7096609335346657,5.946841849683643,29.5372,1.8,0.4,0.4000000000000001
,67.0,10,6.684176892260823,3.2602945051679586,12.486502900262463,1.7096609335346657,5.946841849683643,29.5372,1.8,0.4,0.4000000000000001
,68.0,10,6.684176892260823,3.2602945051679586,12.486502900262463,1.7096609335346657,5.946841849683643,29.5372,1.8,0.4,0.4000000000000001
,69.0,10,6.684176892260823,3.2602945051679586,12.486502900262463,1.7096609335346657,5.946841849683643,29.5372,1.8,0.4,0.4000000000000001
,70.0,10,6.684176892260823,3.2602945051679586,12.486502900262463,1.7096609335346657,5.946841849683643,29.5372,1.8,0.4,0.4000000000000001
,71.0,11,6.684176892260823,3.2602945051679586,12.486502900262463,1.7096609335346657,5.946841849683643,29.5372,1.8,0.4,0.4000000000000001
,72.0,11,6.684176892260823,3.2602945051679586,12.486502900262463,1.7096609335346657,5.946841849683643,29.5372,1.8,0.4,0.4000000000000001
,73.0,11,6.684176892260823,3.2602945051679586,12.486502900262463,1.7096609335346657,5.946841849683643,29.5372,1.8,0.4,0.4000000000000001
,74.0,11,6.684176892260823,3.2602945051679586,12.486502900262463,1.7096609335346657,5.946841849683643,29.5372,1.8,0.4,0.4000000000000001
,75.0,11,6.684176892260823,3.2602945051679586,12.486502900262463,1.7096609335346657,5.946841849683643,29.5372,1.8,0.4,0.4000000000000001
,76.0,11,6.684176892260823,3.2602945051679586,12.486502900262463,1.7096609335346657,5.946841849683643,29.5372,1.8,0.4,0.4000000000000001
,77.0,11,6.684176892260823,3.2602945051679586,12.486502900262463,1.7096609335346657,5.946841849683643,29.5372,1.8,0.4,0.4000000000000001
