Columna_0,N,Columna_2,P2O5,Columna_4,K2O,Columna_6,MgO,Columna_8,Ca,Columna_10,B,Columna_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18,Columna_19,Columna_20,Columna_21
Porcentaje de Elemento,,33.5,,52.0,,60.0,,16.0,,1000000.0,,20.5,,,,,,,,13.0,0.85
,,0.335,,0.52,,0.6,,0.16,,10000.0,,0.205,,,,,,,,17.0,1.0
1,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,5.0926,24.841951219512197,,,,,,,,20.0,1.15
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,5.0926,24.841951219512197,,,,,,,,24.0,1.3
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,5.0926,24.841951219512197,,,,,,,,29.0,1.45
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,5.0926,24.841951219512197,,,,,,,,35.0,1.6
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,5.0926,24.841951219512197,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,5.0926,24.841951219512197,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,5.0926,24.841951219512197,,,,,,,,,
2,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,5.0926,24.841951219512197,,,,,,,,,
,2.0,5.970149253731343,0.45,0.8653846153846154,1.494455111111111,2.000373903133903,0.25577733221186455,1.5986083263241535,0.8896894779324445,8.896894779324445e-05,5.0926,24.841951219512197,,,,,,,,,
