Fase,Día Después Siembra,Semana,N,P2O5,K20,MgO,CaO,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O,Columna_12,Mayo - Oct a Dic 122 dias de crecimiento y maduracion,Mayo - Oct a Dic 122 dias de crecimiento y maduracion,25,vivero sep a mayo,Columna_17,Columna_18,Columna_19,Columna_20,Columna_21,Columna_22
,1.0,1,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,5.0926,4.5,0.39999999999999997,0.5,50,18.4,12.3,2.1051560283178214,7.322522100000001,7.8,13.668796747967479,0.4000000000000001,0.5,,2.169370322580645
,2.0,1,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,5.0926,4.5,0.39999999999999997,0.5,50,13.8,18.45,3.1577340424767315,10.98378315,7.8,9.112531165311653,0.4,0.5,,
,3.0,1,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,5.0926,4.5,0.39999999999999997,0.5,50,9.2,24.6,4.210312056635643,14.645044200000003,7.8,6.834398373983739,0.4000000000000001,0.5,,
,4.0,1,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,5.0926,4.5,0.39999999999999997,0.5,50,4.6,30.75,5.262890070794552,18.30630525,7.8,5.467518699186992,0.4,0.5,,
,5.0,1,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,5.0926,4.5,0.39999999999999997,0.5,50,0,36.9,6.315468084953463,21.9675663,7.8,4.5562655826558265,0.4,0.5,,
,6.0,1,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,5.0926,4.5,0.39999999999999997,0.5,250,46.00000000000001,123,21.05156028317821,73.225221,39,6.83439837398374,0.4,0.5,,
,7.0,1,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,5.0926,4.5,0.39999999999999997,0.5,50,4.6000000000000005,36.9,4.210312056635642,14.645044200000001,7.800000000000001,,,,,
,8.0,2,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,5.0926,4.5,0.39999999999999997,0.5,2,0.3833333333333334,0.49200000000000005,,,,,,,,
,9.0,2,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,5.0926,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,10.0,2,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,5.0926,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,11.0,2,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,9.1667,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,12.0,2,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,9.1667,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,13.0,2,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,9.1667,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,14.0,2,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,9.1667,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,15.0,3,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,9.1667,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,16.0,3,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,9.1667,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,17.0,3,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,9.1667,4.5,0.39999999999999997,0.5,,,,,,,,,,,
