Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),FofatoMonoPotasico (Lbs),FofatoMonoPotasico (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39449,,5.229104477611939,,0.7579687499999997,,1.7522889999999998,,1.4003168167470892,,7.79332321192425e-05,,43.51688804878049,,0.0,,58.554864358544386
2,8,39456,,5.229104477611939,,0.7579687499999997,,1.7522889999999998,,1.4003168167470892,,7.79332321192425e-05,,63.410420243902436,,0.0,,59.350605646349265
3,15,39463,,5.229104477611939,,0.7579687499999997,,1.7522889999999998,,1.4003168167470892,,7.79332321192425e-05,,93.25035231707317,,0.0,,60.544202929276096
4,22,39470,,5.229104477611939,,0.7579687499999997,,1.7522889999999998,,1.4003168167470892,,7.79332321192425e-05,,104.44018951219512,,0.0,,60.99179641708097
5,29,39477,,5.229104477611939,,0.7579687499999997,,1.7522889999999998,,1.4003168167470892,,7.79332321192425e-05,,123.09065060975611,,0.0,,61.73781486098341
6,36,39484,,5.229104477611939,,0.7579687499999997,,1.7522889999999998,,1.4003168167470892,,7.79332321192425e-05,,147.95793207317075,,0.0,,62.732506119519996
7,43,39491,,5.229104477611939,,0.7579687499999997,,1.7522889999999998,,1.4003168167470892,,7.79332321192425e-05,,162.87795914634148,,0.0,,63.32930720244683
8,50,39498,,5.229104477611939,,0.7579687499999997,,1.7522889999999998,,1.4003168167470892,,7.79332321192425e-05,,200.17802682926828,,0.0,,64.8213099097639
9,57,39505,,5.229104477611939,,0.7579687499999997,,1.7522889999999998,,1.4003168167470892,,7.79332321192425e-05,,207.63816243902437,,0.0,,65.11971533415414
10,64,39512,,5.229104477611939,,0.7579687499999997,,1.7522889999999998,,1.4003168167470892,,7.79332321192425e-05,,252.398976097561,,0.0,,66.9101478804956
11,71,39519,,5.229104477611939,,0.7579687499999997,,1.7522889999999998,,1.4003168167470892,,7.79332321192425e-05,,252.398976097561,,0.0,,66.9101478804956
12,78,39526,,5.229104477611939,,0.7579687499999997,,1.7522889999999998,,1.4003168167470892,,7.79332321192425e-05,,282.2390302439024,,0.0,,68.10375004634926
13,85,39533,,5.229104477611939,,0.7579687499999997,,1.7522889999999998,,1.4003168167470892,,7.79332321192425e-05,,304.61907085365857,,0.0,,68.99895167073952
14,92,39540,,5.229104477611939,,0.7579687499999997,,1.7522889999999998,,1.4003168167470892,,7.79332321192425e-05,,304.61907085365857,,0.0,,68.99895167073952
15,99,39547,,5.229104477611939,,0.7579687499999997,,1.7522889999999998,,1.4003168167470892,,7.79332321192425e-05,,304.61907085365857,,0.0,,68.99895167073952
16,106,39554,,6.972139303482585,,1.0106249999999997,,2.6995814999999994,,2.100194149886441,,0.00011688420521778,,406.15876113821145,,0.0,,96.24932989005299
17,113,39561,,6.972139303482585,,1.0106249999999997,,2.6995814999999994,,2.100194149886441,,0.00011688420521778,,406.15876113821145,,0.0,,96.24932989005299
18,120,39568,,6.972139303482585,,1.0106249999999997,,2.6995814999999994,,2.100194149886441,,0.00011688420521778,,406.15876113821145,,0.0,,96.24932989005299
19,127,39575,,6.972139303482585,,1.0106249999999997,,2.6995814999999994,,2.100194149886441,,0.00011688420521778,,406.15876113821145,,0.0,,96.24932989005299
20,134,39582,,6.972139303482585,,1.0106249999999997,,2.6995814999999994,,2.100194149886441,,0.00011688420521778,,406.15876113821145,,0.0,,96.24932989005299
21,141,39589,,6.972139303482585,,1.0106249999999997,,2.6995814999999994,,2.100194149886441,,0.00011688420521778,,406.15876113821145,,0.0,,96.24932989005299
22,148,39596,,6.972139303482585,,1.0106249999999997,,2.6995814999999994,,2.100194149886441,,0.00011688420521778,,406.15876113821145,,0.0,,96.24932989005299
23,155,39603,,6.972139303482585,,1.0106249999999997,,2.6995814999999994,,2.100194149886441,,0.00011688420521778,,406.15876113821145,,0.0,,96.24932989005299
24,162,39610,,6.972139303482585,,1.0106249999999997,,2.6995814999999994,,2.100194149886441,,0.00011688420521778,,406.15876113821145,,0.0,,96.24932989005299
25,169,39617,,6.972139303482585,,1.0106249999999997,,2.6995814999999994,,2.100194149886441,,0.00011688420521778,,406.15876113821145,,0.0,,96.24932989005299
26,176,39624,,6.972139303482585,,1.0106249999999997,,2.6995814999999994,,2.100194149886441,,0.00011688420521778,,406.15876113821145,,0.0,,96.24932989005299
27,183,39631,,6.972139303482585,,1.0106249999999997,,2.6995814999999994,,2.100194149886441,,0.00011688420521778,,406.15876113821145,,0.0,,96.24932989005299
28,190,39638,,6.972139303482585,,1.0106249999999997,,2.6995814999999994,,2.100194149886441,,0.00011688420521778,,406.15876113821145,,0.0,,96.24932989005299
29,197,39645,,6.972139303482585,,1.0106249999999997,,2.6995814999999994,,2.100194149886441,,0.00011688420521778,,406.15876113821145,,0.0,,96.24932989005299
30,204,39652,,6.972139303482585,,1.0106249999999997,,2.6995814999999994,,2.100194149886441,,0.00011688420521778,,406.15876113821145,,0.0,,96.24932989005299
