Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,FofatoMonoPotasico (Lbs),Admin_FofatoMonoPotasico_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Sin Calcio,Admin_Sulfato de Magnesio_Cambios_1,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
2,1,39449,,10.458208955223876,,1.5159374999999993,,3.504578000000001,,2.8006336334941775,,0.00015586646423848498,,106.92730829268294,,0.0,,117.90547000489364
4,15,39463,,10.458208955223876,,1.5159374999999993,,3.504578000000001,,2.8006336334941775,,0.00015586646423848498,,197.69054182926828,,0.0,,121.53599934635706
6,29,39477,,10.458208955223876,,1.5159374999999993,,3.504578000000001,,2.8006336334941775,,0.00015586646423848498,,271.0485826829269,,0.0,,124.4703209805034
8,43,39491,,10.458208955223876,,1.5159374999999993,,3.504578000000001,,2.8006336334941775,,0.00015586646423848498,,363.0559859756097,,0.0,,128.1506171122107
10,57,39505,,10.458208955223876,,1.5159374999999993,,3.504578000000001,,2.8006336334941775,,0.00015586646423848498,,460.03713853658525,,0.0,,132.02986321464974
12,71,39519,,10.458208955223876,,1.5159374999999993,,3.504578000000001,,2.8006336334941775,,0.00015586646423848498,,534.6380063414633,,0.0,,135.01389792684486
14,85,39533,,10.458208955223876,,1.5159374999999993,,3.504578000000001,,2.8006336334941775,,0.00015586646423848498,,609.2381417073173,,0.0,,137.997903341479
16,99,39547,,13.944278606965169,,2.021249999999999,,5.035966833333335,,3.9672832388825605,,0.00022079518137676994,,812.317522276423,,0.0,,188.24793211770566
18,113,39561,,13.944278606965169,,2.021249999999999,,5.3991630000000015,,4.200388299772883,,0.00023376841043555997,,812.317522276423,,0.0,,192.49865978010595
20,127,39575,,13.944278606965169,,2.021249999999999,,5.3991630000000015,,4.200388299772883,,0.00023376841043555997,,812.317522276423,,0.0,,192.49865978010595
22,141,39589,,13.944278606965169,,2.021249999999999,,5.3991630000000015,,4.200388299772883,,0.00023376841043555997,,812.317522276423,,0.0,,192.49865978010595
24,155,39603,,13.944278606965169,,2.021249999999999,,5.3991630000000015,,4.200388299772883,,0.00023376841043555997,,812.317522276423,,0.0,,192.49865978010595
26,169,39617,,13.944278606965169,,2.021249999999999,,5.3991630000000015,,4.200388299772883,,0.00023376841043555997,,812.317522276423,,0.0,,192.49865978010595
28,183,39631,,13.944278606965169,,2.021249999999999,,5.3991630000000015,,4.200388299772883,,0.00023376841043555997,,812.317522276423,,0.0,,192.49865978010595
30,197,39645,,13.944278606965169,,2.021249999999999,,5.3991630000000015,,4.200388299772883,,0.00023376841043555997,,812.317522276423,,0.0,,192.49865978010595
