Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39815,,0.0,,49.42375679347825,,25.84829625,,16.5898465464733,,34.19597480360834,,171.63304097560976,,19.74,,1339.067684907416
2,8,39822,,0.0,,47.465055293478265,,25.849735624999997,,16.590770360180084,,34.19787902316527,,250.09424487804876,,19.74,,1318.7397953219918
3,15,39829,,23.595740753997198,,47.465055293478265,,70.499148125,,45.247471544699614,,93.26676967958193,,367.78460634146336,,19.74,,2658.0693426668745
4,22,39836,,35.211401614365485,,39.03716421195652,,96.350323125,,61.83916571858649,,127.4665529223042,,411.9179502439024,,19.74,,3318.1232213007133
5,29,39843,,31.35297652882674,,48.897583875,,96.350323125,,61.83916571858649,,127.4665529223042,,485.476412195122,,19.74,,3414.310832679282
6,36,39850,,47.16396589343571,,54.30378250271738,,140.99973562499997,,90.49586690310605,,186.53544357872084,,583.5543614634147,,19.74,,4767.129383037945
7,43,39857,,47.16396589343571,,54.30378250271738,,140.99973562499997,,90.49586690310605,,186.53544357872084,,642.3997829268293,,19.74,,4769.483199896482
8,50,39864,,63.737186025994674,,44.000830125,,166.84803187499998,,107.08571344957932,,220.73141838232914,,789.5133365853658,,19.74,,5443.3035261185
9,57,39871,,52.64205794467193,,44.000830125,,166.84803187499998,,107.08571344957932,,220.73141838232914,,818.9365287804877,,19.74,,5372.362121277706
10,64,39878,,37.8485538362416,,44.000830125,,166.84803187499998,,107.08571344957932,,220.73141838232914,,995.4756819512195,,19.74,,5283.265910699739
11,71,39885,,34.150177809134014,,44.000830125,,166.84803187499998,,107.08571344957932,,220.73141838232914,,995.4756819512195,,19.74,,5259.226466523539
12,78,39892,,24.90423774136505,,44.000830125,,166.84803187499998,,107.08571344957932,,220.73141838232914,,1113.1665248780487,,19.74,,5203.835489800114
13,85,39899,,24.90423774136505,,44.000830125,,166.84803187499998,,107.08571344957932,,220.73141838232914,,1201.434657073171,,19.74,,5207.366215087919
