Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl (Lbs),Admin_Kcl_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,3,39817,,0.0,,24.711878396739124,,12.924148125,,8.29492327323665,,17.09798740180417,,85.81652048780488,,19.74,,697.169842453708
2,10,39824,,0.0,,23.732527646739133,,12.924867812499999,,8.295385180090042,,17.098939511582635,,125.04712243902438,,19.74,,687.005897660996
3,17,39831,,11.797870376998599,,23.732527646739133,,35.2495740625,,22.623735772349807,,46.63338483979096,,183.89230317073168,,19.74,,1356.6706713334372
4,24,39838,,17.605700807182743,,19.51858210597826,,48.1751615625,,30.919582859293246,,63.7332764611521,,205.9589751219512,,19.74,,1686.6976106503566
5,31,39845,,15.67648826441337,,24.4487919375,,48.1751615625,,30.919582859293246,,63.7332764611521,,242.738206097561,,19.74,,1734.791416339641
6,38,39852,,23.581982946717854,,27.15189125135869,,70.49986781249999,,45.247933451553024,,93.26772178936042,,291.77718073170735,,19.74,,2411.2006915189727
7,45,39859,,23.581982946717854,,27.15189125135869,,70.49986781249999,,45.247933451553024,,93.26772178936042,,321.19989146341464,,19.74,,2412.377599948241
8,52,39866,,31.868593012997337,,22.0004150625,,83.42401593749999,,53.54285672478966,,110.36570919116457,,394.7566682926829,,19.74,,2749.2877630592498
9,59,39873,,26.321028972335967,,22.0004150625,,83.42401593749999,,53.54285672478966,,110.36570919116457,,409.46826439024386,,19.74,,2713.817060638853
10,66,39880,,18.9242769181208,,22.0004150625,,83.42401593749999,,53.54285672478966,,110.36570919116457,,497.73784097560974,,19.74,,2669.2689553498694
11,73,39887,,17.075088904567007,,22.0004150625,,83.42401593749999,,53.54285672478966,,110.36570919116457,,497.73784097560974,,19.74,,2657.2492332617694
12,80,39894,,12.452118870682526,,22.0004150625,,83.42401593749999,,53.54285672478966,,110.36570919116457,,556.5832624390243,,19.74,,2629.553744900057
13,87,39901,,12.452118870682526,,22.0004150625,,83.42401593749999,,53.54285672478966,,110.36570919116457,,600.7173285365855,,19.74,,2631.3191075439595
