Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl (Lbs),Admin_Kcl_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39815,,0.0,,7.060536684782607,,3.69261375,,2.3699780780676143,,4.8851392576583335,,24.519005853658534,,19.74,,238.6713835582023
2,8,39822,,0.0,,6.780722184782609,,3.6928193749999996,,2.370110051454298,,4.88541128902361,,24.519005853658534,,19.74,,235.31904959512772
3,15,39829,,3.3708201077138855,,6.780722184782609,,10.071306875,,6.463924506385659,,13.323824239940276,,44.13430682926829,,19.74,,426.76393776077293
4,22,39836,,5.030200230623641,,5.576737744565218,,13.764331875,,8.834166531226641,,18.20950756032917,,58.84542146341463,,19.74,,521.3936030429591
5,29,39843,,4.478996646975248,,6.985369124999999,,13.764331875,,8.834166531226641,,18.20950756032917,,58.84542146341463,,19.74,,534.7143563144618
6,36,39850,,6.73770941334796,,7.757683214673912,,20.142819375,,12.927980986158003,,26.647920511245832,,83.36490878048781,,19.74,,728.394483291135
7,43,39857,,6.73770941334796,,7.757683214673912,,20.142819375,,12.927980986158003,,26.647920511245832,,83.36490878048781,,19.74,,728.394483291135
8,50,39864,,9.105312289427813,,6.285832875,,23.835433124999998,,15.297959064225616,,31.533059768904163,,112.7876195121951,,19.74,,824.9907894455
9,57,39871,,9.105312289427813,,6.285832875,,23.835433124999998,,15.297959064225616,,31.533059768904163,,112.7876195121951,,19.74,,824.9907894455
10,64,39878,,5.406936262320229,,6.285832875,,23.835433124999998,,15.297959064225616,,31.533059768904163,,142.21081170731708,,19.74,,802.1282729571055
11,71,39885,,5.406936262320229,,6.285832875,,23.835433124999998,,15.297959064225616,,31.533059768904163,,142.21081170731708,,19.74,,802.1282729571055
12,78,39892,,3.557748248766436,,6.285832875,,23.835433124999998,,15.297959064225616,,31.533059768904163,,142.21081170731708,,19.74,,790.108550869006
13,85,39899,,3.557748248766436,,6.285832875,,23.835433124999998,,15.297959064225616,,31.533059768904163,,171.63352243902438,,19.74,,791.2854592982742
