Fase,Día Después Siembra,Semana,N,P2O5,K20,MgO,CaO,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O
,1.0,1,1.92,3.290625,2.2447500000000002,0.3841909751680024,1.3363602832500003,5.0926,2.876064630805212,0.4,0.5
,2.0,1,1.92,3.290625,2.2447500000000002,0.3841909751680024,1.3363602832500003,5.0926,2.876064630805212,0.4,0.5
,3.0,1,1.92,3.290625,2.2447500000000002,0.3841909751680024,1.3363602832500003,5.0926,2.876064630805212,0.4,0.5
,4.0,1,1.92,3.290625,2.2447500000000002,0.3841909751680024,1.3363602832500003,5.0926,2.876064630805212,0.4,0.5
,5.0,1,1.92,3.290625,2.2447500000000002,0.3841909751680024,1.3363602832500003,5.0926,2.876064630805212,0.4,0.5
,6.0,1,1.92,3.290625,2.2447500000000002,0.3841909751680024,1.3363602832500003,5.0926,2.876064630805212,0.4,0.5
,7.0,1,1.92,3.290625,2.2447500000000002,0.3841909751680024,1.3363602832500003,5.0926,2.876064630805212,0.4,0.5
,8.0,2,1.92,3.1602150000000004,2.244875,0.3842123690300787,1.336434699125,5.0926,2.875904484659502,0.4,0.5
,9.0,2,1.92,3.1602150000000004,2.244875,0.3842123690300787,1.336434699125,5.0926,2.875904484659502,0.4,0.5
,10.0,2,1.92,3.1602150000000004,2.244875,0.3842123690300787,1.336434699125,5.0926,2.875904484659502,0.4,0.5
,11.0,2,1.92,3.1602150000000004,2.244875,0.3842123690300787,1.336434699125,9.1667,2.875904484659502,0.4,0.5
,12.0,2,1.92,3.1602150000000004,2.244875,0.3842123690300787,1.336434699125,9.1667,2.875904484659502,0.4,0.5
,13.0,2,1.92,3.1602150000000004,2.244875,0.3842123690300787,1.336434699125,9.1667,2.875904484659502,0.4,0.5
,14.0,2,1.92,3.1602150000000004,2.244875,0.3842123690300787,1.336434699125,9.1667,2.875904484659502,0.4,0.5
,15.0,3,4.9,3.1602150000000004,6.122375,1.047849970640026,3.644815141625,9.1667,2.6911725596684297,0.4,0.5
,16.0,3,4.9,3.1602150000000004,6.122375,1.047849970640026,3.644815141625,9.1667,2.6911725596684297,0.4,0.5
,17.0,3,4.9,3.1602150000000004,6.122375,1.047849970640026,3.644815141625,9.1667,2.6911725596684297,0.4,0.5
,18.0,3,4.9,3.1602150000000004,6.122375,1.047849970640026,3.644815141625,12.2222,2.6911725596684297,0.4,0.5
,19.0,3,4.9,3.1602150000000004,6.122375,1.047849970640026,3.644815141625,12.2222,2.6911725596684297,0.4,0.5
,20.0,3,4.9,3.1602150000000004,6.122375,1.047849970640026,3.644815141625,12.2222,2.6911725596684297,0.4,0.5
,21.0,3,4.9,3.1602150000000004,6.122375,1.047849970640026,3.644815141625,12.2222,2.6911725596684297,0.4,0.5
,22.0,4,6.221052251225569,2.5990875000000004,8.367375000000001,1.4320837335321812,4.981324256625001,12.2222,2.5,0.4,0.5
,23.0,4,6.221052251225569,2.5990875000000004,8.367375000000001,1.4320837335321812,4.981324256625001,12.2222,2.5,0.4,0.5
,24.0,4,6.221052251225569,2.5990875000000004,8.367375000000001,1.4320837335321812,4.981324256625001,12.2222,2.5,0.4,0.5
,25.0,4,6.221052251225569,2.5990875000000004,8.367375000000001,1.4320837335321812,4.981324256625001,12.2222,2.5,0.4,0.5
,26.0,4,6.221052251225569,2.5990875000000004,8.367375000000001,1.4320837335321812,4.981324256625001,12.2222,2.5,0.4,0.5
,27.0,4,6.221052251225569,2.5990875000000004,8.367375000000001,1.4320837335321812,4.981324256625001,12.2222,2.5,0.4,0.5
,28.0,4,6.221052251225569,2.5990875000000004,8.367375000000001,1.4320837335321812,4.981324256625001,12.2222,2.5,0.4,0.5
,29.0,5,6.221052251225569,3.2555925,8.367375000000001,1.4320837335321812,4.981324256625001,12.2222,2.5,0.4,0.5
,30.0,5,6.221052251225569,3.2555925,8.367375000000001,1.4320837335321812,4.981324256625001,12.2222,2.5,0.4,0.5
,31.0,5,6.221052251225569,3.2555925,8.367375000000001,1.4320837335321812,4.981324256625001,12.2222,2.5,0.4,0.5
,32.0,5,6.221052251225569,3.2555925,8.367375000000001,1.4320837335321812,4.981324256625001,12.2222,2.5,0.4,0.5
,33.0,5,6.221052251225569,3.2555925,8.367375000000001,1.4320837335321812,4.981324256625001,17.3149,2.5,0.4,0.5
,34.0,5,6.221052251225569,3.2555925,8.367375000000001,1.4320837335321812,4.981324256625001,17.3149,2.5,0.4,0.5
,35.0,5,6.221052251225569,3.2555925,8.367375000000001,1.4320837335321812,4.981324256625001,17.3149,2.5,0.4,0.5
,36.0,6,8.739774050683355,3.61553625,12.244875,2.0957213351421284,7.289704699125001,17.3149,2.4,0.4,0.5
,37.0,6,8.739774050683355,3.61553625,12.244875,2.0957213351421284,7.289704699125001,17.3149,2.4,0.4,0.5
,38.0,6,8.739774050683355,3.61553625,12.244875,2.0957213351421284,7.289704699125001,17.3149,2.4,0.4,0.5
,39.0,6,8.739774050683355,3.61553625,12.244875,2.0957213351421284,7.289704699125001,17.3149,2.4,0.4,0.5
,40.0,6,8.739774050683355,3.61553625,12.244875,2.0957213351421284,7.289704699125001,17.3149,2.4,0.4,0.5
,41.0,6,8.739774050683355,3.61553625,12.244875,2.0957213351421284,7.289704699125001,17.3149,2.4,0.4,0.5
,42.0,6,8.739774050683355,3.61553625,12.244875,2.0957213351421284,7.289704699125001,17.3149,2.4,0.4,0.5
,43.0,7,8.739774050683355,3.61553625,12.244875,2.0957213351421284,7.289704699125001,17.3149,2.4,0.4,0.5
,44.0,7,8.739774050683355,3.61553625,12.244875,2.0957213351421284,7.289704699125001,17.3149,2.4,0.4,0.5
,45.0,7,8.739774050683355,3.61553625,12.244875,2.0957213351421284,7.289704699125001,17.3149,2.4,0.4,0.5
,46.0,7,8.739774050683355,3.61553625,12.244875,2.0957213351421284,7.289704699125001,17.3149,2.4,0.4,0.5
,47.0,7,8.739774050683355,3.61553625,12.244875,2.0957213351421284,7.289704699125001,17.3149,2.4,0.4,0.5
,48.0,7,8.739774050683355,3.61553625,12.244875,2.0957213351421284,7.289704699125001,23.426,2.4,0.4,0.5
,49.0,7,8.739774050683355,3.61553625,12.244875,2.0957213351421284,7.289704699125001,23.426,2.4,0.4,0.5
,50.0,8,10.341963358477143,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,23.426,2.4,0.4,0.5
,51.0,8,10.341963358477143,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,23.426,2.4,0.4,0.5
,52.0,8,10.341963358477143,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,23.426,2.4,0.4,0.5
,53.0,8,10.341963358477143,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,23.426,2.4,0.4,0.5
,54.0,8,10.341963358477143,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,23.426,2.4,0.4,0.5
,55.0,8,10.341963358477143,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,23.426,2.4,0.4,0.5
,56.0,8,10.341963358477143,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,23.426,2.4,0.4,0.5
,57.0,9,10.341963358477143,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,23.426,2.4,0.4,0.5
,58.0,9,10.341963358477143,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,23.426,2.4,0.4,0.5
,59.0,9,10.341963358477143,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,23.426,2.4,0.4,0.5
,60.0,9,10.341963358477143,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,23.426,2.4,0.4,0.5
,61.0,9,8.618302798730953,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,23.426,2,0.4,0.5
,62.0,9,8.618302798730953,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,23.426,2,0.4,0.5
,63.0,9,8.618302798730953,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,29.5372,2,0.4,0.5
,64.0,10,8.618302798730953,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,29.5372,2,0.4,0.5
,65.0,10,8.618302798730953,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,29.5372,2,0.4,0.5
,66.0,10,8.618302798730953,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,29.5372,2,0.4,0.5
,67.0,10,8.618302798730953,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,29.5372,2,0.4,0.5
,68.0,10,8.618302798730953,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,29.5372,2,0.4,0.5
,69.0,10,8.618302798730953,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,29.5372,2,0.4,0.5
,70.0,10,8.618302798730953,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,29.5372,2,0.4,0.5
,71.0,11,8.618302798730953,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,29.5372,2,0.4,0.5
,72.0,11,8.618302798730953,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,29.5372,2,0.4,0.5
,73.0,11,8.618302798730953,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,29.5372,2,0.4,0.5
,74.0,11,8.618302798730953,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,29.5372,2,0.4,0.5
,75.0,11,8.618302798730953,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,29.5372,2,0.4,0.5
,76.0,11,7.7564725188578585,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,29.5372,1.8,0.4,0.5
,77.0,11,7.7564725188578585,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,29.5372,1.8,0.4,0.5
,78.0,12,7.7564725188578585,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,29.5372,1.8,0.4,0.5
,79.0,12,7.7564725188578585,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,29.5372,1.8,0.4,0.5
,80.0,12,7.7564725188578585,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,29.5372,1.8,0.4,0.5
,81.0,12,7.7564725188578585,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,35.6483,1.8,0.4,0.5
,82.0,12,7.7564725188578585,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,35.6483,1.8,0.4,0.5
,83.0,12,7.7564725188578585,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,35.6483,1.8,0.4,0.5
,84.0,12,7.7564725188578585,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,35.6483,1.8,0.4,0.5
,85.0,13,7.7564725188578585,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,35.6483,1.8,0.4,0.5
,86.0,13,7.7564725188578585,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,35.6483,1.8,0.4,0.5
,87.0,13,7.7564725188578585,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,35.6483,1.8,0.4,0.5
,88.0,13,7.7564725188578585,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,35.6483,1.8,0.4,0.5
,89.0,13,7.7564725188578585,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,35.6483,1.8,0.4,0.5
,90.0,13,7.7564725188578585,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,35.6483,1.8,0.4,0.5
,91.0,13,7.7564725188578585,2.9295675000000005,14.489625,2.4799123103101306,8.626064982375,35.6483,1.8,0.4,0.5
