Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39896,,0.0,,35.0873620923913,,20.971951000000004,,13.460130815010961,,27.744819273282225,,174.06755219512195,,20.019999999999996,,725.3635737002021
2,8,39903,,0.0,,33.6968229423913,,20.97311883333333,,13.460880348968807,,27.74636425709296,,253.64168097560975,,20.019999999999996,,719.880340555977
3,15,39910,,16.78627592208631,,33.6968229423913,,57.19930883333333,,36.7114237213733,,75.67176206627074,,373.00140926829266,,20.019999999999996,,1569.696121883147
4,22,39917,,21.71181495058687,,33.6968229423913,,78.17359550000002,,50.173053604299966,,103.41967130717445,,417.7607580487805,,20.019999999999996,,2037.9810075388073
5,29,39924,,22.298637623696514,,32.197165,,78.17359550000002,,50.173053604299966,,103.41967130717445,,492.36260243902444,,20.019999999999996,,2034.3796268717422
6,36,39931,,34.032743957826405,,32.197165,,114.39978550000004,,73.42359697670447,,151.34506911635225,,591.831728292683,,20.019999999999996,,2859.4019785585588
7,43,39938,,34.032743957826405,,32.197165,,114.39978550000004,,73.42359697670447,,151.34506911635225,,651.5118365853659,,20.019999999999996,,2861.789182890266
8,50,39945,,42.95686284299894,,31.237468762499997,,135.3717365,,86.8837277917154,,179.08988838963447,,800.7121073170731,,20.019999999999996,,3347.19751547468
9,57,39952,,36.205359372236565,,31.237468762499997,,135.3717365,,86.8837277917154,,179.08988838963447,,830.5526497560975,,20.019999999999996,,3316.3214956861198
10,64,39959,,27.203354744553405,,31.237468762499997,,135.3717365,,86.8837277917154,,179.08988838963447,,1009.595904390244,,20.019999999999996,,3280.7237038899902
11,71,39966,,24.202686535325693,,31.237468762499997,,135.3717365,,86.8837277917154,,179.08988838963447,,1009.595904390244,,20.019999999999996,,3266.4705298961585
12,78,39973,,16.70101601225641,,31.237468762499997,,135.3717365,,86.8837277917154,,179.08988838963447,,1128.9561209756096,,20.019999999999996,,3235.612003574994
13,85,39980,,16.70101601225641,,31.237468762499997,,135.3717365,,86.8837277917154,,179.08988838963447,,1218.4762834146343,,20.019999999999996,,3239.192810072555
