Semana,DDT,FECHA,Seleccioné su opción (Preventivos),Preventivos (Dosis),Unidades,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Costo / Aplicación
1,3,39898,,0.0,0,0,,17.54368104619565,,10.485975500000002,,6.730065407505481,,13.872409636641112,,87.03377609756097,,20.019999999999996,390.709786850101
2,10,39905,,0.0,0,0,,16.84841147119565,,10.486559416666665,,6.730440174484404,,13.87318212854648,,126.82084048780487,,20.019999999999996,387.9681702779885
3,17,39912,,0.0,0,8.393137961043156,,16.84841147119565,,28.599654416666667,,18.35571186068665,,37.83588103313537,,186.50070463414633,,20.019999999999996,812.8760609415735
4,24,39919,,0.0,0,10.855907475293435,,16.84841147119565,,39.08679775000001,,25.086526802149983,,51.70983565358723,,208.88037902439024,,20.019999999999996,1047.0185037694037
5,31,39926,,0.0,0,11.149318811848257,,16.0985825,,39.08679775000001,,25.086526802149983,,51.70983565358723,,246.18130121951222,,20.019999999999996,1045.217813435871
6,38,39933,,0.0,0,17.016371978913202,,16.0985825,,57.19989275000002,,36.71179848835224,,75.67253455817612,,295.9158641463415,,20.019999999999996,1457.7289892792794
7,45,39940,,0.0,0,17.016371978913202,,16.0985825,,57.19989275000002,,36.71179848835224,,75.67253455817612,,325.75591829268296,,20.019999999999996,1458.922591445133
8,52,39947,,0.0,0,21.47843142149947,,15.618734381249999,,67.68586825,,43.4418638958577,,89.54494419481723,,400.35605365853655,,20.019999999999996,1701.62675773734
9,59,39954,,0.0,0,18.102679686118282,,15.618734381249999,,67.68586825,,43.4418638958577,,89.54494419481723,,415.27632487804874,,20.019999999999996,1686.18874784306
10,66,39961,,0.0,0,13.601677372276702,,15.618734381249999,,67.68586825,,43.4418638958577,,89.54494419481723,,504.797952195122,,20.019999999999996,1668.3898519449951
11,73,39968,,0.0,0,12.101343267662847,,15.618734381249999,,67.68586825,,43.4418638958577,,89.54494419481723,,504.797952195122,,20.019999999999996,1661.2632649480793
12,80,39975,,0.0,0,8.350508006128205,,15.618734381249999,,67.68586825,,43.4418638958577,,89.54494419481723,,564.4780604878048,,20.019999999999996,1645.834001787497
13,87,39982,,0.0,0,8.350508006128205,,15.618734381249999,,67.68586825,,43.4418638958577,,89.54494419481723,,609.2381417073171,,20.019999999999996,1647.6244050362775
