Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39896,,0.0,,10.024960597826086,,5.991986000000001,,3.8457516614317035,,7.927091220937779,,49.733586341463415,,20.019999999999996,,247.28673534291485
2,8,39903,,0.0,,9.627663697826087,,5.992319666666666,,3.8459658139910875,,7.927532644883703,,49.733586341463415,,20.019999999999996,,244.8106786870736
3,15,39910,,4.796078834881802,,9.627663697826087,,16.342659666666666,,10.48897820610666,,21.620503447505925,,89.5206507317073,,20.019999999999996,,487.84255903281553
4,22,39917,,6.203375700167678,,9.627663697826087,,22.335313000000003,,14.335158172657133,,29.548477516335556,,119.36021658536585,,20.019999999999996,,622.3202878682307
5,29,39924,,6.371039321056147,,9.199189999999998,,22.335313000000003,,14.335158172657133,,29.548477516335556,,119.36021658536585,,20.019999999999996,,620.4387294560379
6,36,39931,,9.723641130807543,,9.199189999999998,,32.685653,,20.978170564772704,,43.24144831895778,,169.09477951219515,,20.019999999999996,,857.0119938738737
7,43,39938,,9.723641130807543,,9.199189999999998,,32.685653,,20.978170564772704,,43.24144831895778,,169.09477951219515,,20.019999999999996,,857.0119938738737
8,50,39945,,12.27338938371398,,8.924991075,,38.677639,,24.823922226204402,,51.168539539895555,,228.774887804878,,20.019999999999996,,996.3821472784798
9,57,39952,,12.27338938371398,,8.924991075,,38.677639,,24.823922226204402,,51.168539539895555,,228.774887804878,,20.019999999999996,,996.3821472784798
10,64,39959,,7.772387069872402,,8.924991075,,38.677639,,24.823922226204402,,51.168539539895555,,288.4559726829268,,20.019999999999996,,977.3896296828543
11,71,39966,,7.772387069872402,,8.924991075,,38.677639,,24.823922226204402,,51.168539539895555,,288.4559726829268,,20.019999999999996,,977.3896296828543
12,78,39973,,4.771718860644688,,8.924991075,,38.677639,,24.823922226204402,,51.168539539895555,,288.4559726829268,,20.019999999999996,,963.1364556890226
13,85,39980,,4.771718860644688,,8.924991075,,38.677639,,24.823922226204402,,51.168539539895555,,348.13608097560973,,20.019999999999996,,965.52366002073
