Semana,DDT,FECHA,Seleccioné su opción (Preventivos),Preventivos (Dosis),Unidades,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Costo / Aplicación
1,1,39896,,0.0,0,0,,5.012480298913043,,2.9959930000000004,,1.9228758307158518,,3.9635456104688895,,24.866793170731707,,20.019999999999996,151.6713676714574
2,8,39903,,0.0,0,0,,4.813831848913043,,2.996159833333333,,1.9229829069955438,,3.9637663224418516,,24.866793170731707,,20.019999999999996,150.43333934353677
3,15,39910,,0.0,0,2.398039417440901,,4.813831848913043,,8.171329833333333,,5.24448910305333,,10.810251723752963,,44.76032536585365,,20.019999999999996,271.9492795164077
4,22,39917,,0.0,0,3.101687850083839,,4.813831848913043,,11.167656500000001,,7.167579086328566,,14.774238758167778,,59.680108292682924,,20.019999999999996,339.1881439341153
5,29,39924,0,0.0,0,3.1855196605280733,,4.599594999999999,,11.167656500000001,,7.167579086328566,,14.774238758167778,,59.680108292682924,,20.019999999999996,338.2473647280189
6,36,39931,,0.0,0,4.861820565403772,,4.599594999999999,,16.3428265,,10.489085282386352,,21.62072415947889,,84.54738975609757,,20.019999999999996,456.5339969369369
7,43,39938,,0.0,0,4.861820565403772,,4.599594999999999,,16.3428265,,10.489085282386352,,21.62072415947889,,84.54738975609757,,20.019999999999996,456.5339969369369
8,50,39945,,0.0,0,6.13669469185699,,4.4624955375,,19.3388195,,12.411961113102201,,25.584269769947777,,114.387443902439,,20.019999999999996,526.2190736392399
9,57,39952,0,0.0,0,6.13669469185699,,4.4624955375,,19.3388195,,12.411961113102201,,25.584269769947777,,114.387443902439,,20.019999999999996,526.2190736392399
10,64,39959,,0.0,0,3.886193534936201,,4.4624955375,,19.3388195,,12.411961113102201,,25.584269769947777,,144.2279863414634,,20.019999999999996,516.7228148414272
11,71,39966,,0.0,0,3.886193534936201,,4.4624955375,,19.3388195,,12.411961113102201,,25.584269769947777,,144.2279863414634,,20.019999999999996,516.7228148414272
12,78,39973,,0.0,0,2.385859430322344,,4.4624955375,,19.3388195,,12.411961113102201,,25.584269769947777,,144.2279863414634,,20.019999999999996,509.5962278445113
13,85,39980,0,0.0,0,2.385859430322344,,4.4624955375,,19.3388195,,12.411961113102201,,25.584269769947777,,174.06804048780486,,20.019999999999996,510.78983001036494
