Semana,N,Urea,P2O5,DAP 18-46-0,K2O,Kcl Soluble,MgO,Sulfato de Magnesio,Ca,Nitrato de Calcio,B,Solubor
1,1.4419703770144097,-0.15893601189159046,2.3034375,5.007472826086956,1.7958000000000003,2.9930000000000008,0.3073527801344019,1.920954875840012,1.0690882266000004,3.9595860244444454,5.0926,24.841951219512197
2,1.4420506738390566,-0.08118140179372604,2.2121505000000004,4.809022826086957,1.7959,2.9931666666666668,0.307369895224063,1.9210618451503936,1.0691477593,3.959806515925926,5.0926,24.841951219512197
3,3.64153534666221,2.395643773667234,2.2121505000000004,4.809022826086957,4.8979,8.163166666666667,0.8382799765120208,5.23924985320013,2.9158521133,10.799452271481481,9.1667,44.715609756097564
4,4.578694456902018,3.098589260823016,2.2121505000000004,4.809022826086957,6.693900000000001,11.156500000000003,1.145666986825745,7.160418667660906,3.985059405300001,14.759479278888891,12.2222,59.62048780487805
5,4.578694456902018,3.1823373232048686,2.1137,4.595,6.693900000000001,11.156500000000003,1.145666986825745,7.160418667660906,3.985059405300001,14.759479278888891,12.2222,59.62048780487805
6,6.409167637167796,4.85696360180197,2.1137,4.595,9.795900000000001,16.326500000000003,1.6765770681137029,10.478606675710642,5.831763759300001,21.599125034444448,17.3149,84.46292682926831
7,6.409167637167796,4.85696360180197,2.1137,4.595,9.795900000000001,16.326500000000003,1.6765770681137029,10.478606675710642,5.831763759300001,21.599125034444448,17.3149,84.46292682926831
8,7.5841064628832395,6.1305641277292615,2.0506972500000002,4.4580375000000005,11.591700000000001,19.3195,1.9839298482481045,12.399561551550653,6.900851985900001,25.558711058888893,23.426,114.27317073170731
9,7.5841064628832395,6.1305641277292615,2.0506972500000002,4.4580375000000005,11.591700000000001,19.3195,1.9839298482481045,12.399561551550653,6.900851985900001,25.558711058888893,23.426,114.27317073170731
10,6.549910127035524,3.882311223712489,2.0506972500000002,4.4580375000000005,11.591700000000001,19.3195,1.9839298482481045,12.399561551550653,6.900851985900001,25.558711058888893,29.5372,144.0839024390244
11,6.549910127035524,3.882311223712489,2.0506972500000002,4.4580375000000005,11.591700000000001,19.3195,1.9839298482481045,12.399561551550653,6.900851985900001,25.558711058888893,29.5372,144.0839024390244
12,5.860445903137048,2.3834759543679764,2.0506972500000002,4.4580375000000005,11.591700000000001,19.3195,1.9839298482481045,12.399561551550653,6.900851985900001,25.558711058888893,29.5372,144.0839024390244
13,5.860445903137048,2.3834759543679764,2.0506972500000002,4.4580375000000005,11.591700000000001,19.3195,1.9839298482481045,12.399561551550653,6.900851985900001,25.558711058888893,35.6483,173.89414634146343
