Fase,Día Después Siembra,Semana,N,P2O5,K20,MgO,CaO,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O
,1.0,1,1.4419703770144097,2.3034375,1.7958000000000003,0.3073527801344019,1.0690882266000004,5.0926,2.7,0.4,0.5000000000000001
,2.0,1,1.4419703770144097,2.3034375,1.7958000000000003,0.3073527801344019,1.0690882266000004,5.0926,2.7,0.4,0.5000000000000001
,3.0,1,1.4419703770144097,2.3034375,1.7958000000000003,0.3073527801344019,1.0690882266000004,5.0926,2.7,0.4,0.5000000000000001
,4.0,1,1.4419703770144097,2.3034375,1.7958000000000003,0.3073527801344019,1.0690882266000004,5.0926,2.7,0.4,0.5000000000000001
,5.0,1,1.4419703770144097,2.3034375,1.7958000000000003,0.3073527801344019,1.0690882266000004,5.0926,2.7,0.4,0.5000000000000001
,6.0,1,1.4419703770144097,2.3034375,1.7958000000000003,0.3073527801344019,1.0690882266000004,5.0926,2.7,0.4,0.5000000000000001
,7.0,1,1.4419703770144097,2.3034375,1.7958000000000003,0.3073527801344019,1.0690882266000004,5.0926,2.7,0.4,0.5000000000000001
,8.0,2,1.4420506738390566,2.2121505000000004,1.7959,0.307369895224063,1.0691477593,5.0926,2.7,0.4,0.5
,9.0,2,1.4420506738390566,2.2121505000000004,1.7959,0.307369895224063,1.0691477593,5.0926,2.7,0.4,0.5
,10.0,2,1.4420506738390566,2.2121505000000004,1.7959,0.307369895224063,1.0691477593,5.0926,2.7,0.4,0.5
,11.0,2,1.4420506738390566,2.2121505000000004,1.7959,0.307369895224063,1.0691477593,9.1667,2.7,0.4,0.5
,12.0,2,1.4420506738390566,2.2121505000000004,1.7959,0.307369895224063,1.0691477593,9.1667,2.7,0.4,0.5
,13.0,2,1.4420506738390566,2.2121505000000004,1.7959,0.307369895224063,1.0691477593,9.1667,2.7,0.4,0.5
,14.0,2,1.4420506738390566,2.2121505000000004,1.7959,0.307369895224063,1.0691477593,9.1667,2.7,0.4,0.5
,15.0,3,3.64153534666221,2.2121505000000004,4.8979,0.8382799765120208,2.9158521133,9.1667,2.5,0.4,0.5
,16.0,3,3.64153534666221,2.2121505000000004,4.8979,0.8382799765120208,2.9158521133,9.1667,2.5,0.4,0.5
,17.0,3,3.64153534666221,2.2121505000000004,4.8979,0.8382799765120208,2.9158521133,9.1667,2.5,0.4,0.5
,18.0,3,3.64153534666221,2.2121505000000004,4.8979,0.8382799765120208,2.9158521133,12.2222,2.5,0.4,0.5
,19.0,3,3.64153534666221,2.2121505000000004,4.8979,0.8382799765120208,2.9158521133,12.2222,2.5,0.4,0.5
,20.0,3,3.64153534666221,2.2121505000000004,4.8979,0.8382799765120208,2.9158521133,12.2222,2.5,0.4,0.5
,21.0,3,3.64153534666221,2.2121505000000004,4.8979,0.8382799765120208,2.9158521133,12.2222,2.5,0.4,0.5
,22.0,4,4.578694456902018,2.2121505000000004,6.693900000000001,1.145666986825745,3.985059405300001,12.2222,2.3,0.4,0.5
,23.0,4,4.578694456902018,2.2121505000000004,6.693900000000001,1.145666986825745,3.985059405300001,12.2222,2.3,0.4,0.5
,24.0,4,4.578694456902018,2.2121505000000004,6.693900000000001,1.145666986825745,3.985059405300001,12.2222,2.3,0.4,0.5
,25.0,4,4.578694456902018,2.2121505000000004,6.693900000000001,1.145666986825745,3.985059405300001,12.2222,2.3,0.4,0.5
,26.0,4,4.578694456902018,2.2121505000000004,6.693900000000001,1.145666986825745,3.985059405300001,12.2222,2.3,0.4,0.5
,27.0,4,4.578694456902018,2.2121505000000004,6.693900000000001,1.145666986825745,3.985059405300001,12.2222,2.3,0.4,0.5
,28.0,4,4.578694456902018,2.2121505000000004,6.693900000000001,1.145666986825745,3.985059405300001,12.2222,2.3,0.4,0.5
,29.0,5,4.578694456902018,2.1137,6.693900000000001,1.145666986825745,3.985059405300001,12.2222,2.3,0.4,0.5
,30.0,5,4.578694456902018,2.1137,6.693900000000001,1.145666986825745,3.985059405300001,12.2222,2.3,0.4,0.5
,31.0,5,4.578694456902018,2.1137,6.693900000000001,1.145666986825745,3.985059405300001,12.2222,2.3,0.4,0.5
,32.0,5,4.578694456902018,2.1137,6.693900000000001,1.145666986825745,3.985059405300001,12.2222,2.3,0.4,0.5
,33.0,5,4.578694456902018,2.1137,6.693900000000001,1.145666986825745,3.985059405300001,17.3149,2.3,0.4,0.5
,34.0,5,4.578694456902018,2.1137,6.693900000000001,1.145666986825745,3.985059405300001,17.3149,2.3,0.4,0.5
,35.0,5,4.578694456902018,2.1137,6.693900000000001,1.145666986825745,3.985059405300001,17.3149,2.3,0.4,0.5
,36.0,6,6.409167637167796,2.1137,9.795900000000001,1.6765770681137029,5.831763759300001,17.3149,2.2,0.4,0.5
,37.0,6,6.409167637167796,2.1137,9.795900000000001,1.6765770681137029,5.831763759300001,17.3149,2.2,0.4,0.5
,38.0,6,6.409167637167796,2.1137,9.795900000000001,1.6765770681137029,5.831763759300001,17.3149,2.2,0.4,0.5
,39.0,6,6.409167637167796,2.1137,9.795900000000001,1.6765770681137029,5.831763759300001,17.3149,2.2,0.4,0.5
,40.0,6,6.409167637167796,2.1137,9.795900000000001,1.6765770681137029,5.831763759300001,17.3149,2.2,0.4,0.5
,41.0,6,6.409167637167796,2.1137,9.795900000000001,1.6765770681137029,5.831763759300001,17.3149,2.2,0.4,0.5
,42.0,6,6.409167637167796,2.1137,9.795900000000001,1.6765770681137029,5.831763759300001,17.3149,2.2,0.4,0.5
,43.0,7,6.409167637167796,2.1137,9.795900000000001,1.6765770681137029,5.831763759300001,17.3149,2.2,0.4,0.5
,44.0,7,6.409167637167796,2.1137,9.795900000000001,1.6765770681137029,5.831763759300001,17.3149,2.2,0.4,0.5
,45.0,7,6.409167637167796,2.1137,9.795900000000001,1.6765770681137029,5.831763759300001,17.3149,2.2,0.4,0.5
,46.0,7,6.409167637167796,2.1137,9.795900000000001,1.6765770681137029,5.831763759300001,17.3149,2.2,0.4,0.5
,47.0,7,6.409167637167796,2.1137,9.795900000000001,1.6765770681137029,5.831763759300001,17.3149,2.2,0.4,0.5
,48.0,7,6.409167637167796,2.1137,9.795900000000001,1.6765770681137029,5.831763759300001,23.426,2.2,0.4,0.5
,49.0,7,6.409167637167796,2.1137,9.795900000000001,1.6765770681137029,5.831763759300001,23.426,2.2,0.4,0.5
,50.0,8,7.5841064628832395,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,23.426,2.2,0.4,0.5
,51.0,8,7.5841064628832395,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,23.426,2.2,0.4,0.5
,52.0,8,7.5841064628832395,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,23.426,2.2,0.4,0.5
,53.0,8,7.5841064628832395,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,23.426,2.2,0.4,0.5
,54.0,8,7.5841064628832395,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,23.426,2.2,0.4,0.5
,55.0,8,7.5841064628832395,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,23.426,2.2,0.4,0.5
,56.0,8,7.5841064628832395,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,23.426,2.2,0.4,0.5
,57.0,9,7.5841064628832395,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,23.426,2.2,0.4,0.5
,58.0,9,7.5841064628832395,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,23.426,2.2,0.4,0.5
,59.0,9,7.5841064628832395,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,23.426,2.2,0.4,0.5
,60.0,9,7.5841064628832395,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,23.426,2.2,0.4,0.5
,61.0,9,6.549910127035524,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,23.426,1.9,0.4,0.5
,62.0,9,6.549910127035524,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,23.426,1.9,0.4,0.5
,63.0,9,6.549910127035524,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,29.5372,1.9,0.4,0.5
,64.0,10,6.549910127035524,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,29.5372,1.9,0.4,0.5
,65.0,10,6.549910127035524,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,29.5372,1.9,0.4,0.5
,66.0,10,6.549910127035524,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,29.5372,1.9,0.4,0.5
,67.0,10,6.549910127035524,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,29.5372,1.9,0.4,0.5
,68.0,10,6.549910127035524,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,29.5372,1.9,0.4,0.5
,69.0,10,6.549910127035524,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,29.5372,1.9,0.4,0.5
,70.0,10,6.549910127035524,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,29.5372,1.9,0.4,0.5
,71.0,11,6.549910127035524,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,29.5372,1.9,0.4,0.5
,72.0,11,6.549910127035524,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,29.5372,1.9,0.4,0.5
,73.0,11,6.549910127035524,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,29.5372,1.9,0.4,0.5
,74.0,11,6.549910127035524,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,29.5372,1.9,0.4,0.5
,75.0,11,6.549910127035524,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,29.5372,1.9,0.4,0.5
,76.0,11,5.860445903137048,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,29.5372,1.7,0.4,0.5
,77.0,11,5.860445903137048,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,29.5372,1.7,0.4,0.5
,78.0,12,5.860445903137048,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,29.5372,1.7,0.4,0.5
,79.0,12,5.860445903137048,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,29.5372,1.7,0.4,0.5
,80.0,12,5.860445903137048,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,29.5372,1.7,0.4,0.5
,81.0,12,5.860445903137048,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,35.6483,1.7,0.4,0.5
,82.0,12,5.860445903137048,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,35.6483,1.7,0.4,0.5
,83.0,12,5.860445903137048,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,35.6483,1.7,0.4,0.5
,84.0,12,5.860445903137048,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,35.6483,1.7,0.4,0.5
,85.0,13,5.860445903137048,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,35.6483,1.7,0.4,0.5
,86.0,13,5.860445903137048,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,35.6483,1.7,0.4,0.5
,87.0,13,5.860445903137048,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,35.6483,1.7,0.4,0.5
,88.0,13,5.860445903137048,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,35.6483,1.7,0.4,0.5
,89.0,13,5.860445903137048,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,35.6483,1.7,0.4,0.5
,90.0,13,5.860445903137048,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,35.6483,1.7,0.4,0.5
,91.0,13,5.860445903137048,2.0506972500000002,11.591700000000001,1.9839298482481045,6.900851985900001,35.6483,1.7,0.4,0.5
