Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Sulfato de Potasio (Lbs),Sulfato de Potasio (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,3,39049,,9.189337245288502,,5.373609093420109,,9.127983576646088,,11.30278003020833,,0.0005651390015104166,,87.03377609756097,,20.019999999999996,,174.39831588260904
2,10,39056,,12.339967157958846,,7.215989354021289,,12.257577945781891,,15.178018897708329,,0.0007589009448854166,,126.82084048780487,,20.019999999999996,,217.34634662291538
3,17,39063,,17.853569505131947,,10.440154810073356,,17.73436809176954,,21.959686915833327,,0.0010979843457916668,,186.50070463414633,,20.019999999999996,,292.19105946469546
4,24,39070,,20.2165419396347,,11.821940005524239,,20.08156386862139,,24.86611606645833,,0.0012433058033229165,,208.88037902439024,,20.019999999999996,,324.1663268046081
5,31,39077,BaZam,24.94248680864022,,14.585510396426011,,24.775955422325097,,30.678974367708324,,0.0015339487183854165,,246.18130121951222,,20.019999999999996,1.001,768.2611752043359
6,38,39084,,31.243746633980912,,18.270270917628373,,31.0351441605967,,38.429452102708325,,0.0019214726051354164,,295.9158641463415,,20.019999999999996,,472.8343064039732
7,45,39091,,34.39437654665125,,20.11265117822955,,34.1647385297325,,42.30469097020831,,0.0021152345485104165,,325.75591829268296,,20.019999999999996,,515.4680116205722
8,52,39098,,42.27095132832711,,24.718601829732503,,41.988724452572015,,51.9927881389583,,0.0025996394069479167,,400.35605365853655,,20.019999999999996,,622.0522746620697
9,59,39105,TricoZam,43.846266284662285,,25.639791960033094,,43.55352163713991,,53.930407572708305,,0.0026965203786354164,,415.27632487804874,,20.019999999999996,1.001,643.3691349853937
10,66,39112,,53.29815602267331,,31.16693274183663,,52.94230474454731,,65.55612417520831,,0.003277806208760416,,504.797952195122,,20.019999999999996,,771.2702969253371
11,73,39119,,53.29815602267331,,31.16693274183663,,52.94230474454731,,65.55612417520831,,0.003277806208760416,,504.797952195122,,20.019999999999996,,771.2702969253371
12,80,39126,,59.599415848014,,34.851693263038996,,59.201493482818925,,73.30660191020833,,0.003665330095510415,,564.4780604878048,,20.019999999999996,,856.5377073585354
13,87,39133,BaZam,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,1.001,920.488265183434
14,94,39140,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
15,101,39147,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
16,108,39154,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
17,115,39161,TricoZam,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,1.001,920.488265183434
18,122,39168,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
19,129,39175,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
20,136,39182,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
21,143,39189,BaZam,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,1.001,920.488265183434
22,150,39196,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
23,157,39203,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
24,164,39210,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
25,171,39217,TricoZam,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,1.001,920.488265183434
26,178,39224,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
27,185,39231,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
28,192,39238,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
29,199,39245,BaZam,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,1.001,920.488265183434
30,206,39252,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
31,213,39259,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
32,220,39266,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
33,227,39273,TricoZam,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,1.001,920.488265183434
34,234,39280,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
35,241,39287,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
36,248,39294,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
37,255,39301,BaZam,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,1.001,920.488265183434
38,262,39308,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
39,269,39315,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
40,276,39322,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
41,283,39329,TricoZam,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,1.001,920.488265183434
42,290,39336,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
43,297,39343,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
44,304,39350,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
45,311,39357,BaZam,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,1.001,920.488265183434
46,318,39364,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
47,325,39371,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
48,332,39378,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
49,339,39385,TricoZam,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,1.001,920.488265183434
50,346,39392,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
51,353,39399,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
52,360,39406,,64.3253607170195,,37.61526365394077,,63.895885036522635,,79.1194602114583,,0.003955973010572916,,609.2381417073171,,20.019999999999996,,920.488265183434
