Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),FofatoMonoPotasico (Lbs),FofatoMonoPotasico (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,3,39817,,22.836040067157324,,33.36711538461538,,10.642607405796696,,18.966069144425536,,39.09398563569847,,121.72556097560975,,28.0,,1485.5069297152456
2,10,39824,,22.836040067157324,,33.36711538461538,,10.642607405796696,,18.966069144425536,,39.09398563569847,,177.37180487804878,,28.0,,1487.7327794713433
3,17,39831,,29.532025245616254,,42.38601267423653,,20.307218670217416,,28.449103716638316,,58.64097845354773,,260.8401463414634,,28.0,,2066.4924228004515
4,24,39838,,29.532025245616254,,42.38601267423653,,20.307218670217416,,28.449103716638316,,58.64097845354773,,292.14039024390246,,28.0,,2067.7444325565493
5,31,39845,,29.532025245616254,,42.38601267423653,,20.307218670217416,,28.449103716638316,,58.64097845354773,,344.309512195122,,28.0,,2069.831197434598
6,38,39852,,29.532025245616254,,42.38601267423653,,20.307218670217416,,28.449103716638316,,58.64097845354773,,413.8683414634147,,28.0,,2072.6135506053297
7,45,39859,,36.228010424075165,,25.460842177107203,,44.67346834713007,,37.93213828885107,,78.18797127139695,,455.60268292682935,,28.0,,2323.327461177116
8,52,39866,,36.228010424075165,,25.460842177107203,,44.67346834713007,,37.93213828885107,,78.18797127139695,,559.9385365853658,,28.0,,2327.500895323458
9,59,39873,,29.93196395058219,,25.460842177107203,,44.67346834713007,,37.93213828885107,,78.18797127139695,,580.8060487804878,,28.0,,2289.300107675606
10,66,39880,,20.937611845592215,,25.460842177107203,,44.67346834713007,,37.93213828885107,,78.18797127139695,,706.0111219512196,,28.0,,2238.543327551498
11,73,39887,,13.004903252697172,,20.82688461538461,,32.52405790356685,,28.449103716638316,,58.64097845354773,,706.0111219512196,,28.0,,1710.6172744883866
12,80,39894,,7.095923883424868,,20.82688461538461,,17.748738175027466,,18.966069144425536,,39.09398563569847,,789.4798048780486,,28.0,,1256.872276055279
13,87,39901,,7.095923883424868,,20.82688461538461,,17.748738175027466,,18.966069144425536,,39.09398563569847,,852.0813170731708,,28.0,,1259.3763365430837
