Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,FofatoMonoPotasico (Lbs),Admin_FofatoMonoPotasico_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39815,,13.04916575266133,,19.066923076923075,,6.08148994616954,,10.837753796814594,,22.339420363256274,,69.55746341463414,,28.0,,882.4611026944261
2,8,39822,,13.04916575266133,,19.066923076923075,,6.08148994616954,,10.837753796814594,,22.339420363256274,,69.55746341463414,,28.0,,882.4611026944261
3,15,39829,,16.875442997495,,24.220578670992307,,11.60412495440995,,16.256630695221894,,33.50913054488442,,125.20370731707317,,28.0,,1213.4989008337077
4,22,39836,,16.875442997495,,24.220578670992307,,11.60412495440995,,16.256630695221894,,33.50913054488442,,166.93736585365855,,28.0,,1215.168247175171
5,29,39843,,16.875442997495,,24.220578670992307,,11.60412495440995,,16.256630695221894,,33.50913054488442,,166.93736585365855,,28.0,,1215.168247175171
6,36,39850,,16.875442997495,,24.220578670992307,,11.60412495440995,,16.256630695221894,,33.50913054488442,,236.49619512195125,,28.0,,1217.9506003459028
7,43,39857,,20.701720242328665,,14.549052672632689,,25.527696198360044,,21.675507593629188,,44.67884072651255,,236.49619512195125,,28.0,,1360.2617642963316
8,50,39864,,20.701720242328665,,14.549052672632689,,25.527696198360044,,21.675507593629188,,44.67884072651255,,319.96487804878046,,28.0,,1363.6005116134047
9,57,39871,,17.103979400332683,,14.549052672632689,,25.527696198360044,,21.675507593629188,,44.67884072651255,,319.96487804878046,,28.0,,1341.2945183930296
10,64,39878,,17.103979400332683,,14.549052672632689,,25.527696198360044,,21.675507593629188,,44.67884072651255,,403.4349268292683,,28.0,,1344.6333203442491
11,71,39885,,7.4313732872555285,,11.901076923076921,,18.585175944895337,,16.256630695221894,,33.50913054488442,,403.4349268292683,,28.0,,1011.0955854219351
12,78,39892,,4.054813647671354,,11.901076923076921,,10.142136100015694,,10.837753796814594,,22.339420363256274,,403.4349268292683,,28.0,,749.904873564689
13,85,39899,,4.054813647671354,,11.901076923076921,,10.142136100015694,,10.837753796814594,,22.339420363256274,,486.9036097560976,,28.0,,753.2436208817621
