Semana,N,Nitrato de Amonio,P2O5,FofatoMonoPotasico,K2O,Kcl Soluble,MgO,Sulfato de Magnesio,Ca,Nitrato de Calcio,B,Solubor
1,2.7978859583736675,4.660416340236189,3.541,6.809615384615384,3.6184456478055607,2.1719606950605503,0.619300216960834,3.8706263560052125,2.154158392171141,7.97836441544867,5.0926,24.841951219512197
2,2.7978859583736675,4.660416340236189,3.541,6.809615384615384,3.6184456478055607,2.1719606950605503,0.619300216960834,3.8706263560052125,2.154158392171141,7.97836441544867,5.0926,24.841951219512197
3,3.8739959423635395,6.026943927676786,4.49810746747,8.650206668211538,5.427668471708341,4.144330340860697,0.9289503254412511,5.80593953400782,3.231237588256712,11.967546623173007,9.1667,44.715609756097564
4,3.8739959423635395,6.026943927676786,4.49810746747,8.650206668211538,5.427668471708341,4.144330340860697,0.9289503254412511,5.80593953400782,3.231237588256712,11.967546623173007,12.2222,59.62048780487805
5,3.8739959423635395,6.026943927676786,4.49810746747,8.650206668211538,5.427668471708341,4.144330340860697,0.9289503254412511,5.80593953400782,3.231237588256712,11.967546623173007,12.2222,59.62048780487805
6,3.8739959423635395,6.026943927676786,4.49810746747,8.650206668211538,5.427668471708341,4.144330340860697,0.9289503254412511,5.80593953400782,3.231237588256712,11.967546623173007,17.3149,84.46292682926831
7,4.950105926353411,7.393471515117381,2.7019669249174996,5.196090240225961,7.236891295611121,9.11703435655716,1.238600433921668,7.741252712010425,4.308316784342282,15.95672883089734,17.3149,84.46292682926831
8,4.950105926353411,7.393471515117381,2.7019669249174996,5.196090240225961,7.236891295611121,9.11703435655716,1.238600433921668,7.741252712010425,4.308316784342282,15.95672883089734,23.426,114.27317073170731
9,4.5196619327574625,6.108564071547387,2.7019669249174996,5.196090240225961,7.236891295611121,9.11703435655716,1.238600433921668,7.741252712010425,4.308316784342282,15.95672883089734,23.426,114.27317073170731
10,4.5196619327574625,6.108564071547387,2.7019669249174996,5.196090240225961,7.236891295611121,9.11703435655716,1.238600433921668,7.741252712010425,4.308316784342282,15.95672883089734,29.5372,144.0839024390244
11,2.744080459174174,2.654061888305546,2.2102,4.250384615384615,5.427668471708341,6.637562837462621,0.9289503254412511,5.80593953400782,3.231237588256712,11.967546623173007,29.5372,144.0839024390244
12,1.7217759743837953,1.448147731311198,2.2102,4.250384615384615,3.6184456478055607,3.6221914642913196,0.619300216960834,3.8706263560052125,2.154158392171141,7.97836441544867,29.5372,144.0839024390244
13,1.7217759743837953,1.448147731311198,2.2102,4.250384615384615,3.6184456478055607,3.6221914642913196,0.619300216960834,3.8706263560052125,2.154158392171141,7.97836441544867,35.6483,173.89414634146343
