Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Nitrato de Potasio (Lbs),Nitrato de Potasio (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,40280,,1.7778391758879326,,1.3136767662973867,,1.4133551744565216,,1.2363624717291894,,2.548463592652456,,22.823542682926828,,2.6249999999999996,,106.64255711462677
2,8,40287,,2.5397702512684757,,1.876681094710553,,2.0190788206521737,,1.7662321024702707,,3.6406622752177933,,33.257213414634144,,2.6249999999999996,,149.2225962613135
3,15,40294,,3.873149633184425,,2.8619386694335938,,3.0790952014945643,,2.693503956267162,,5.552009969707135,,48.907527439024385,,2.6249999999999996,,223.6333203777714
4,22,40301,,4.422262890390809,,3.1903578610079393,,3.7098442000679346,,3.245265045773027,,6.689332624350077,,54.7763231707317,,2.6249999999999996,,258.78054641009
5,29,40308,,5.424839805541078,,3.853451847805667,,4.536533360054347,,3.968428955075268,,8.179960928361444,,64.55803353658537,,2.6249999999999996,,313.43053480928825
6,36,40315,,7.475405690908148,,4.904393260843577,,6.154457845108694,,5.383742778214001,,11.097289651063777,,77.60031402439024,,2.6249999999999996,,413.5333799538148
7,43,40322,,8.518560153614006,,4.704213944074452,,6.802053904891302,,5.950241192501681,,12.264989752869948,,85.42550304878048,,2.6249999999999996,,437.07973963754927
8,50,40329,,10.76301738509859,,4.554079456497608,,8.262424006793475,,7.227730971050422,,14.898227387512598,,104.98847560975608,,2.6249999999999996,,498.32301469327655
9,57,40336,,9.810892230359336,,4.554079456497608,,8.677614144474635,,7.590927366505974,,15.646869320574941,,108.90113414634145,,2.6249999999999996,,507.0471779822884
10,64,40343,,13.095682465786913,,4.554079456497608,,11.168754970561594,,9.770105739239282,,20.138720918949,,132.37708536585365,,2.6249999999999996,,615.176912932311
11,71,40350,,13.095682465786913,,4.554079456497608,,11.168754970561594,,9.770105739239282,,20.138720918949,,132.37708536585365,,2.6249999999999996,,615.176912932311
12,78,40357,,14.473543498301956,,4.554079456497608,,12.213706283967376,,10.684199105173171,,22.02290433330769,,148.0274634146341,,2.6249999999999996,,660.7658857236511
13,85,40364,,15.931301108830274,,3.3694026639344257,,12.997419769021718,,11.369769129623586,,23.436041894076705,,159.76524695121952,,2.6249999999999996,,663.2330317169043
14,92,40371,,15.931301108830274,,3.3694026639344257,,12.997419769021718,,11.369769129623586,,23.436041894076705,,159.76524695121952,,2.6249999999999996,,663.2330317169043
15,99,40378,,15.931301108830274,,3.3694026639344257,,12.997419769021718,,11.369769129623586,,23.436041894076705,,159.76524695121952,,2.6249999999999996,,663.2330317169043
16,106,40385,,15.931301108830274,,3.3694026639344257,,12.997419769021718,,11.369769129623586,,23.436041894076705,,159.76524695121952,,2.6249999999999996,,663.2330317169043
17,113,40392,,15.931301108830274,,3.3694026639344257,,12.997419769021718,,11.369769129623586,,23.436041894076705,,159.76524695121952,,2.6249999999999996,,663.2330317169043
18,120,40399,,15.931301108830274,,3.3694026639344257,,12.997419769021718,,11.369769129623586,,23.436041894076705,,159.76524695121952,,2.6249999999999996,,663.2330317169043
19,127,40406,,15.931301108830274,,3.3694026639344257,,12.997419769021718,,11.369769129623586,,23.436041894076705,,159.76524695121952,,2.6249999999999996,,663.2330317169043
20,134,40413,,15.931301108830274,,3.3694026639344257,,12.997419769021718,,11.369769129623586,,23.436041894076705,,159.76524695121952,,2.6249999999999996,,663.2330317169043
21,141,40420,,15.931301108830274,,3.3694026639344257,,12.997419769021718,,11.369769129623586,,23.436041894076705,,159.76524695121952,,2.6249999999999996,,663.2330317169043
22,148,40427,,15.931301108830274,,3.3694026639344257,,12.997419769021718,,11.369769129623586,,23.436041894076705,,159.76524695121952,,2.6249999999999996,,663.2330317169043
23,155,40434,,15.931301108830274,,3.3694026639344257,,12.997419769021718,,11.369769129623586,,23.436041894076705,,159.76524695121952,,2.6249999999999996,,663.2330317169043
