Fase,Día Después Siembra,Semana,N,P2O5,K20,MgO,CaO,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O
,1.0,1,1.449758220863807,0.8722098802083332,1.5725312296296294,0.2153121039201854,0.7489362394733748,5.0926,3.1,0.4,0.4
,2.0,1,1.449758220863807,0.8722098802083332,1.5725312296296294,0.2153121039201854,0.7489362394733748,5.0926,3.1,0.4,0.4
,3.0,1,1.449758220863807,0.8722098802083332,1.5725312296296294,0.2153121039201854,0.7489362394733748,5.0926,3.1,0.4,0.4
,4.0,1,1.449758220863807,0.8722098802083332,1.5725312296296294,0.2153121039201854,0.7489362394733748,5.0926,3.1,0.4,0.4
,5.0,1,1.449758220863807,0.8722098802083332,1.5725312296296294,0.2153121039201854,0.7489362394733748,5.0926,3.1,0.4,0.4
,6.0,1,1.449758220863807,0.8722098802083332,1.5725312296296294,0.2153121039201854,0.7489362394733748,5.0926,3.1,0.4,0.4
,7.0,1,1.449758220863807,0.8722098802083332,1.5725312296296294,0.2153121039201854,0.7489362394733748,5.0926,3.1,0.4,0.4
,8.0,2,1.449758220863807,0.8722098802083332,1.5725312296296294,0.2153121039201854,0.7489362394733748,5.0926,3.1,0.4,0.4
,9.0,2,1.449758220863807,0.8722098802083332,1.5725312296296294,0.2153121039201854,0.7489362394733748,5.0926,3.1,0.4,0.4
,10.0,2,1.449758220863807,0.8722098802083332,1.5725312296296294,0.2153121039201854,0.7489362394733748,5.0926,3.1,0.4,0.4
,11.0,2,2.537076886511662,1.5263672903645833,2.7519296518518517,0.37679618186032443,1.310638419078406,9.1667,3.1000000000000005,0.4,0.39999999999999997
,12.0,2,2.537076886511662,1.5263672903645833,2.7519296518518517,0.37679618186032443,1.310638419078406,9.1667,3.1000000000000005,0.4,0.39999999999999997
,13.0,2,2.537076886511662,1.5263672903645833,2.7519296518518517,0.37679618186032443,1.310638419078406,9.1667,3.1000000000000005,0.4,0.39999999999999997
,14.0,2,2.537076886511662,1.5263672903645833,2.7519296518518517,0.37679618186032443,1.310638419078406,9.1667,3.1000000000000005,0.4,0.39999999999999997
,15.0,3,2.537076886511662,1.5263672903645833,2.7519296518518517,0.37679618186032443,1.310638419078406,9.1667,3.1000000000000005,0.4,0.39999999999999997
,16.0,3,2.537076886511662,1.5263672903645833,2.7519296518518517,0.37679618186032443,1.310638419078406,9.1667,3.1000000000000005,0.4,0.39999999999999997
,17.0,3,2.537076886511662,1.5263672903645833,2.7519296518518517,0.37679618186032443,1.310638419078406,9.1667,3.1000000000000005,0.4,0.39999999999999997
,18.0,3,3.6243955521595175,2.180524700520833,3.9313280740740737,0.5382802598004635,1.872340598683437,12.2222,3.1,0.4,0.39999999999999997
,19.0,3,3.6243955521595175,2.180524700520833,3.9313280740740737,0.5382802598004635,1.872340598683437,12.2222,3.1,0.4,0.39999999999999997
,20.0,3,3.6243955521595175,2.180524700520833,3.9313280740740737,0.5382802598004635,1.872340598683437,12.2222,3.1,0.4,0.39999999999999997
,21.0,3,3.6243955521595175,2.180524700520833,3.9313280740740737,0.5382802598004635,1.872340598683437,12.2222,3.1,0.4,0.39999999999999997
,22.0,4,3.758013821363555,2.180524700520833,4.212137222222222,0.5767288497862109,2.0060792128751115,12.2222,3,0.4,0.4
,23.0,4,3.758013821363555,2.180524700520833,4.212137222222222,0.5767288497862109,2.0060792128751115,12.2222,3,0.4,0.4
,24.0,4,3.758013821363555,2.180524700520833,4.212137222222222,0.5767288497862109,2.0060792128751115,12.2222,3,0.4,0.4
,25.0,4,3.758013821363555,2.180524700520833,4.212137222222222,0.5767288497862109,2.0060792128751115,12.2222,3,0.4,0.4
,26.0,4,3.582146179477083,2.035156387152777,4.0150175,0.5497390760277429,1.9121986585780002,12.2222,3,0.39999999999999997,0.4
,27.0,4,3.582146179477083,2.035156387152777,4.0150175,0.5497390760277429,1.9121986585780002,12.2222,3,0.39999999999999997,0.4
,28.0,4,3.582146179477083,2.035156387152777,4.0150175,0.5497390760277429,1.9121986585780002,12.2222,3,0.39999999999999997,0.4
,29.0,5,3.582146179477083,2.035156387152777,4.0150175,0.5497390760277429,1.9121986585780002,12.2222,3,0.39999999999999997,0.4
,30.0,5,3.582146179477083,2.035156387152777,4.0150175,0.5497390760277429,1.9121986585780002,12.2222,3,0.39999999999999997,0.4
,31.0,5,3.582146179477083,2.035156387152777,4.0150175,0.5497390760277429,1.9121986585780002,12.2222,3,0.39999999999999997,0.4
,32.0,5,3.582146179477083,2.035156387152777,4.0150175,0.5497390760277429,1.9121986585780002,12.2222,3,0.39999999999999997,0.4
,33.0,5,5.731433887163333,3.256250219444443,6.424028,0.8795825216443888,3.0595178537248007,17.3149,3,0.4,0.4
,34.0,5,5.731433887163333,3.256250219444443,6.424028,0.8795825216443888,3.0595178537248007,17.3149,3,0.4,0.4
,35.0,5,5.731433887163333,3.256250219444443,6.424028,0.8795825216443888,3.0595178537248007,17.3149,3,0.4,0.4
,36.0,6,5.731433887163333,3.256250219444443,6.424028,0.8795825216443888,3.0595178537248007,17.3149,3,0.4,0.4
,37.0,6,6.172313416945127,3.256250219444443,6.918183999999999,0.9472427156170339,3.2948653809344,17.3149,3,0.4,0.4
,38.0,6,6.172313416945127,3.256250219444443,6.918183999999999,0.9472427156170339,3.2948653809344,17.3149,3,0.4,0.4
,39.0,6,6.172313416945127,3.256250219444443,6.918183999999999,0.9472427156170339,3.2948653809344,17.3149,3,0.4,0.4
,40.0,6,6.172313416945127,3.256250219444443,6.918183999999999,0.9472427156170339,3.2948653809344,17.3149,3,0.4,0.4
,41.0,6,6.172313416945127,3.256250219444443,6.918183999999999,0.9472427156170339,3.2948653809344,17.3149,3,0.4,0.4
,42.0,6,6.172313416945127,3.256250219444443,6.918183999999999,0.9472427156170339,3.2948653809344,17.3149,3,0.4,0.4
,43.0,7,6.172313416945127,3.256250219444443,6.918183999999999,0.9472427156170339,3.2948653809344,17.3149,3,0.4,0.4
,44.0,7,6.172313416945127,3.256250219444443,6.918183999999999,0.9472427156170339,3.2948653809344,17.3149,3,0.4,0.4
,45.0,7,6.172313416945127,3.256250219444443,6.918183999999999,0.9472427156170339,3.2948653809344,17.3149,3,0.4,0.4
,46.0,7,6.172313416945127,3.0236609180555556,6.918183999999999,0.9472427156170339,3.2948653809344,17.3149,3,0.4,0.4
,47.0,7,6.172313416945127,3.0236609180555556,6.918183999999999,0.9472427156170339,3.2948653809344,17.3149,3,0.4,0.4
,48.0,7,8.201840244609901,3.0236609180555556,9.192961555555554,1.2587068901965364,4.378254579187377,23.426,3,0.4,0.39999999999999997
,49.0,7,8.201840244609901,3.0236609180555556,9.192961555555554,1.2587068901965364,4.378254579187377,23.426,3,0.4,0.39999999999999997
,50.0,8,8.201840244609901,3.0236609180555556,9.192961555555554,1.2587068901965364,4.378254579187377,23.426,3,0.4,0.39999999999999997
,51.0,8,8.201840244609901,3.0236609180555556,9.192961555555554,1.2587068901965364,4.378254579187377,23.426,3,0.4,0.39999999999999997
,52.0,8,8.201840244609901,3.0236609180555556,9.192961555555554,1.2587068901965364,4.378254579187377,23.426,3,0.4,0.39999999999999997
,53.0,8,8.201840244609901,3.0236609180555556,9.192961555555554,1.2587068901965364,4.378254579187377,23.426,3,0.4,0.39999999999999997
,54.0,8,8.201840244609901,3.0236609180555556,9.192961555555554,1.2587068901965364,4.378254579187377,23.426,3,0.4,0.39999999999999997
,55.0,8,8.201840244609901,3.0236609180555556,9.192961555555554,1.2587068901965364,4.378254579187377,23.426,3,0.4,0.39999999999999997
,56.0,8,8.201840244609901,3.0236609180555556,9.192961555555554,1.2587068901965364,4.378254579187377,23.426,3,0.4,0.39999999999999997
,57.0,9,7.65505089496924,3.0236609180555556,9.192961555555554,1.2587068901965364,4.378254579187377,23.426,2.8,0.4,0.39999999999999997
,58.0,9,7.65505089496924,3.0236609180555556,9.192961555555554,1.2587068901965364,4.378254579187377,23.426,2.8,0.4,0.39999999999999997
,59.0,9,7.65505089496924,3.0236609180555556,9.192961555555554,1.2587068901965364,4.378254579187377,23.426,2.8,0.4,0.39999999999999997
,60.0,9,7.65505089496924,3.0236609180555556,9.192961555555554,1.2587068901965364,4.378254579187377,23.426,2.8,0.4,0.39999999999999997
,61.0,9,7.65505089496924,3.0236609180555556,9.192961555555554,1.2587068901965364,4.378254579187377,23.426,2.8,0.4,0.39999999999999997
,62.0,9,7.65505089496924,3.0236609180555556,9.192961555555554,1.2587068901965364,4.378254579187377,23.426,2.8,0.4,0.39999999999999997
,63.0,9,10.347736652439112,3.0236609180555556,12.426611728395061,1.701460591323304,5.918317984344198,29.5372,2.8000000000000003,0.4,0.4000000000000001
,64.0,10,10.347736652439112,3.0236609180555556,12.426611728395061,1.701460591323304,5.918317984344198,29.5372,2.8000000000000003,0.4,0.4000000000000001
,65.0,10,10.347736652439112,3.0236609180555556,12.426611728395061,1.701460591323304,5.918317984344198,29.5372,2.8000000000000003,0.4,0.4000000000000001
,66.0,10,10.347736652439112,3.0236609180555556,12.426611728395061,1.701460591323304,5.918317984344198,29.5372,2.8000000000000003,0.4,0.4000000000000001
,67.0,10,10.347736652439112,3.0236609180555556,12.426611728395061,1.701460591323304,5.918317984344198,29.5372,2.8000000000000003,0.4,0.4000000000000001
,68.0,10,10.347736652439112,3.0236609180555556,12.426611728395061,1.701460591323304,5.918317984344198,29.5372,2.8000000000000003,0.4,0.4000000000000001
,69.0,10,10.347736652439112,3.0236609180555556,12.426611728395061,1.701460591323304,5.918317984344198,29.5372,2.8000000000000003,0.4,0.4000000000000001
,70.0,10,10.347736652439112,3.0236609180555556,12.426611728395061,1.701460591323304,5.918317984344198,29.5372,2.8000000000000003,0.4,0.4000000000000001
,71.0,11,10.347736652439112,3.0236609180555556,12.426611728395061,1.701460591323304,5.918317984344198,29.5372,2.8000000000000003,0.4,0.4000000000000001
,72.0,11,10.347736652439112,3.0236609180555556,12.426611728395061,1.701460591323304,5.918317984344198,29.5372,2.8000000000000003,0.4,0.4000000000000001
,73.0,11,10.347736652439112,3.0236609180555556,12.426611728395061,1.701460591323304,5.918317984344198,29.5372,2.8000000000000003,0.4,0.4000000000000001
,74.0,11,10.347736652439112,3.0236609180555556,12.426611728395061,1.701460591323304,5.918317984344198,29.5372,2.8000000000000003,0.4,0.4000000000000001
,75.0,11,10.347736652439112,3.0236609180555556,12.426611728395061,1.701460591323304,5.918317984344198,29.5372,2.8000000000000003,0.4,0.4000000000000001
,76.0,11,10.347736652439112,3.0236609180555556,12.426611728395061,1.701460591323304,5.918317984344198,29.5372,2.8000000000000003,0.4,0.4000000000000001
,77.0,11,10.347736652439112,3.0236609180555556,12.426611728395061,1.701460591323304,5.918317984344198,29.5372,2.8000000000000003,0.4,0.4000000000000001
,78.0,12,10.347736652439112,3.0236609180555556,12.426611728395061,1.701460591323304,5.918317984344198,29.5372,2.8000000000000003,0.4,0.4000000000000001
,79.0,12,10.347736652439112,3.0236609180555556,12.426611728395061,1.701460591323304,5.918317984344198,29.5372,2.8000000000000003,0.4,0.4000000000000001
,80.0,12,10.347736652439112,3.0236609180555556,12.426611728395061,1.701460591323304,5.918317984344198,29.5372,2.8000000000000003,0.4,0.4000000000000001
,81.0,12,12.04197578741223,3.0236609180555556,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,82.0,12,12.04197578741223,3.0236609180555556,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,83.0,12,12.04197578741223,3.0236609180555556,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,84.0,12,12.04197578741223,3.0236609180555556,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,85.0,13,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,86.0,13,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,87.0,13,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,88.0,13,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,89.0,13,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,90.0,13,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,91.0,13,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,92.0,14,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,93.0,14,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,94.0,14,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,95.0,14,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,96.0,14,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,97.0,14,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,98.0,14,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,99.0,15,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,100.0,15,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,101.0,15,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,102.0,15,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,103.0,15,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,104.0,15,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,105.0,15,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,106.0,16,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,107.0,16,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,108.0,16,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,109.0,16,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,110.0,16,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,111.0,16,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,112.0,16,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,113.0,17,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,114.0,17,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,115.0,17,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,116.0,17,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,117.0,17,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,118.0,17,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,119.0,17,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
,120.0,18,12.04197578741223,2.2371,14.4612259259259,1.9800414266555366,6.887326597442952,35.6483,2.8,0.4,0.4000000000000001
