Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Sulfato de Potasio (Lbs),Admin_Sulfato de Potasio_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
2,14,39060,,1.1855480446334605,,81.596515,,46.88068629719476,,26.07693235391891,,43.00105461407416,,363.55284819512195,,20.019999999999996,,833.9648134332392
4,28,39074,,24.149443879528445,,88.47360260869564,,77.01827034539137,,42.840674581438215,,70.64458972312185,,672.147842219512,,20.019999999999996,,1256.3573903704264
6,42,39088,,148.57094700871207,,74.31160359175813,,212.07929515397615,,117.9670749343951,,194.52858039700212,,921.5651811219512,,20.019999999999996,,3029.374164996996
8,56,39102,,169.1974743567564,,68.94110468351627,,256.5043264546512,,142.67807273644203,,235.2771988170058,,1234.390352317073,,20.019999999999996,,3552.479503531538
10,70,39116,,149.82008783282123,,64.79979598443437,,262.53184326429056,,146.0308211819459,,240.80590583881533,,1564.12627102439,,20.019999999999996,,3549.9659542261757
12,84,39130,,136.51222340237405,,57.34544032608693,,262.53184326429056,,146.0308211819459,,240.80590583881533,,1817.7692215609752,,20.019999999999996,,3490.0510960473193
14,98,39144,,126.98996898002704,,57.34544032608693,,262.53184326429056,,146.0308211819459,,240.80590583881533,,2071.4096818048774,,20.019999999999996,,3467.5949204395165
16,112,39158,,124.39299050120513,,57.34544032608693,,262.53184326429056,,146.0308211819459,,240.80590583881533,,2071.4096818048774,,20.019999999999996,,3459.2845893072863
18,126,39172,,124.39299050120513,,57.34544032608693,,262.53184326429056,,146.0308211819459,,240.80590583881533,,2071.4096818048774,,20.019999999999996,,3459.2845893072863
20,140,39186,,124.39299050120513,,57.34544032608693,,262.53184326429056,,146.0308211819459,,240.80590583881533,,2071.4096818048774,,20.019999999999996,,3459.2845893072863
22,154,39200,,124.39299050120513,,57.34544032608693,,262.53184326429056,,146.0308211819459,,240.80590583881533,,2071.4096818048774,,20.019999999999996,,3459.2845893072863
24,168,39214,,62.19649525060256,,28.672720163043476,,131.2659216321453,,73.01541059097296,,120.40295291940767,,1035.704840902439,,20.019999999999996,,1754.667294653643
