Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Sulfato de Potasio (Lbs),Admin_Sulfato de Potasio_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,7,39053,,0.5927740223167303,,40.79825749999999,,23.440343148597375,,13.038466176959455,,21.50052730703708,,147.95741936585367,,20.019999999999996,,440.93872616709774
2,14,39060,,0.5927740223167303,,40.79825749999999,,23.440343148597375,,13.038466176959455,,21.50052730703708,,215.5954288292683,,20.019999999999996,,443.0760872661416
3,21,39067,,2.746901028348811,,43.9722979347826,,27.45868768835692,,15.273631807295361,,25.186331988243438,,317.0511978780488,,20.019999999999996,,506.07028821028484
4,28,39074,,21.40254285117963,,44.50130467391304,,49.55958265703445,,27.56704277414285,,45.458257734878394,,355.09664434146345,,20.019999999999996,,800.3371021601413
5,35,39081,,65.34205241415955,,39.84105124999999,,94.87757941098934,,52.7747440495978,,87.02594386181674,,418.50821207317074,,20.019999999999996,,1401.9336273918927
6,42,39088,,83.22889459455251,,34.47055234175814,,117.20171574298685,,65.1923308847973,,107.50263653518543,,503.0569690487805,,20.019999999999996,,1677.4905376051033
7,49,39095,,86.7434259077076,,34.47055234175814,,125.23840482250598,,69.6626621454691,,114.87424589759813,,553.785061097561,,20.019999999999996,,1774.546555005218
8,56,39102,,82.45404844904878,,34.47055234175814,,131.2659216321453,,73.01541059097296,,120.40295291940767,,680.6052912195121,,20.019999999999996,,1827.9829485263203
9,63,39109,,77.26009149140489,,34.47055234175814,,131.2659216321453,,73.01541059097296,,120.40295291940767,,705.9697522926829,,20.019999999999996,,1812.1638032317721
10,70,39116,,72.55999634141628,,30.32924364267624,,131.2659216321453,,73.01541059097296,,120.40295291940767,,858.1565187317074,,20.019999999999996,,1787.8521509944032
11,77,39123,,68.25611170118702,,28.672720163043476,,131.2659216321453,,73.01541059097296,,120.40295291940767,,858.1565187317074,,20.019999999999996,,1768.4475403149183
12,84,39130,,68.25611170118702,,28.672720163043476,,131.2659216321453,,73.01541059097296,,120.40295291940767,,959.6127028292684,,20.019999999999996,,1771.6535557324012
13,91,39137,,64.79347372942448,,28.672720163043476,,131.2659216321453,,73.01541059097296,,120.40295291940767,,1035.704840902439,,20.019999999999996,,1762.9776257858732
14,98,39144,,62.19649525060256,,28.672720163043476,,131.2659216321453,,73.01541059097296,,120.40295291940767,,1035.704840902439,,20.019999999999996,,1754.667294653643
15,105,39151,,62.19649525060256,,28.672720163043476,,131.2659216321453,,73.01541059097296,,120.40295291940767,,1035.704840902439,,20.019999999999996,,1754.667294653643
16,112,39158,,62.19649525060256,,28.672720163043476,,131.2659216321453,,73.01541059097296,,120.40295291940767,,1035.704840902439,,20.019999999999996,,1754.667294653643
17,119,39165,,62.19649525060256,,28.672720163043476,,131.2659216321453,,73.01541059097296,,120.40295291940767,,1035.704840902439,,20.019999999999996,,1754.667294653643
18,126,39172,,62.19649525060256,,28.672720163043476,,131.2659216321453,,73.01541059097296,,120.40295291940767,,1035.704840902439,,20.019999999999996,,1754.667294653643
19,133,39179,,62.19649525060256,,28.672720163043476,,131.2659216321453,,73.01541059097296,,120.40295291940767,,1035.704840902439,,20.019999999999996,,1754.667294653643
20,140,39186,,62.19649525060256,,28.672720163043476,,131.2659216321453,,73.01541059097296,,120.40295291940767,,1035.704840902439,,20.019999999999996,,1754.667294653643
21,147,39193,,62.19649525060256,,28.672720163043476,,131.2659216321453,,73.01541059097296,,120.40295291940767,,1035.704840902439,,20.019999999999996,,1754.667294653643
22,154,39200,,62.19649525060256,,28.672720163043476,,131.2659216321453,,73.01541059097296,,120.40295291940767,,1035.704840902439,,20.019999999999996,,1754.667294653643
23,161,39207,,62.19649525060256,,28.672720163043476,,131.2659216321453,,73.01541059097296,,120.40295291940767,,1035.704840902439,,20.019999999999996,,1754.667294653643
