Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Sulfato de Potasio (Lbs),Sulfato de Potasio (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39047,,0.1693640063762087,,11.656644999999996,,6.697240899599249,,3.7252760505598443,,6.143007802010595,,42.2735483902439,,20.019999999999996,,161.7324931905993
2,8,39054,,0.1693640063762087,,11.656644999999996,,6.697240899599249,,3.7252760505598443,,6.143007802010595,,42.2735483902439,,20.019999999999996,,161.7324931905993
3,15,39061,,0.528385174048222,,12.185651739130432,,7.3669649895591744,,4.097803655615828,,6.757308582211655,,76.09255312195121,,20.019999999999996,,172.7658735138216
4,22,39068,,0.5164094161742446,,12.714658478260867,,8.0366890795191,,4.470331260671813,,7.3716093624127135,,101.45618409756098,,20.019999999999996,,182.34487386460398
5,29,39075,,13.579816012554094,,12.714658478260867,,22.324136331997497,,12.417586835199481,,20.476692673368646,,101.45618409756098,,20.019999999999996,,373.8482362872889
6,36,39082,,23.779684169872144,,9.848729240502326,,33.48620449799625,,18.626380252799223,,30.71503901005298,,143.73056258536585,,20.019999999999996,,515.0330107443152
7,43,39089,,23.779684169872144,,9.848729240502326,,33.48620449799625,,18.626380252799223,,30.71503901005298,,143.73056258536585,,20.019999999999996,,515.0330107443152
8,50,39096,,25.5369498264497,,9.848729240502326,,37.5045490377558,,20.86154588313513,,34.40084369125934,,194.4586546341463,,20.019999999999996,,564.3625232987432
9,57,39103,,22.074311854687114,,9.848729240502326,,37.5045490377558,,20.86154588313513,,34.40084369125934,,194.4586546341463,,20.019999999999996,,553.2820817891029
10,64,39110,,22.074311854687114,,9.848729240502326,,37.5045490377558,,20.86154588313513,,34.40084369125934,,245.1875767804878,,20.019999999999996,,554.8851157289273
11,71,39117,,19.501746200339152,,8.192205760869564,,37.5045490377558,,20.86154588313513,,34.40084369125934,,245.1875767804878,,20.019999999999996,,541.0207258042625
12,78,39124,,19.501746200339152,,8.192205760869564,,37.5045490377558,,20.86154588313513,,34.40084369125934,,245.1875767804878,,20.019999999999996,,541.0207258042625
13,85,39131,,19.501746200339152,,8.192205760869564,,37.5045490377558,,20.86154588313513,,34.40084369125934,,295.91566882926827,,20.019999999999996,,542.6237335130039
14,92,39138,,17.77042721445787,,8.192205760869564,,37.5045490377558,,20.86154588313513,,34.40084369125934,,295.91566882926827,,20.019999999999996,,537.0835127581838
15,99,39145,,17.77042721445787,,8.192205760869564,,37.5045490377558,,20.86154588313513,,34.40084369125934,,295.91566882926827,,20.019999999999996,,537.0835127581838
16,106,39152,,17.77042721445787,,8.192205760869564,,37.5045490377558,,20.86154588313513,,34.40084369125934,,295.91566882926827,,20.019999999999996,,537.0835127581838
17,113,39159,,17.77042721445787,,8.192205760869564,,37.5045490377558,,20.86154588313513,,34.40084369125934,,295.91566882926827,,20.019999999999996,,537.0835127581838
18,120,39166,,17.77042721445787,,8.192205760869564,,37.5045490377558,,20.86154588313513,,34.40084369125934,,295.91566882926827,,20.019999999999996,,537.0835127581838
19,127,39173,,17.77042721445787,,8.192205760869564,,37.5045490377558,,20.86154588313513,,34.40084369125934,,295.91566882926827,,20.019999999999996,,537.0835127581838
20,134,39180,,17.77042721445787,,8.192205760869564,,37.5045490377558,,20.86154588313513,,34.40084369125934,,295.91566882926827,,20.019999999999996,,537.0835127581838
21,141,39187,,17.77042721445787,,8.192205760869564,,37.5045490377558,,20.86154588313513,,34.40084369125934,,295.91566882926827,,20.019999999999996,,537.0835127581838
22,148,39194,,17.77042721445787,,8.192205760869564,,37.5045490377558,,20.86154588313513,,34.40084369125934,,295.91566882926827,,20.019999999999996,,537.0835127581838
23,155,39201,,17.77042721445787,,8.192205760869564,,37.5045490377558,,20.86154588313513,,34.40084369125934,,295.91566882926827,,20.019999999999996,,537.0835127581838
