Fase,Día después Siembra,Semana,N,P2O5,K20,MgO,Ca,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O
1.0,1.0,1,1.5519976280957402,2.6783499999999996,1.739543090805,0.29772435968510247,0.8284775756957347,4.32871,3.0000000000000004,0.5,0.39999999999999997
,2.0,1,1.5519976280957402,2.6783499999999996,1.739543090805,0.29772435968510247,0.8284775756957347,4.32871,3.0000000000000004,0.5,0.39999999999999997
,3.0,1,1.5519976280957402,2.6783499999999996,1.739543090805,0.29772435968510247,0.8284775756957347,4.32871,3.0000000000000004,0.5,0.39999999999999997
,4.0,1,1.5519976280957402,2.6783499999999996,1.739543090805,0.29772435968510247,0.8284775756957347,4.32871,3.0000000000000004,0.5,0.39999999999999997
,5.0,1,1.5519976280957402,2.6783499999999996,1.739543090805,0.29772435968510247,0.8284775756957347,4.32871,3.0000000000000004,0.5,0.39999999999999997
,6.0,1,1.5519976280957402,2.6783499999999996,1.739543090805,0.29772435968510247,0.8284775756957347,4.32871,3.0000000000000004,0.5,0.39999999999999997
,7.0,1,1.5519976280957402,2.6783499999999996,1.739543090805,0.29772435968510247,0.8284775756957347,4.32871,3.0000000000000004,0.5,0.39999999999999997
,8.0,2,1.5519976280957402,2.6783499999999996,1.739543090805,0.29772435968510247,0.8284775756957347,4.32871,3.0000000000000004,0.5,0.39999999999999997
,9.0,2,1.5519976280957402,2.6783499999999996,1.739543090805,0.29772435968510247,0.8284775756957347,4.32871,3.0000000000000004,0.5,0.39999999999999997
,10.0,2,1.5519976280957402,2.6783499999999996,1.739543090805,0.29772435968510247,0.8284775756957347,4.32871,3.0000000000000004,0.5,0.39999999999999997
,11.0,2,1.5519976280957402,2.6783499999999996,1.739543090805,0.29772435968510247,0.8284775756957347,7.791695,3.0000000000000004,0.5,0.39999999999999997
,12.0,2,1.5519976280957402,2.6783499999999996,1.739543090805,0.29772435968510247,0.8284775756957347,7.791695,3.0000000000000004,0.5,0.39999999999999997
,13.0,2,1.5519976280957402,2.6783499999999996,1.739543090805,0.29772435968510247,0.8284775756957347,7.791695,3.0000000000000004,0.5,0.39999999999999997
,14.0,2,1.5519976280957402,2.6783499999999996,1.739543090805,0.29772435968510247,0.8284775756957347,7.791695,3.0000000000000004,0.5,0.39999999999999997
1.0,15.0,3,1.5519976280957402,2.6783499999999996,1.739543090805,0.29772435968510247,0.8284775756957347,7.791695,3.0000000000000004,0.5,0.39999999999999997
2.0,16.0,3,1.862397153714888,2.9214499999999997,2.0874517089660003,0.357269231622123,0.9941730908348816,7.791695,3.0,0.5000000000000001,0.3999999999999999
,17.0,3,1.862397153714888,2.9214499999999997,2.0874517089660003,0.357269231622123,0.9941730908348816,7.791695,3.0,0.5000000000000001,0.3999999999999999
,18.0,3,1.862397153714888,2.9214499999999997,2.0874517089660003,0.357269231622123,0.9941730908348816,10.38887,3.0,0.5000000000000001,0.3999999999999999
,19.0,3,1.862397153714888,2.9214499999999997,2.0874517089660003,0.357269231622123,0.9941730908348816,10.38887,3.0,0.5000000000000001,0.3999999999999999
,20.0,3,1.862397153714888,2.9214499999999997,2.0874517089660003,0.357269231622123,0.9941730908348816,10.38887,3.0,0.5000000000000001,0.3999999999999999
,21.0,3,1.862397153714888,2.9214499999999997,2.0874517089660003,0.357269231622123,0.9941730908348816,10.38887,3.0,0.5000000000000001,0.3999999999999999
,22.0,4,1.8003172485910584,2.9214499999999997,2.0874517089660003,0.357269231622123,0.9941730908348816,10.38887,2.9,0.5000000000000001,0.3999999999999999
,23.0,4,1.8003172485910584,2.9214499999999997,2.0874517089660003,0.357269231622123,0.9941730908348816,10.38887,2.9,0.5000000000000001,0.3999999999999999
,24.0,4,1.8003172485910584,2.9214499999999997,2.0874517089660003,0.357269231622123,0.9941730908348816,10.38887,2.9,0.5000000000000001,0.3999999999999999
2.0,25.0,4,1.8003172485910584,2.9214499999999997,2.0874517089660003,0.357269231622123,0.9941730908348816,10.38887,2.9,0.5000000000000001,0.3999999999999999
3.0,26.0,4,5.000881246086274,2.9214499999999997,5.79847696935,0.9924145322836749,2.7615919189857823,10.38887,2.9000000000000004,0.5,0.4
,27.0,4,5.000881246086274,2.9214499999999997,5.79847696935,0.9924145322836749,2.7615919189857823,10.38887,2.9000000000000004,0.5,0.4
,28.0,4,5.000881246086274,2.9214499999999997,5.79847696935,0.9924145322836749,2.7615919189857823,10.38887,2.9000000000000004,0.5,0.4
,29.0,5,5.000881246086274,2.9214499999999997,5.79847696935,0.9924145322836749,2.7615919189857823,10.38887,2.9000000000000004,0.5,0.4
3.0,30.0,5,5.000881246086274,2.9214499999999997,5.79847696935,0.9924145322836749,2.7615919189857823,10.38887,2.9000000000000004,0.5,0.4
4.0,31.0,5,6.501145619912155,2.493135,7.538020060155,1.2901388919687775,3.5900694946815173,10.38887,2.9,0.5,0.4000000000000001
,32.0,5,6.501145619912155,2.493135,7.538020060155,1.2901388919687775,3.5900694946815173,10.38887,2.9,0.5,0.4000000000000001
,33.0,5,6.501145619912155,2.493135,7.538020060155,1.2901388919687775,3.5900694946815173,14.717665,2.9,0.5,0.4000000000000001
,34.0,5,6.501145619912155,2.493135,7.538020060155,1.2901388919687775,3.5900694946815173,14.717665,2.9,0.5,0.4000000000000001
4.0,35.0,5,6.501145619912155,2.493135,7.538020060155,1.2901388919687775,3.5900694946815173,14.717665,2.9,0.5,0.4000000000000001
5.0,36.0,6,7.242655597780121,2.2629447805350003,8.697715454025001,1.4886217984255126,4.142387878478674,14.717665,2.8,0.5,0.4
,37.0,6,7.242655597780121,2.2629447805350003,8.697715454025001,1.4886217984255126,4.142387878478674,14.717665,2.8,0.5,0.4
