Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,FofatoMonoPotasico (Lbs),Admin_FofatoMonoPotasico_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
2,1,39412,,47.09096940347033,,42.152495,,21.088609047959853,,25.979114782944407,,53.549690893703286,,427.70923317073175,,20.019999999999996,,1525.993933395452
4,15,39426,,84.01128554665067,,68.71653249999997,,50.38517659229498,,51.59691889089204,,106.3546268131002,,790.7621673170731,,20.019999999999996,,2801.391721773966
6,29,39440,,175.39857403448383,,84.90867000000001,,162.19825998175781,,121.4840974217916,,250.41022066342177,,1084.1943307317076,,20.019999999999996,,5715.387207534375
8,43,39454,,219.70554009793344,,79.5077279914225,,218.38544358576178,,152.1718713181626,,313.66567875337114,,1452.2239439024388,,20.019999999999996,,6910.336326069856
10,57,39468,,223.24140031093526,,67.4675767032575,,229.44789966703868,,154.62086948676628,,318.7136989043144,,1840.148554146341,,20.019999999999996,,6916.958487707533
12,71,39482,,223.24140031093526,,59.76162500000001,,233.81460563221796,,154.62086948676628,,318.7136989043144,,2138.5520253658533,,20.019999999999996,,6860.470912732522
14,85,39496,,223.24140031093526,,59.76162500000001,,233.81460563221796,,154.62086948676628,,318.7136989043144,,2436.952566829269,,20.019999999999996,,6872.406934391059
16,99,39510,,223.24140031093526,,59.76162500000001,,233.81460563221796,,154.62086948676628,,318.7136989043144,,2436.952566829269,,20.019999999999996,,6872.406934391059
18,113,39524,,208.9834792507363,,59.76162500000001,,233.81460563221796,,154.62086948676628,,318.7136989043144,,2436.952566829269,,20.019999999999996,,6814.662354097253
20,127,39538,,194.72555819053744,,59.76162500000001,,233.81460563221796,,154.62086948676628,,318.7136989043144,,2436.952566829269,,20.019999999999996,,6756.917773803448
22,141,39552,,194.72555819053744,,59.76162500000001,,233.81460563221796,,154.62086948676628,,318.7136989043144,,2436.952566829269,,20.019999999999996,,6756.917773803448
24,155,39566,,97.36277909526872,,29.880812499999994,,116.90730281610897,,77.31043474338314,,159.3568494521572,,1218.4762834146343,,20.019999999999996,,3406.486886901724
