Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),FofatoMonoPotasico (Lbs),FofatoMonoPotasico (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39412,,23.545484701735173,,21.076247499999997,,10.544304523979928,,12.989557391472204,,26.77484544685164,,174.06755219512195,,20.019999999999996,,789.4334841221162
2,8,39419,,23.545484701735173,,21.076247499999997,,10.544304523979928,,12.989557391472204,,26.77484544685164,,253.64168097560975,,20.019999999999996,,792.6164492733358
3,15,39426,,37.31584061192964,,33.33657249999999,,20.785141303024545,,22.91813997215936,,47.24022822261321,,373.00140926829266,,20.019999999999996,,1301.329335508667
4,22,39433,,46.69544493472103,,35.37995999999999,,29.600035289270433,,28.678778918732682,,59.11439859048698,,417.7607580487805,,20.019999999999996,,1556.1183862652988
5,29,39440,,77.38205770494484,,41.27527249999999,,69.39630261612062,,53.596156574671014,,110.47557400024962,,492.36260243902444,,20.019999999999996,,2587.2703605306147
6,36,39447,,98.01651632953899,,43.63339749999999,,92.80195736563721,,67.88794084712059,,139.93464666317226,,591.831728292683,,20.019999999999996,,3184.172847003761
7,43,39454,,108.08483994246578,,43.63339749999999,,104.87446763145891,,74.86143657477945,,154.3088293012139,,651.5118365853659,,20.019999999999996,,3465.652981833058
8,50,39461,,111.6207001554676,,35.874330491422505,,113.51097595430286,,77.31043474338314,,159.3568494521572,,800.7121073170731,,20.019999999999996,,3500.739344236798
9,57,39468,,111.6207001554676,,35.874330491422505,,113.51097595430286,,77.31043474338314,,159.3568494521572,,830.5526497560975,,20.019999999999996,,3501.932965934359
10,64,39475,,111.6207001554676,,31.593246211834998,,115.93692371273579,,77.31043474338314,,159.3568494521572,,1009.595904390244,,20.019999999999996,,3471.0815217731742
11,71,39482,,111.6207001554676,,29.880812499999994,,116.90730281610897,,77.31043474338314,,159.3568494521572,,1009.595904390244,,20.019999999999996,,3455.876252034554
12,78,39489,,111.6207001554676,,29.880812499999994,,116.90730281610897,,77.31043474338314,,159.3568494521572,,1128.9561209756096,,20.019999999999996,,3460.6506606979688
13,85,39496,,111.6207001554676,,29.880812499999994,,116.90730281610897,,77.31043474338314,,159.3568494521572,,1218.4762834146343,,20.019999999999996,,3464.2314671955296
14,92,39503,,111.6207001554676,,29.880812499999994,,116.90730281610897,,77.31043474338314,,159.3568494521572,,1218.4762834146343,,20.019999999999996,,3464.2314671955296
15,99,39510,,111.6207001554676,,29.880812499999994,,116.90730281610897,,77.31043474338314,,159.3568494521572,,1218.4762834146343,,20.019999999999996,,3464.2314671955296
16,106,39517,,111.6207001554676,,29.880812499999994,,116.90730281610897,,77.31043474338314,,159.3568494521572,,1218.4762834146343,,20.019999999999996,,3464.2314671955296
17,113,39524,,111.6207001554676,,29.880812499999994,,116.90730281610897,,77.31043474338314,,159.3568494521572,,1218.4762834146343,,20.019999999999996,,3464.2314671955296
18,120,39531,,97.36277909526872,,29.880812499999994,,116.90730281610897,,77.31043474338314,,159.3568494521572,,1218.4762834146343,,20.019999999999996,,3406.486886901724
19,127,39538,,97.36277909526872,,29.880812499999994,,116.90730281610897,,77.31043474338314,,159.3568494521572,,1218.4762834146343,,20.019999999999996,,3406.486886901724
20,134,39545,,97.36277909526872,,29.880812499999994,,116.90730281610897,,77.31043474338314,,159.3568494521572,,1218.4762834146343,,20.019999999999996,,3406.486886901724
21,141,39552,,97.36277909526872,,29.880812499999994,,116.90730281610897,,77.31043474338314,,159.3568494521572,,1218.4762834146343,,20.019999999999996,,3406.486886901724
22,148,39559,,97.36277909526872,,29.880812499999994,,116.90730281610897,,77.31043474338314,,159.3568494521572,,1218.4762834146343,,20.019999999999996,,3406.486886901724
23,155,39566,,97.36277909526872,,29.880812499999994,,116.90730281610897,,77.31043474338314,,159.3568494521572,,1218.4762834146343,,20.019999999999996,,3406.486886901724
