Fase,Día después Siembra,Semana,N,P2O5,K20,MgO,Ca,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O
,1.0,1,1.0021543242805107,3.484714535232,1.08702192487,0.16278917994284603,0.4529934510269577,5.0926,3.1,0.5,0.35
,2.0,1,1.0021543242805107,3.484714535232,1.08702192487,0.16278917994284603,0.4529934510269577,5.0926,3.1,0.5,0.35
,3.0,1,1.0021543242805107,3.484714535232,1.08702192487,0.16278917994284603,0.4529934510269577,5.0926,3.1,0.5,0.35
,4.0,1,1.0021543242805107,3.484714535232,1.08702192487,0.16278917994284603,0.4529934510269577,5.0926,3.1,0.5,0.35
,5.0,1,1.0021543242805107,3.484714535232,1.08702192487,0.16278917994284603,0.4529934510269577,5.0926,3.1,0.5,0.35
,6.0,1,1.0021543242805107,3.484714535232,1.08702192487,0.16278917994284603,0.4529934510269577,5.0926,3.1,0.5,0.35
,7.0,1,1.0021543242805107,3.484714535232,1.08702192487,0.16278917994284603,0.4529934510269577,5.0926,3.1,0.5,0.35
,8.0,2,1.0021543242805107,3.484714535232,1.08702192487,0.16278917994284603,0.4529934510269577,5.0926,3.1,0.5,0.35
,9.0,2,1.0021543242805107,3.484714535232,1.08702192487,0.16278917994284603,0.4529934510269577,5.0926,3.1,0.5,0.35
,10.0,2,1.0021543242805107,3.484714535232,1.08702192487,0.16278917994284603,0.4529934510269577,5.0926,3.1,0.5,0.35
,11.0,2,1.0021543242805107,3.484714535232,1.08702192487,0.16278917994284603,0.4529934510269577,9.1667,3.1,0.5,0.35
,12.0,2,1.0021543242805107,3.484714535232,1.08702192487,0.16278917994284603,0.4529934510269577,9.1667,3.1,0.5,0.35
,13.0,2,1.0021543242805107,3.484714535232,1.08702192487,0.16278917994284603,0.4529934510269577,9.1667,3.1,0.5,0.35
,14.0,2,1.0021543242805107,3.484714535232,1.08702192487,0.16278917994284603,0.4529934510269577,9.1667,3.1,0.5,0.35
,15.0,3,1.0021543242805107,3.484714535232,1.08702192487,0.16278917994284603,0.4529934510269577,9.1667,3.1,0.5,0.35
,16.0,3,1.2025448826213583,4.099610493887999,1.304382589965,0.19534046857198598,0.5435739218952654,9.1667,3.1000000000000005,0.5,0.35
,17.0,3,1.2025448826213583,4.099610493887999,1.304382589965,0.19534046857198598,0.5435739218952654,9.1667,3.1000000000000005,0.5,0.35
,18.0,3,1.2025448826213583,4.099610493887999,1.304382589965,0.19534046857198598,0.5435739218952654,12.2222,3.1000000000000005,0.5,0.35
,19.0,3,1.2025448826213583,4.099610493887999,1.304382589965,0.19534046857198598,0.5435739218952654,12.2222,3.1000000000000005,0.5,0.35
,20.0,3,1.2025448826213583,4.099610493887999,1.304382589965,0.19534046857198598,0.5435739218952654,12.2222,3.1000000000000005,0.5,0.35
