Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,FofatoMonoPotasico (Lbs),Admin_FofatoMonoPotasico_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39449,,7.440956892247572,,6.9990452198872175,,13.437980108701415,,11.170231128642081,,23.024742341979493,,174.06755219512195,,20.019999999999996,,581.8075826369322
2,8,39456,,9.99214211244674,,9.398717866705693,,18.045287574541895,,15.00002465846222,,30.918939716372456,,253.64168097560975,,20.019999999999996,,762.8610211192808
3,15,39463,,14.456716247795287,,13.598144998638025,,26.108075639762735,,21.702163335647462,,44.73378512156014,,373.00140926829266,,20.019999999999996,,1078.9087385804642
4,22,39470,,16.370105162944665,,15.39789948375188,,29.563556239143097,,24.57450848301257,,50.654433152354855,,417.7607580487805,,20.019999999999996,,1214.1019675300308
5,29,39477,,20.19688299324341,,18.997408453979595,,36.47451743790382,,30.319198777742784,,62.495729213944315,,492.36260243902444,,20.019999999999996,,1483.8917513023346
6,36,39484,,25.299253433641738,,23.796753747616545,,45.68913236958478,,37.97878583738307,,78.28412396273026,,591.831728292683,,20.019999999999996,,1843.6114629987394
7,43,39491,,27.850438653840907,,26.196426394435022,,50.29643983542527,,41.80857936720321,,86.17832133712322,,651.5118365853659,,20.019999999999996,,2023.869140661576
8,50,39498,,34.228401704338836,,32.19560801148121,,61.814708500026484,,51.38306319175357,,105.91381477310564,,800.7121073170731,,20.019999999999996,,2474.5133348186678
9,57,39505,,35.503994314438415,,33.39544433489045,,64.11836223294672,,53.29795995666364,,109.86091346030213,,830.5526497560975,,20.019999999999996,,2564.6421931817936
10,64,39512,,43.15754997503592,,40.59446227534587,,77.94028463046817,,64.78734054612404,,133.54350558348102,,1009.595904390244,,20.019999999999996,,3105.4153433605466
11,71,39519,,43.15754997503592,,40.59446227534587,,77.94028463046817,,64.78734054612404,,133.54350558348102,,1009.595904390244,,20.019999999999996,,3105.4153433605466
12,78,39526,,48.25992041543426,,45.393807568982815,,87.15489956214914,,72.4469276057643,,149.3319003322669,,1128.9561209756096,,20.019999999999996,,3465.93069868622
13,85,39533,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
14,92,39540,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
15,99,39547,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
16,106,39554,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
17,113,39561,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
18,120,39568,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
19,127,39575,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
20,134,39582,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
21,141,39589,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
22,148,39596,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
23,155,39603,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
24,162,39610,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
25,169,39617,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
26,176,39624,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
27,183,39631,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
28,190,39638,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
29,197,39645,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
30,204,39652,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
31,211,39659,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
32,218,39666,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
33,225,39673,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
34,232,39680,,52.08669824573302,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
35,239,39687,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
36,246,39694,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
37,253,39701,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
38,260,39708,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
39,267,39715,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
40,274,39722,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
41,281,39729,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
42,288,39736,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
43,295,39743,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
44,302,39750,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
45,309,39757,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
46,316,39764,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
47,323,39771,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
48,330,39778,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
49,337,39785,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
50,344,39792,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
51,351,39799,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
52,358,39806,,52.08669824573301,,48.99331653921052,,94.06586076090987,,78.1916179004945,,161.1731963938564,,1218.4762834146343,,20.019999999999996,,3736.3172151804742
