Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39120,,0.06770790308499033,,0.09094864792607568,,0.2137666418429629,,0.13719882156371035,,0.2262418730461255,,0.5961074614634145,,0.23995999999999995,,3.368519451623501
2,8,39127,,0.06770790308499033,,0.09094864792607568,,0.2137666418429629,,0.13719882156371035,,0.2262418730461255,,0.5961074614634145,,0.23995999999999995,,3.368519451623501
3,15,39134,,0.11848883039873305,,0.15916013387063246,,0.3740916232251852,,0.24009793773649313,,0.3959232778307196,,1.072995771707317,,0.23995999999999995,,5.4459259641081506
4,22,39141,,0.1692697577124759,,0.22737161981518925,,0.5344166046074075,,0.34299705390927593,,0.5656046826153138,,1.4306532253658535,,0.23995999999999995,,7.519564781524704
5,29,39148,,0.1692697577124759,,0.22737161981518925,,0.5344166046074075,,0.34299705390927593,,0.5656046826153138,,1.4306532253658535,,0.23995999999999995,,7.519564781524704
6,36,39155,,0.27083161233996134,,0.3637945917043027,,0.8550665673718516,,0.5487952862548414,,0.904967492184502,,2.026772392195122,,0.23995999999999995,,11.663075830958393
7,43,39162,,0.27083161233996134,,0.3637945917043027,,0.8550665673718516,,0.5487952862548414,,0.904967492184502,,2.026772392195122,,0.23995999999999995,,11.663075830958393
8,50,39169,,0.3723934669674469,,0.5002175635934163,,1.1757165301362962,,0.7545935186004068,,1.24433030175369,,2.7420990048780483,,0.23995999999999995,,15.810353835681058
9,57,39176,,0.3723934669674469,,0.5002175635934163,,1.1757165301362962,,0.7545935186004068,,1.24433030175369,,2.7420990048780483,,0.23995999999999995,,15.810353835681058
10,64,39183,,0.4739553215949322,,0.6366405354825299,,1.4963664929007408,,0.9603917509459725,,1.5836931113228785,,3.457437322926829,,0.23995999999999995,,19.957632210293283
11,71,39190,,0.4739553215949322,,0.6366405354825299,,1.4963664929007408,,0.9603917509459725,,1.5836931113228785,,3.457437322926829,,0.23995999999999995,,19.957632210293283
12,78,39197,,0.4739553215949322,,0.6366405354825299,,1.4963664929007408,,0.9603917509459725,,1.5836931113228785,,3.457437322926829,,0.23995999999999995,,19.957632210293283
13,85,39204,,0.5755171762224178,,0.7730635073716435,,1.817016455665185,,1.1661899832915381,,1.923055920892067,,4.172763935609756,,0.23995999999999995,,24.104910215015956
14,92,39211,,0.5755171762224178,,0.7730635073716435,,1.817016455665185,,1.1661899832915381,,1.923055920892067,,4.172763935609756,,0.23995999999999995,,24.104910215015956
15,99,39218,,0.5755171762224178,,0.7730635073716435,,1.817016455665185,,1.1661899832915381,,1.923055920892067,,4.172763935609756,,0.23995999999999995,,24.104910215015956
16,106,39225,,0.5755171762224178,,0.7730635073716435,,1.817016455665185,,1.1661899832915381,,1.923055920892067,,4.172763935609756,,0.23995999999999995,,24.104910215015956
17,113,39232,,0.5755171762224178,,0.7730635073716435,,1.817016455665185,,1.1661899832915381,,1.923055920892067,,4.172763935609756,,0.23995999999999995,,24.104910215015956
18,120,39239,,0.5755171762224178,,0.7730635073716435,,1.817016455665185,,1.1661899832915381,,1.923055920892067,,4.172763935609756,,0.23995999999999995,,24.104910215015956
19,127,39246,,0.5755171762224178,,0.7730635073716435,,1.817016455665185,,1.1661899832915381,,1.923055920892067,,4.172763935609756,,0.23995999999999995,,24.104910215015956
20,134,39253,,0.5755171762224178,,0.7730635073716435,,1.817016455665185,,1.1661899832915381,,1.923055920892067,,4.172763935609756,,0.23995999999999995,,24.104910215015956
21,141,39260,,0.5755171762224178,,0.7730635073716435,,1.817016455665185,,1.1661899832915381,,1.923055920892067,,4.172763935609756,,0.23995999999999995,,24.104910215015956
22,148,39267,,0.5755171762224178,,0.7730635073716435,,1.817016455665185,,1.1661899832915381,,1.923055920892067,,4.172763935609756,,0.23995999999999995,,24.104910215015956
23,155,39274,,0.5755171762224178,,0.7730635073716435,,1.817016455665185,,1.1661899832915381,,1.923055920892067,,4.172763935609756,,0.23995999999999995,,24.104910215015956
24,162,39281,,0.5755171762224178,,0.7730635073716435,,1.817016455665185,,1.1661899832915381,,1.923055920892067,,4.172763935609756,,0.23995999999999995,,24.104910215015956
