Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39120,,0.03385395154249517,,0.04547432396303784,,0.10688332092148145,,0.06859941078185518,,0.11312093652306275,,0.29805373073170727,,0.23995999999999995,,1.9842097258117504
2,8,39127,,0.03385395154249517,,0.04547432396303784,,0.10688332092148145,,0.06859941078185518,,0.11312093652306275,,0.29805373073170727,,0.23995999999999995,,1.9842097258117504
3,15,39134,,0.059244415199366525,,0.07958006693531623,,0.1870458116125926,,0.12004896886824656,,0.1979616389153598,,0.5364978858536585,,0.23995999999999995,,3.022912982054075
4,22,39141,,0.08463487885623795,,0.11368580990759462,,0.26720830230370374,,0.17149852695463796,,0.2828023413076569,,0.7153266126829267,,0.23995999999999995,,4.059732390762353
5,29,39148,,0.08463487885623795,,0.11368580990759462,,0.26720830230370374,,0.17149852695463796,,0.2828023413076569,,0.7153266126829267,,0.23995999999999995,,4.059732390762353
6,36,39155,,0.13541580616998067,,0.18189729585215136,,0.4275332836859258,,0.2743976431274207,,0.452483746092251,,1.013386196097561,,0.23995999999999995,,6.131487915479196
7,43,39162,,0.13541580616998067,,0.18189729585215136,,0.4275332836859258,,0.2743976431274207,,0.452483746092251,,1.013386196097561,,0.23995999999999995,,6.131487915479196
8,50,39169,,0.18619673348372345,,0.25010878179670815,,0.5878582650681481,,0.3772967593002034,,0.622165150876845,,1.3710495024390241,,0.23995999999999995,,8.205126917840529
9,57,39176,,0.18619673348372345,,0.25010878179670815,,0.5878582650681481,,0.3772967593002034,,0.622165150876845,,1.3710495024390241,,0.23995999999999995,,8.205126917840529
10,64,39183,,0.2369776607974661,,0.31832026774126493,,0.7481832464503704,,0.48019587547298626,,0.7918465556614392,,1.7287186614634145,,0.23995999999999995,,10.278766105146643
11,71,39190,,0.2369776607974661,,0.31832026774126493,,0.7481832464503704,,0.48019587547298626,,0.7918465556614392,,1.7287186614634145,,0.23995999999999995,,10.278766105146643
12,78,39197,,0.2369776607974661,,0.31832026774126493,,0.7481832464503704,,0.48019587547298626,,0.7918465556614392,,1.7287186614634145,,0.23995999999999995,,10.278766105146643
13,85,39204,,0.2877585881112089,,0.38653175368582177,,0.9085082278325926,,0.5830949916457691,,0.9615279604460335,,2.086381967804878,,0.23995999999999995,,12.352405107507979
14,92,39211,,0.2877585881112089,,0.38653175368582177,,0.9085082278325926,,0.5830949916457691,,0.9615279604460335,,2.086381967804878,,0.23995999999999995,,12.352405107507979
15,99,39218,,0.2877585881112089,,0.38653175368582177,,0.9085082278325926,,0.5830949916457691,,0.9615279604460335,,2.086381967804878,,0.23995999999999995,,12.352405107507979
16,106,39225,,0.2877585881112089,,0.38653175368582177,,0.9085082278325926,,0.5830949916457691,,0.9615279604460335,,2.086381967804878,,0.23995999999999995,,12.352405107507979
17,113,39232,,0.2877585881112089,,0.38653175368582177,,0.9085082278325926,,0.5830949916457691,,0.9615279604460335,,2.086381967804878,,0.23995999999999995,,12.352405107507979
18,120,39239,,0.2877585881112089,,0.38653175368582177,,0.9085082278325926,,0.5830949916457691,,0.9615279604460335,,2.086381967804878,,0.23995999999999995,,12.352405107507979
19,127,39246,,0.2877585881112089,,0.38653175368582177,,0.9085082278325926,,0.5830949916457691,,0.9615279604460335,,2.086381967804878,,0.23995999999999995,,12.352405107507979
20,134,39253,,0.2877585881112089,,0.38653175368582177,,0.9085082278325926,,0.5830949916457691,,0.9615279604460335,,2.086381967804878,,0.23995999999999995,,12.352405107507979
21,141,39260,,0.2877585881112089,,0.38653175368582177,,0.9085082278325926,,0.5830949916457691,,0.9615279604460335,,2.086381967804878,,0.23995999999999995,,12.352405107507979
22,148,39267,,0.2877585881112089,,0.38653175368582177,,0.9085082278325926,,0.5830949916457691,,0.9615279604460335,,2.086381967804878,,0.23995999999999995,,12.352405107507979
23,155,39274,,0.2877585881112089,,0.38653175368582177,,0.9085082278325926,,0.5830949916457691,,0.9615279604460335,,2.086381967804878,,0.23995999999999995,,12.352405107507979
24,162,39281,,0.2877585881112089,,0.38653175368582177,,0.9085082278325926,,0.5830949916457691,,0.9615279604460335,,2.086381967804878,,0.23995999999999995,,12.352405107507979
25,169,39288,,0.2877585881112089,,0.38653175368582177,,0.9085082278325926,,0.5830949916457691,,0.9615279604460335,,2.086381967804878,,0.23995999999999995,,12.352405107507979
26,176,39295,,0.2877585881112089,,0.38653175368582177,,0.9085082278325926,,0.5830949916457691,,0.9615279604460335,,2.086381967804878,,0.23995999999999995,,12.352405107507979
27,183,39302,,0.2877585881112089,,0.38653175368582177,,0.9085082278325926,,0.5830949916457691,,0.9615279604460335,,2.086381967804878,,0.23995999999999995,,12.352405107507979
28,190,39309,,0.2877585881112089,,0.38653175368582177,,0.9085082278325926,,0.5830949916457691,,0.9615279604460335,,2.086381967804878,,0.23995999999999995,,12.352405107507979
