Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39449,,17.463922790290074,,7.449418564471264,,22.82424151881889,,13.184064226405834,,27.175774461347785,,174.06755219512195,,20.019999999999996,,627.513946587387
2,8,39456,,22.453615016087234,,9.57782386860591,,29.345453381338576,,16.950939719664646,,34.940281450304305,,253.64168097560975,,20.019999999999996,,791.9812673099157
3,15,39463,,26.843680843968755,,13.302533150841544,,40.75757414074803,,23.542971832867558,,48.52816868097819,,373.00140926829266,,20.019999999999996,,1061.4186016439967
4,22,39470,,30.064922545245004,,14.898837128942528,,45.64848303763778,,26.368128452811668,,54.35154892269557,,417.7607580487805,,20.019999999999996,,1182.062081028008
5,29,39477,,36.5074059477975,,18.091445085144496,,55.430300831417306,,32.01844169269989,,65.99830940613035,,492.36260243902444,,20.019999999999996,,1422.7523656692013
6,36,39484,,37.80299926486477,,22.34825569341379,,68.47272455645667,,39.552192679217505,,81.52732338404337,,591.831728292683,,20.019999999999996,,1714.1304877511313
7,43,39491,,41.403284909137625,,24.47666099754844,,74.99393641897636,,43.319068172476314,,89.29183037299988,,651.5118365853659,,20.019999999999996,,1872.1749509989745
8,50,39498,,50.403999019819736,,29.797674257885056,,91.29696607527556,,52.736256905623335,,108.70309784539114,,800.7121073170731,,20.019999999999996,,2267.286109118582
9,57,39505,,52.62792187399618,,35.473421735577446,,106.33198231386262,,61.42099762619226,,126.60460006992977,,830.5526497560975,,20.019999999999996,,2607.203235893577
10,64,39512,,71.62736506924423,,49.662790429808446,,145.82154303689845,,84.23152144648172,,173.6230035030553,,1009.595904390244,,20.019999999999996,,3553.1508989418267
11,71,39519,,48.325858858263366,,49.662790429808446,,145.82154303689845,,84.23152144648172,,173.6230035030553,,1009.595904390244,,20.019999999999996,,3458.779798787354
12,78,39526,,32.79152138427611,,49.662790429808446,,145.82154303689845,,84.23152144648172,,173.6230035030553,,1128.9561209756096,,20.019999999999996,,3400.6401406811206
13,85,39533,,25.02435264728248,,49.662790429808446,,145.82154303689845,,84.23152144648172,,173.6230035030553,,1218.4762834146343,,20.019999999999996,,3372.7639137938572
