Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,3,39451,Furadan 48 SC,8.731961395145037,,3.724709282235632,,11.412120759409445,,6.592032113202917,,13.587887230673893,,87.03377609756097,,20.019999999999996,3.788785,1792.8896282936932
2,10,39458,,11.226807508043617,,4.788911934302955,,14.672726690669288,,8.475469859832323,,17.470140725152152,,126.82084048780487,,20.019999999999996,,424.01863365495785
3,17,39465,,13.421840421984378,,6.651266575420772,,20.378787070374013,,11.771485916433779,,24.264084340489095,,186.50070463414633,,20.019999999999996,,558.7373008219984
4,24,39472,,15.032461272622502,,7.449418564471264,,22.82424151881889,,13.184064226405834,,27.175774461347785,,208.88037902439024,,20.019999999999996,,619.059040514004
5,31,39479,BaZam,18.25370297389875,,9.045722542572248,,27.715150415708653,,16.009220846349944,,32.99915470306517,,246.18130121951222,,20.019999999999996,1.001,1119.7841828346004
6,38,39486,,18.901499632432387,,11.174127846706895,,34.236362278228334,,19.776096339608753,,40.763661692021685,,295.9158641463415,,20.019999999999996,,885.0932438755656
7,45,39493,,20.701642454568812,,12.23833049877422,,37.49696820948818,,21.659534086238157,,44.64591518649994,,325.75591829268296,,20.019999999999996,,964.1154754994873
8,52,39500,,25.201999509909868,,14.898837128942528,,45.64848303763778,,26.368128452811668,,54.35154892269557,,400.35605365853655,,20.019999999999996,,1161.671054559291
9,59,39507,TricoZam,26.31396093699809,,17.736710867788723,,53.16599115693131,,30.71049881309613,,63.30230003496489,,415.27632487804874,,20.019999999999996,1.001,1712.0096179467885
10,66,39514,,35.81368253462212,,24.831395214904223,,72.91077151844922,,42.11576072324086,,86.81150175152764,,504.797952195122,,20.019999999999996,,1804.6034494709133
11,73,39521,,24.162929429131683,,24.831395214904223,,72.91077151844922,,42.11576072324086,,86.81150175152764,,504.797952195122,,20.019999999999996,,1757.417899393677
12,80,39528,,16.395760692138055,,24.831395214904223,,72.91077151844922,,42.11576072324086,,86.81150175152764,,564.4780604878048,,20.019999999999996,,1728.3480703405603
13,87,39535,,12.51217632364124,,24.831395214904223,,72.91077151844922,,42.11576072324086,,86.81150175152764,,609.2381417073171,,20.019999999999996,,1714.4099568969286
