Calendario de Fertilización para Goteo 3 Veces Por Semana,Calendario de Fertilización para Goteo 3 Veces Por Semana_1,Calendario de Fertilización para Goteo 3 Veces Por Semana_2,Calendario de Fertilización para Goteo 3 Veces Por Semana_3,Calendario de Fertilización para Goteo 3 Veces Por Semana_4,Calendario de Fertilización para Goteo 3 Veces Por Semana_5,Calendario de Fertilización para Goteo 3 Veces Por Semana_6,Calendario de Fertilización para Goteo 3 Veces Por Semana_7,Calendario de Fertilización para Goteo 3 Veces Por Semana_8,Calendario de Fertilización para Goteo 3 Veces Por Semana_9,Calendario de Fertilización para Goteo 3 Veces Por Semana_10,Calendario de Fertilización para Goteo 3 Veces Por Semana_11,Calendario de Fertilización para Goteo 3 Veces Por Semana_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18
1,1,38728,,0,,0.7629361619293711,,2.609588462962962,,2.768027762499999,,4.581053620954286,,49.733586341463415,,20.019999999999996,,83.34399471156979
2,8,38735,,0,,3.0517446477174843,,10.438353851851849,,11.072111049999997,,18.324214483817144,,49.733586341463415,,20.019999999999996,,241.57423486110844
3,15,38742,,0,,3.0517446477174843,,10.438353851851849,,11.072111049999997,,18.324214483817144,,89.5206507317073,,20.019999999999996,,242.83150609584015
4,22,38749,,5.3078602872825384e-15,,7.629361619293712,,26.095884629629623,,27.680277624999995,,45.81053620954286,,119.36021658536585,,20.019999999999996,,560.234916675893
5,29,38756,,5.3078602872825384e-15,,7.629361619293712,,26.095884629629623,,27.680277624999995,,45.81053620954286,,119.36021658536585,,20.019999999999996,,560.234916675893
6,36,38763,,5.3078602872825384e-15,,7.629361619293712,,26.095884629629623,,27.680277624999995,,45.81053620954286,,169.09477951219515,,20.019999999999996,,561.8065288643809
7,43,38770,,5.3078602872825384e-15,,7.629361619293712,,26.095884629629623,,27.680277624999995,,45.81053620954286,,169.09477951219515,,20.019999999999996,,561.8065288643809
8,50,38777,,0,,9.918170105081824,,33.924650018518506,,35.98436091249999,,59.55369707240571,,228.774887804878,,20.019999999999996,,721.9226604359682
9,57,38784,,0,,9.918170105081824,,33.924650018518506,,35.98436091249999,,59.55369707240571,,228.774887804878,,20.019999999999996,,721.9226604359682
10,64,38791,,0,,9.155233943152453,,46.56733859555555,,45.928756948148134,,75.66127270737402,,288.4559726829268,,20.019999999999996,,881.3528207148806
11,71,38798,,0,,9.155233943152453,,46.56733859555555,,45.928756948148134,,75.66127270737402,,288.4559726829268,,20.019999999999996,,881.3528207148806
12,78,38805,,0,,9.155233943152453,,46.56733859555555,,45.928756948148134,,75.66127270737402,,288.4559726829268,,20.019999999999996,,881.3528207148806
