Semana,N,Nitrato de Amonio,P2O5,MAP 12-61-0,K2O,Sulfato de Potasio,MgO,Sulfato de Magnesio,Ca,Nitrato de Calcio,B,Solubor
1,0.4004074179217976,-1.657049290485308e-16,0.23246306632213606,0.3810869939707149,0.6778151851851851,1.3034907407407406,0.22122099999999997,1.3826312499999998,0.6178244144144143,2.288238571905238,5.0926,24.841951219512197
2,1.6016296716871905,-6.628197161941232e-16,0.9298522652885443,1.5243479758828595,2.7112607407407405,5.213962962962962,0.8848839999999999,5.530524999999999,2.471297657657657,9.152954287620952,5.0926,24.841951219512197
3,1.6016296716871905,-6.628197161941232e-16,0.9298522652885443,1.5243479758828595,2.7112607407407405,5.213962962962962,0.8848839999999999,5.530524999999999,2.471297657657657,9.152954287620952,9.1667,44.715609756097564
4,4.0040741792179775,2.651278864776493e-15,2.324630663221361,3.8108699397071493,6.7781518518518515,13.034907407407406,2.21221,13.826312499999998,6.178244144144143,22.88238571905238,12.2222,59.62048780487805
5,4.0040741792179775,2.651278864776493e-15,2.324630663221361,3.8108699397071493,6.7781518518518515,13.034907407407406,2.21221,13.826312499999998,6.178244144144143,22.88238571905238,12.2222,59.62048780487805
6,4.0040741792179775,2.651278864776493e-15,2.324630663221361,3.8108699397071493,6.7781518518518515,13.034907407407406,2.21221,13.826312499999998,6.178244144144143,22.88238571905238,17.3149,84.46292682926831
7,4.0040741792179775,2.651278864776493e-15,2.324630663221361,3.8108699397071493,6.7781518518518515,13.034907407407406,2.21221,13.826312499999998,6.178244144144143,22.88238571905238,17.3149,84.46292682926831
8,5.205296432983369,0.0,3.0220198621877685,4.954130921619293,8.811597407407405,16.945379629629624,2.8758729999999995,17.974206249999995,8.031717387387385,29.74710143476809,23.426,114.27317073170731
9,5.205296432983369,0.0,3.0220198621877685,4.954130921619293,8.811597407407405,16.945379629629624,2.8758729999999995,17.974206249999995,8.031717387387385,29.74710143476809,23.426,114.27317073170731
10,6.406656015395239,0.0,2.7895567958656327,4.573043927648579,12.095412622222222,23.260408888888886,3.670629925925925,22.941437037037034,10.204067747747747,37.79284351017684,29.5372,144.0839024390244
11,6.406656015395239,0.0,2.7895567958656327,4.573043927648579,12.095412622222222,23.260408888888886,3.670629925925925,22.941437037037034,10.204067747747747,37.79284351017684,29.5372,144.0839024390244
12,6.406656015395239,0.0,2.7895567958656327,4.573043927648579,12.095412622222222,23.260408888888886,3.670629925925925,22.941437037037034,10.204067747747747,37.79284351017684,29.5372,144.0839024390244
