Columna_0,N,Columna_2,P2O5,Columna_4,K2O,Columna_6,MgO,Columna_8,Ca,Columna_10,B,Columna_12
Porcentaje de Elemento,,33.5,,61.0,,52.0,,16.0,,27.0,,20.5
,,0.335,,0.61,,0.52,,0.16,,0.27,,0.205
1,2.8028519254525834,-2.651278864776493e-15,1.6272414642549524,2.667608957795004,4.744706296296296,9.124435185185185,1.5485469999999997,9.678418749999997,4.3247709009009005,16.01767000333667,35.6482,173.89365853658538
2,11.211407701810334,-1.0605115459105972e-14,6.50896585701981,10.670435831180017,18.978825185185183,36.49774074074074,6.194187999999999,38.71367499999999,17.299083603603602,64.07068001334667,51.944599999999994,253.38829268292682
3,11.211407701810334,-1.0605115459105972e-14,6.50896585701981,10.670435831180017,18.978825185185183,36.49774074074074,6.194187999999999,38.71367499999999,17.299083603603602,64.07068001334667,76.3889,372.62878048780493
4,28.02851925452584,1.0605115459105972e-14,16.272414642549528,26.676089577950044,47.44706296296296,91.24435185185185,15.485469999999996,96.78418749999997,43.24770900900901,160.17670003336667,85.5554,417.34341463414637
5,28.02851925452584,1.0605115459105972e-14,16.272414642549528,26.676089577950044,47.44706296296296,91.24435185185185,15.485469999999996,96.78418749999997,43.24770900900901,160.17670003336667,100.83349999999999,491.870731707317
6,28.02851925452584,1.0605115459105972e-14,16.272414642549528,26.676089577950044,47.44706296296296,91.24435185185185,15.485469999999996,96.78418749999997,43.24770900900901,160.17670003336667,121.20429999999999,591.2404878048781
7,28.02851925452584,1.0605115459105972e-14,16.272414642549528,26.676089577950044,47.44706296296296,91.24435185185185,15.485469999999996,96.78418749999997,43.24770900900901,160.17670003336667,133.4265,650.8609756097561
8,36.43707503088358,-2.1210230918211944e-14,21.15413903531438,34.67891645133505,61.68118185185183,118.61765740740736,20.131110999999994,125.81944374999996,56.222021711711704,208.22971004337666,163.98199999999997,799.9121951219511
9,36.43707503088358,-2.1210230918211944e-14,21.15413903531438,34.67891645133505,61.68118185185183,118.61765740740736,20.131110999999994,125.81944374999996,56.222021711711704,208.22971004337666,170.09319999999997,829.7229268292682
10,44.84659210776668,2.1210230918211944e-14,19.52689757105943,32.011307493540045,84.66788835555556,162.82286222222223,25.69440948148148,160.59005925925925,71.42847423423422,264.54990457123785,206.76039999999995,1008.5873170731705
11,44.84659210776668,2.1210230918211944e-14,19.52689757105943,32.011307493540045,84.66788835555556,162.82286222222223,25.69440948148148,160.59005925925925,71.42847423423422,264.54990457123785,206.76039999999995,1008.5873170731705
12,44.84659210776668,2.1210230918211944e-14,19.52689757105943,32.011307493540045,84.66788835555556,162.82286222222223,25.69440948148148,160.59005925925925,71.42847423423422,264.54990457123785,231.2048,1127.828292682927
,,,,,,,,,,,,
,344.75367073224385,3.97691829716474e-14,180.62380253229975,296.10459431524544,609.8566372888887,1172.8012255555554,193.22425344444437,1207.6515840277777,538.6432402702702,1994.9749639639635,1583.8021999999996,7725.864390243902
