Fase,Día después Siembra,Semana,N,P2O5,K20,MgO,Ca,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O
1.0,1.0,1,0.4004074179217976,0.23246306632213606,0.6778151851851851,0.22122099999999997,0.6178244144144143,5.0926,1.9863520056314936,0.4981930645161291,0.7655405445191561
,2.0,1,0.4004074179217976,0.23246306632213606,0.6778151851851851,0.22122099999999997,0.6178244144144143,5.0926,1.9863520056314936,0.4981930645161291,0.7655405445191561
,3.0,1,0.4004074179217976,0.23246306632213606,0.6778151851851851,0.22122099999999997,0.6178244144144143,5.0926,1.9863520056314936,0.4981930645161291,0.7655405445191561
,4.0,1,0.4004074179217976,0.23246306632213606,0.6778151851851851,0.22122099999999997,0.6178244144144143,5.0926,1.9863520056314936,0.4981930645161291,0.7655405445191561
,5.0,1,0.4004074179217976,0.23246306632213606,0.6778151851851851,0.22122099999999997,0.6178244144144143,5.0926,1.9863520056314936,0.4981930645161291,0.7655405445191561
,6.0,1,0.4004074179217976,0.23246306632213606,0.6778151851851851,0.22122099999999997,0.6178244144144143,5.0926,1.9863520056314936,0.4981930645161291,0.7655405445191561
,7.0,1,0.4004074179217976,0.23246306632213606,0.6778151851851851,0.22122099999999997,0.6178244144144143,5.0926,1.9863520056314936,0.4981930645161291,0.7655405445191561
,8.0,2,1.6016296716871905,0.9298522652885443,2.7112607407407405,0.8848839999999999,2.471297657657657,5.0926,1.9863520056314936,0.4981930645161291,0.7655405445191561
,9.0,2,1.6016296716871905,0.9298522652885443,2.7112607407407405,0.8848839999999999,2.471297657657657,5.0926,1.9863520056314936,0.4981930645161291,0.7655405445191561
,10.0,2,1.6016296716871905,0.9298522652885443,2.7112607407407405,0.8848839999999999,2.471297657657657,5.0926,1.9863520056314936,0.4981930645161291,0.7655405445191561
,11.0,2,1.6016296716871905,0.9298522652885443,2.7112607407407405,0.8848839999999999,2.471297657657657,9.1667,1.9863520056314936,0.4981930645161291,0.7655405445191561
,12.0,2,1.6016296716871905,0.9298522652885443,2.7112607407407405,0.8848839999999999,2.471297657657657,9.1667,1.9863520056314936,0.4981930645161291,0.7655405445191561
,13.0,2,1.6016296716871905,0.9298522652885443,2.7112607407407405,0.8848839999999999,2.471297657657657,9.1667,1.9863520056314936,0.4981930645161291,0.7655405445191561
,14.0,2,1.6016296716871905,0.9298522652885443,2.7112607407407405,0.8848839999999999,2.471297657657657,9.1667,1.9863520056314936,0.4981930645161291,0.7655405445191561
1.0,15.0,3,1.6016296716871905,0.9298522652885443,2.7112607407407405,0.8848839999999999,2.471297657657657,9.1667,1.9863520056314936,0.4981930645161291,0.7655405445191561
2.0,16.0,3,1.6016296716871905,0.9298522652885443,2.7112607407407405,0.8848839999999999,2.471297657657657,9.1667,1.9863520056314936,0.4981930645161291,0.7655405445191561
,17.0,3,1.6016296716871905,0.9298522652885443,2.7112607407407405,0.8848839999999999,2.471297657657657,9.1667,1.9863520056314936,0.4981930645161291,0.7655405445191561
,18.0,3,1.6016296716871905,0.9298522652885443,2.7112607407407405,0.8848839999999999,2.471297657657657,12.2222,1.9863520056314936,0.4981930645161291,0.7655405445191561
,19.0,3,1.6016296716871905,0.9298522652885443,2.7112607407407405,0.8848839999999999,2.471297657657657,12.2222,1.9863520056314936,0.4981930645161291,0.7655405445191561
,20.0,3,1.6016296716871905,0.9298522652885443,2.7112607407407405,0.8848839999999999,2.471297657657657,12.2222,1.9863520056314936,0.4981930645161291,0.7655405445191561
,21.0,3,1.6016296716871905,0.9298522652885443,2.7112607407407405,0.8848839999999999,2.471297657657657,12.2222,1.9863520056314936,0.4981930645161291,0.7655405445191561
,22.0,4,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,12.2222,1.9863520056314943,0.4981930645161291,0.7655405445191561
,23.0,4,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,12.2222,1.9863520056314943,0.4981930645161291,0.7655405445191561
,24.0,4,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,12.2222,1.9863520056314943,0.4981930645161291,0.7655405445191561
2.0,25.0,4,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,12.2222,1.9863520056314943,0.4981930645161291,0.7655405445191561
3.0,26.0,4,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,12.2222,1.9863520056314943,0.4981930645161291,0.7655405445191561
,27.0,4,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,12.2222,1.9863520056314943,0.4981930645161291,0.7655405445191561
,28.0,4,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,12.2222,1.9863520056314943,0.4981930645161291,0.7655405445191561
,29.0,5,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,12.2222,1.9863520056314943,0.4981930645161291,0.7655405445191561
3.0,30.0,5,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,12.2222,1.9863520056314943,0.4981930645161291,0.7655405445191561
4.0,31.0,5,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,12.2222,1.9863520056314943,0.4981930645161291,0.7655405445191561
,32.0,5,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,12.2222,1.9863520056314943,0.4981930645161291,0.7655405445191561
,33.0,5,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,17.3149,1.9863520056314943,0.4981930645161291,0.7655405445191561
,34.0,5,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,17.3149,1.9863520056314943,0.4981930645161291,0.7655405445191561
4.0,35.0,5,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,17.3149,1.9863520056314943,0.4981930645161291,0.7655405445191561
5.0,36.0,6,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,17.3149,1.9863520056314943,0.4981930645161291,0.7655405445191561
,37.0,6,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,17.3149,1.9863520056314943,0.4981930645161291,0.7655405445191561
,38.0,6,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,17.3149,1.9863520056314943,0.4981930645161291,0.7655405445191561
,39.0,6,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,17.3149,1.9863520056314943,0.4981930645161291,0.7655405445191561
,40.0,6,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,17.3149,1.9863520056314943,0.4981930645161291,0.7655405445191561
,41.0,6,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,17.3149,1.9863520056314943,0.4981930645161291,0.7655405445191561
,42.0,6,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,17.3149,1.9863520056314943,0.4981930645161291,0.7655405445191561
,43.0,7,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,17.3149,1.9863520056314943,0.4981930645161291,0.7655405445191561
,44.0,7,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,17.3149,1.9863520056314943,0.4981930645161291,0.7655405445191561
5.0,45.0,7,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,17.3149,1.9863520056314943,0.4981930645161291,0.7655405445191561
6.0,46.0,7,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,17.3149,1.9863520056314943,0.4981930645161291,0.7655405445191561
,47.0,7,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,17.3149,1.9863520056314943,0.4981930645161291,0.7655405445191561
,48.0,7,4.0040741792179775,2.324630663221361,6.7781518518518515,2.21221,6.178244144144143,23.426,1.9863520056314943,0.4981930645161291,0.7655405445191561
