Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl (Lbs),Admin_Kcl_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Sin Calcio,Admin_Sulfato de Magnesio_Cambios_1,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39606,,8.39366472854442,,4.130634582608695,,8.656283949646667,,5.555740347387035,,0.00030919917329347806,,49.733586341463415,,20.019999999999996,,265.213316792103
2,8,39613,,13.406786300005347,,4.130634582608695,,12.987229579190531,,8.335409951152581,,0.00046389890542144574,,49.733586341463415,,20.019999999999996,,349.35274958976373
3,15,39620,,13.406786300005347,,4.130634582608695,,12.987229579190531,,8.335409951152581,,0.00046389890542144574,,89.5206507317073,,20.019999999999996,,350.9442321653735
4,22,39627,,18.516788118998956,,4.130634582608695,,17.40473804823087,,11.170636958391999,,0.0006216906292823483,,119.36021658536585,,20.019999999999996,,437.93738458225914
5,29,39634,,18.516788118998956,,4.130634582608695,,17.40473804823087,,11.170636958391999,,0.0006216906292823483,,119.36021658536585,,20.019999999999996,,437.93738458225914
6,36,39641,,18.516788118998956,,4.130634582608695,,17.40473804823087,,11.170636958391999,,0.0006216906292823483,,169.09477951219515,,20.019999999999996,,439.9267670993323
7,43,39648,,18.516788118998956,,4.130634582608695,,17.40473804823087,,11.170636958391999,,0.0006216906292823483,,169.09477951219515,,20.019999999999996,,439.9267670993323
8,50,39655,,17.12829685069175,,4.130634582608695,,17.40473804823087,,11.170636958391999,,0.0006216906292823483,,228.774887804878,,20.019999999999996,,433.28877818704274
9,57,39662,,17.12829685069175,,4.130634582608695,,17.40473804823087,,11.170636958391999,,0.0006216906292823483,,228.774887804878,,20.019999999999996,,433.28877818704274
10,64,39669,,13.546777507655085,,6.195951873913043,,16.683333333333334,,10.707627969238509,,0.000595922327,,288.4559726829268,,20.019999999999996,,428.5925905148232
11,71,39676,,13.546777507655085,,6.195951873913043,,16.683333333333334,,10.707627969238509,,0.000595922327,,288.4559726829268,,20.019999999999996,,428.5925905148232
12,78,39683,,13.546777507655085,,6.195951873913043,,16.683333333333334,,10.707627969238509,,0.000595922327,,288.4559726829268,,20.019999999999996,,428.5925905148232
13,85,39690,,13.546777507655085,,6.195951873913043,,16.683333333333334,,10.707627969238509,,0.000595922327,,348.13608097560973,,20.019999999999996,,430.9797948465305
14,92,39697,,13.546777507655085,,6.195951873913043,,16.683333333333334,,10.707627969238509,,0.000595922327,,348.13608097560973,,20.019999999999996,,430.9797948465305
15,99,39704,,13.546777507655085,,6.195951873913043,,16.683333333333334,,10.707627969238509,,0.000595922327,,348.13608097560973,,20.019999999999996,,430.9797948465305
16,106,39711,,13.546777507655085,,6.195951873913043,,16.683333333333334,,10.707627969238509,,0.000595922327,,348.13608097560973,,20.019999999999996,,430.9797948465305
17,113,39718,,13.546777507655085,,6.195951873913043,,16.683333333333334,,10.707627969238509,,0.000595922327,,348.13608097560973,,20.019999999999996,,430.9797948465305
18,120,39725,,13.546777507655085,,6.195951873913043,,16.683333333333334,,10.707627969238509,,0.000595922327,,348.13608097560973,,20.019999999999996,,430.9797948465305
19,127,39732,,13.546777507655085,,6.195951873913043,,16.683333333333334,,10.707627969238509,,0.000595922327,,348.13608097560973,,20.019999999999996,,430.9797948465305
20,134,39739,,13.546777507655085,,6.195951873913043,,16.683333333333334,,10.707627969238509,,0.000595922327,,348.13608097560973,,20.019999999999996,,430.9797948465305
21,141,39746,,13.546777507655085,,6.195951873913043,,16.683333333333334,,10.707627969238509,,0.000595922327,,348.13608097560973,,20.019999999999996,,430.9797948465305
22,148,39753,,13.546777507655085,,6.195951873913043,,16.683333333333334,,10.707627969238509,,0.000595922327,,348.13608097560973,,20.019999999999996,,430.9797948465305
23,155,39760,,13.546777507655085,,6.195951873913043,,16.683333333333334,,10.707627969238509,,0.000595922327,,348.13608097560973,,20.019999999999996,,430.9797948465305
24,162,39767,,13.546777507655085,,6.195951873913043,,16.683333333333334,,10.707627969238509,,0.000595922327,,348.13608097560973,,20.019999999999996,,430.9797948465305
25,169,39774,,13.546777507655085,,6.195951873913043,,16.683333333333334,,10.707627969238509,,0.000595922327,,348.13608097560973,,20.019999999999996,,430.9797948465305
26,176,39781,,13.546777507655085,,6.195951873913043,,16.683333333333334,,10.707627969238509,,0.000595922327,,348.13608097560973,,20.019999999999996,,430.9797948465305
27,183,39788,,13.546777507655085,,6.195951873913043,,16.683333333333334,,10.707627969238509,,0.000595922327,,348.13608097560973,,20.019999999999996,,430.9797948465305
