Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl (Lbs),Admin_Kcl_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Sin Calcio,Admin_Sulfato de Magnesio_Cambios_1,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39606,,4.19683236427221,,2.0653172913043476,,4.328141974823334,,2.7778701736935174,,0.00015459958664673903,,24.866793170731707,,20.019999999999996,,160.63465839605146
2,8,39613,,6.7033931500026736,,2.0653172913043476,,6.493614789595266,,4.1677049755762905,,0.00023194945271072287,,24.866793170731707,,20.019999999999996,,202.70437479488186
3,15,39620,,6.7033931500026736,,2.0653172913043476,,6.493614789595266,,4.1677049755762905,,0.00023194945271072287,,44.76032536585365,,20.019999999999996,,203.50011608268673
4,22,39627,,9.258394059499478,,2.0653172913043476,,8.702369024115434,,5.585318479195999,,0.00031084531464117414,,59.680108292682924,,20.019999999999996,,246.99669229112956
5,29,39634,BaZam,9.258394059499478,,2.0653172913043476,,8.702369024115434,,5.585318479195999,,0.00031084531464117414,,59.680108292682924,,20.019999999999996,1.001,627.3766922911295
6,36,39641,,9.258394059499478,,2.0653172913043476,,8.702369024115434,,5.585318479195999,,0.00031084531464117414,,84.54738975609757,,20.019999999999996,,247.99138354966615
7,43,39648,,9.258394059499478,,2.0653172913043476,,8.702369024115434,,5.585318479195999,,0.00031084531464117414,,84.54738975609757,,20.019999999999996,,247.99138354966615
8,50,39655,,8.564148425345875,,2.0653172913043476,,8.702369024115434,,5.585318479195999,,0.00031084531464117414,,114.387443902439,,20.019999999999996,,244.67238909352136
9,57,39662,TricoZam,8.564148425345875,,2.0653172913043476,,8.702369024115434,,5.585318479195999,,0.00031084531464117414,,114.387443902439,,20.019999999999996,1.001,625.0523890935212
10,64,39669,,6.773388753827542,,3.0979759369565216,,8.341666666666667,,5.353813984619254,,0.0002979611635,,144.2279863414634,,20.019999999999996,,242.3242952574116
11,71,39676,,6.773388753827542,,3.0979759369565216,,8.341666666666667,,5.353813984619254,,0.0002979611635,,144.2279863414634,,20.019999999999996,,242.3242952574116
12,78,39683,,6.773388753827542,,3.0979759369565216,,8.341666666666667,,5.353813984619254,,0.0002979611635,,144.2279863414634,,20.019999999999996,,242.3242952574116
13,85,39690,BaZam,6.773388753827542,,3.0979759369565216,,8.341666666666667,,5.353813984619254,,0.0002979611635,,174.06804048780486,,20.019999999999996,1.001,623.8978974232652
14,92,39697,,6.773388753827542,,3.0979759369565216,,8.341666666666667,,5.353813984619254,,0.0002979611635,,174.06804048780486,,20.019999999999996,,243.51789742326525
15,99,39704,,6.773388753827542,,3.0979759369565216,,8.341666666666667,,5.353813984619254,,0.0002979611635,,174.06804048780486,,20.019999999999996,,243.51789742326525
16,106,39711,,6.773388753827542,,3.0979759369565216,,8.341666666666667,,5.353813984619254,,0.0002979611635,,174.06804048780486,,20.019999999999996,,243.51789742326525
17,113,39718,TricoZam,6.773388753827542,,3.0979759369565216,,8.341666666666667,,5.353813984619254,,0.0002979611635,,174.06804048780486,,20.019999999999996,1.001,623.8978974232652
18,120,39725,,6.773388753827542,,3.0979759369565216,,8.341666666666667,,5.353813984619254,,0.0002979611635,,174.06804048780486,,20.019999999999996,,243.51789742326525
19,127,39732,,6.773388753827542,,3.0979759369565216,,8.341666666666667,,5.353813984619254,,0.0002979611635,,174.06804048780486,,20.019999999999996,,243.51789742326525
20,134,39739,,6.773388753827542,,3.0979759369565216,,8.341666666666667,,5.353813984619254,,0.0002979611635,,174.06804048780486,,20.019999999999996,,243.51789742326525
21,141,39746,BaZam,6.773388753827542,,3.0979759369565216,,8.341666666666667,,5.353813984619254,,0.0002979611635,,174.06804048780486,,20.019999999999996,1.001,623.8978974232652
22,148,39753,,6.773388753827542,,3.0979759369565216,,8.341666666666667,,5.353813984619254,,0.0002979611635,,174.06804048780486,,20.019999999999996,,243.51789742326525
23,155,39760,,6.773388753827542,,3.0979759369565216,,8.341666666666667,,5.353813984619254,,0.0002979611635,,174.06804048780486,,20.019999999999996,,243.51789742326525
24,162,39767,,6.773388753827542,,3.0979759369565216,,8.341666666666667,,5.353813984619254,,0.0002979611635,,174.06804048780486,,20.019999999999996,,243.51789742326525
25,169,39774,TricoZam,6.773388753827542,,3.0979759369565216,,8.341666666666667,,5.353813984619254,,0.0002979611635,,174.06804048780486,,20.019999999999996,,243.51789742326525
26,176,39781,,6.773388753827542,,3.0979759369565216,,8.341666666666667,,5.353813984619254,,0.0002979611635,,174.06804048780486,,20.019999999999996,,243.51789742326525
27,183,39788,,6.773388753827542,,3.0979759369565216,,8.341666666666667,,5.353813984619254,,0.0002979611635,,174.06804048780486,,20.019999999999996,,243.51789742326525
