Calendario de Fertilización para Goteo 3 Veces Por Semana,Calendario de Fertilización para Goteo 3 Veces Por Semana_1,Calendario de Fertilización para Goteo 3 Veces Por Semana_2,Calendario de Fertilización para Goteo 3 Veces Por Semana_3,Calendario de Fertilización para Goteo 3 Veces Por Semana_4,Calendario de Fertilización para Goteo 3 Veces Por Semana_5,Calendario de Fertilización para Goteo 3 Veces Por Semana_6,Calendario de Fertilización para Goteo 3 Veces Por Semana_7,Calendario de Fertilización para Goteo 3 Veces Por Semana_8,Calendario de Fertilización para Goteo 3 Veces Por Semana_9,Calendario de Fertilización para Goteo 3 Veces Por Semana_10,Calendario de Fertilización para Goteo 3 Veces Por Semana_11,Calendario de Fertilización para Goteo 3 Veces Por Semana_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18
1,1,38520,,1.2148181504493047,,0.6745064765739733,,2.1659286495372294,,1.2771042884990256,,4.104978070175439e-05,,22.90868196131354,,8.097165991902834,,91.28720316848892
2,8,38527,,1.2148181504493047,,0.6745064765739733,,2.2444856471888386,,1.2771042884990256,,4.104978070175439e-05,,22.90868196131354,,8.097165991902834,,92.20553447103623
3,15,38534,,1.943709040718887,,1.0792103625183576,,3.5911770355021404,,2.043366861598441,,6.567964912280703e-05,,41.2357174988754,,8.097165991902834,,140.88752146045056
4,22,38541,,2.6725999309884703,,1.4839142484627417,,4.937868423815443,,2.8096294346978556,,9.030951754385966e-05,,54.98065677013046,,8.097165991902834,,189.1662839784299
5,29,38548,,2.6725999309884703,,1.4839142484627417,,4.937868423815443,,2.8096294346978556,,9.030951754385966e-05,,54.98065677013046,,8.097165991902834,,189.1662839784299
6,36,38555,,4.130381711527636,,2.2933220203515097,,7.631251200442049,,4.342154580896686,,0.0001395692543859649,,77.88978857399911,,8.097165991902834,,285.32070330138816
7,43,38562,,4.130381711527636,,2.2933220203515097,,7.631251200442049,,4.342154580896686,,0.0001395692543859649,,77.88978857399911,,8.097165991902834,,285.32070330138816
8,50,38569,,5.588163492066801,,3.1027297922402775,,10.324633977068656,,5.874679727095517,,0.00018882899122807018,,105.38011695906432,,8.097165991902834,,381.8782679234918
9,57,38576,,5.588163492066801,,3.1027297922402775,,10.324633977068656,,5.874679727095517,,0.00018882899122807018,,105.38011695906432,,8.097165991902834,,381.8782679234918
10,64,38583,,7.045945272605966,,3.9121375641290466,,13.018016753695262,,7.407204873294346,,0.00023808872807017543,,132.87089518668466,,8.097165991902834,,478.43587213174015
11,71,38590,,7.045945272605966,,3.9121375641290466,,13.018016753695262,,7.407204873294346,,0.00023808872807017543,,132.87089518668466,,8.097165991902834,,478.43587213174015
12,78,38597,,7.045945272605966,,3.9121375641290466,,13.018016753695262,,7.407204873294346,,0.00023808872807017543,,132.87089518668466,,8.097165991902834,,478.43587213174015
13,85,38604,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
14,92,38611,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
15,99,38618,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
16,106,38625,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
17,113,38632,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
18,120,38639,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
19,127,38646,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
20,134,38653,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
21,141,38660,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
22,148,38667,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
23,155,38674,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
24,162,38681,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
25,169,38688,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
26,176,38695,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
27,183,38702,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
28,190,38709,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
29,197,38716,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
30,204,38723,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
31,211,38730,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
32,218,38737,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
33,225,38744,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
34,232,38751,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
35,239,38758,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
36,246,38765,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
37,253,38772,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
38,260,38779,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
39,267,38786,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
40,274,38793,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
41,281,38800,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
42,288,38807,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
43,295,38814,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
44,302,38821,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
45,309,38828,,8.50372705314513,,4.721545336017814,,15.711399530321863,,8.939730019493178,,0.0002873484649122807,,160.3612235717499,,8.097165991902834,,574.9934367538436
