Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 12-53-0 Soluble (Lbs),DAP 12-53-0 Soluble (Cambios),Sulfato de Potasio (Lbs),Sulfato de Potasio (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Usando O Calcio (Lbs),Usando O Calcio (Cambios),Ácido Bórico (Gramos),Ácido Bórico (Cambios),",@ Melaza (Lts)",",@ Melaza (Cambios)",Admin_Costo / Aplicación (Costo / Aplicación)
1,1,38520,,0.6074090752246524,,0.33725323828698667,,1.0436858259428101,,0.6385521442495128,,2.0524890350877195e-05,,11.45434098065677,,8.097165991902834,,51.05488127710035
2,8,38527,,0.6074090752246524,,0.33725323828698667,,1.1222428235944193,,0.6385521442495128,,2.0524890350877195e-05,,11.45434098065677,,8.097165991902834,,51.973212579647665
3,15,38534,,0.9718545203594435,,0.5396051812591788,,1.7955885177510702,,1.0216834307992204,,3.283982456140351e-05,,20.6178587494377,,8.097165991902834,,76.31420607435484
4,22,38541,,1.3362999654942351,,0.7419571242313708,,2.4689342119077216,,1.4048147173489278,,4.515475877192983e-05,,27.49032838506523,,8.097165991902834,,100.45358733334452
5,29,38548,,1.3362999654942351,,0.7419571242313708,,2.4689342119077216,,1.4048147173489278,,4.515475877192983e-05,,27.49032838506523,,8.097165991902834,,100.45358733334452
6,36,38555,,2.065190855763818,,1.1466610101757548,,3.8156256002210247,,2.171077290448343,,6.978462719298245e-05,,38.944894286999556,,8.097165991902834,,148.53079699482362
7,43,38562,,2.065190855763818,,1.1466610101757548,,3.8156256002210247,,2.171077290448343,,6.978462719298245e-05,,38.944894286999556,,8.097165991902834,,148.53079699482362
8,50,38569,,2.7940817460334006,,1.5513648961201387,,5.162316988534328,,2.9373398635477583,,9.441449561403509e-05,,52.69005847953216,,8.097165991902834,,196.80957930587545
9,57,38576,,2.7940817460334006,,1.5513648961201387,,5.162316988534328,,2.9373398635477583,,9.441449561403509e-05,,52.69005847953216,,8.097165991902834,,196.80957930587545
10,64,38583,,3.522972636302983,,1.9560687820645233,,6.509008376847631,,3.703602436647173,,0.00011904436403508771,,66.43544759334233,,8.097165991902834,,245.0883814099996
