Fase,Día después Siembra,Semana,N,P2O5,K20,MgO,Ca,B Gramos/Ha,Relación N:K N/(K2O/3.3),Relación Ca:Mg (1:0.5) CaO/(Mg/1.14175),Relación K:Ca (1:1) CaO/(K2O/2.29)
1.0,1.0,1,0.8650714459697101,0.44149821424149427,1.2889519950393704,0.25235580740740743,0.5069647916666667,5.0926,2.1946384653639086,0.31521177785485793,0.39331549477231054
,2.0,1,0.8650714459697101,0.44149821424149427,1.385969887139108,0.25235580740740743,0.5069647916666667,5.0926,2.041013772788435,0.2931469534050179,0.36578341013824883
,3.0,1,0.8650714459697101,0.44149821424149427,1.385969887139108,0.25235580740740743,0.5069647916666667,5.0926,2.041013772788435,0.2931469534050179,0.36578341013824883
,4.0,1,0.8650714459697101,0.44149821424149427,1.385969887139108,0.25235580740740743,0.5069647916666667,5.0926,2.041013772788435,0.2931469534050179,0.36578341013824883
,5.0,1,0.8650714459697101,0.44149821424149427,1.385969887139108,0.25235580740740743,0.5069647916666667,5.0926,2.041013772788435,0.2931469534050179,0.36578341013824883
,6.0,1,0.8650714459697101,0.44149821424149427,1.385969887139108,0.25235580740740743,0.5069647916666667,5.0926,2.041013772788435,0.2931469534050179,0.36578341013824883
,7.0,1,0.8650714459697101,0.44149821424149427,1.385969887139108,0.25235580740740743,0.5069647916666667,5.0926,2.041013772788435,0.2931469534050179,0.36578341013824883
,8.0,2,0.8650714459697101,0.44149821424149427,1.385969887139108,0.25235580740740743,0.5069647916666667,5.0926,2.041013772788435,0.2931469534050179,0.36578341013824883
,9.0,2,0.8650714459697101,0.44149821424149427,1.385969887139108,0.25235580740740743,0.5069647916666667,5.0926,2.041013772788435,0.2931469534050179,0.36578341013824883
,10.0,2,0.8650714459697101,0.44149821424149427,1.385969887139108,0.25235580740740743,0.5069647916666667,5.0926,2.041013772788435,0.2931469534050179,0.36578341013824883
,11.0,2,1.384114313551536,0.706397142786391,2.217551819422572,0.4037692918518519,0.8111436666666667,9.1667,2.0410137727884354,0.293146953405018,0.36578341013824894
,12.0,2,1.384114313551536,0.706397142786391,2.217551819422572,0.4037692918518519,0.8111436666666667,9.1667,2.0410137727884354,0.293146953405018,0.36578341013824894
