Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Sulfato de Potasio (Lbs),Sulfato de Potasio (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),",@ Melaza (Lts)",",@ Melaza (Cambios)",Admin_Costo / Aplicación (Costo / Aplicación)
2,14,38533,,18.358722600170626,,25.681699442743604,,33.2369756305125,,23.08123307674479,,13.447889299616012,,427.70923317073164,,20.019999999999996,,686.117465194994
4,28,38547,,45.95882921191365,,64.29101110497639,,83.20472615611408,,57.781059830634774,,33.665155307484675,,790.7621673170731,,20.019999999999996,,1665.1234506671453
6,42,38561,,45.95882921191365,,64.29101110497639,,83.20472615611408,,57.781059830634774,,33.665155307484675,,1084.1943307317072,,20.019999999999996,,1674.3959070310477
8,56,38575,,45.95882921191365,,64.29101110497639,,83.20472615611408,,57.781059830634774,,33.665155307484675,,1452.2239439024386,,20.019999999999996,,1686.0256428072428
10,70,38589,,44.72330365598597,,64.29101110497639,,83.20472615611408,,57.781059830634774,,33.665155307484675,,1840.148554146341,,20.019999999999996,,1694.3303787119817
12,84,38603,,53.946297369724064,,45.92214149328691,,100.20965651884687,,69.59003924919922,,41.52007992607965,,2138.5520253658533,,20.019999999999996,,1659.4539006355633
14,98,38617,,60.40099102010591,,35.71721393123719,,107.01162866394,,74.313631016625,,44.81365777777778,,2436.9525668292686,,20.019999999999996,,1626.510339380328
16,112,38631,,60.40099102010591,,35.71721393123719,,107.01162866394,,74.313631016625,,44.81365777777778,,2436.9525668292686,,20.019999999999996,,1626.510339380328
18,126,38645,,60.40099102010591,,35.71721393123719,,107.01162866394,,74.313631016625,,44.81365777777778,,2436.9525668292686,,20.019999999999996,,1626.510339380328
20,140,38659,,60.40099102010591,,35.71721393123719,,107.01162866394,,74.313631016625,,44.81365777777778,,2436.9525668292686,,20.019999999999996,,1626.510339380328
22,154,38673,,60.40099102010591,,35.71721393123719,,107.01162866394,,74.313631016625,,44.81365777777778,,2436.9525668292686,,20.019999999999996,,1626.510339380328
24,168,38687,,60.40099102010591,,35.71721393123719,,107.01162866394,,74.313631016625,,44.81365777777778,,2436.9525668292686,,20.019999999999996,,1626.510339380328
26,182,38701,,60.40099102010591,,35.71721393123719,,107.01162866394,,74.313631016625,,44.81365777777778,,2436.9525668292686,,20.019999999999996,,1626.510339380328
28,196,38715,,60.40099102010591,,35.71721393123719,,107.01162866394,,74.313631016625,,44.81365777777778,,2436.9525668292686,,20.019999999999996,,1626.510339380328
30,210,38729,,60.40099102010591,,35.71721393123719,,107.01162866394,,74.313631016625,,44.81365777777778,,2436.9525668292686,,20.019999999999996,,1626.510339380328
32,224,38743,,60.40099102010591,,35.71721393123719,,107.01162866394,,74.313631016625,,44.81365777777778,,2436.9525668292686,,20.019999999999996,,1626.510339380328
34,238,38757,,60.40099102010591,,35.71721393123719,,107.01162866394,,74.313631016625,,44.81365777777778,,2436.9525668292686,,20.019999999999996,,1626.510339380328
36,252,38771,,60.40099102010591,,35.71721393123719,,107.01162866394,,74.313631016625,,44.81365777777778,,2436.9525668292686,,20.019999999999996,,1626.510339380328
38,266,38785,,60.40099102010591,,35.71721393123719,,107.01162866394,,74.313631016625,,44.81365777777778,,2436.9525668292686,,20.019999999999996,,1626.510339380328
40,280,38799,,60.40099102010591,,35.71721393123719,,107.01162866394,,74.313631016625,,44.81365777777778,,2436.9525668292686,,20.019999999999996,,1626.510339380328
42,294,38813,,60.40099102010591,,35.71721393123719,,107.01162866394,,74.313631016625,,44.81365777777778,,2436.9525668292686,,20.019999999999996,,1626.510339380328
44,308,38827,,60.40099102010591,,35.71721393123719,,107.01162866394,,74.313631016625,,44.81365777777778,,2436.9525668292686,,20.019999999999996,,1626.510339380328
46,322,38841,,60.40099102010591,,35.71721393123719,,107.01162866394,,74.313631016625,,44.81365777777778,,2436.9525668292686,,20.019999999999996,,1626.510339380328
48,336,38855,,60.40099102010591,,35.71721393123719,,107.01162866394,,74.313631016625,,44.81365777777778,,2436.9525668292686,,20.019999999999996,,1626.510339380328
50,350,38869,,60.40099102010591,,35.71721393123719,,107.01162866394,,74.313631016625,,44.81365777777778,,2436.9525668292686,,20.019999999999996,,1626.510339380328
52,364,38883,,60.40099102010591,,35.71721393123719,,107.01162866394,,74.313631016625,,44.81365777777778,,2436.9525668292686,,20.019999999999996,,1626.510339380328
