Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,MAP 12-61-0 (Lbs),Admin_MAP 12-61-0_Cambios,Sulfato de Potasio (Lbs),Admin_Sulfato de Potasio_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,38520,,1.3113373285836165,,1.8344071030531146,,2.37406968789375,,1.6486595054817708,,0.9605635214011435,,24.866793170731707,,20.019999999999996,,75.78428019468075
2,8,38527,,1.3113373285836165,,1.8344071030531146,,2.37406968789375,,1.6486595054817708,,0.9605635214011435,,24.866793170731707,,20.019999999999996,,75.78428019468075
3,15,38534,,3.282773515136689,,4.592215078926885,,5.943194725436719,,4.127218559331055,,2.40465395053462,,44.76032536585365,,20.019999999999996,,145.52245243726995
4,22,38541,,3.282773515136689,,4.592215078926885,,5.943194725436719,,4.127218559331055,,2.40465395053462,,59.680108292682924,,20.019999999999996,,145.99391757775774
5,29,38548,,3.282773515136689,,4.592215078926885,,5.943194725436719,,4.127218559331055,,2.40465395053462,,59.680108292682924,,20.019999999999996,,145.99391757775774
6,36,38555,,3.282773515136689,,4.592215078926885,,5.943194725436719,,4.127218559331055,,2.40465395053462,,84.54738975609757,,20.019999999999996,,146.77972367200164
7,43,38562,,3.282773515136689,,4.592215078926885,,5.943194725436719,,4.127218559331055,,2.40465395053462,,84.54738975609757,,20.019999999999996,,146.77972367200164
8,50,38569,,3.282773515136689,,4.592215078926885,,5.943194725436719,,4.127218559331055,,2.40465395053462,,114.387443902439,,20.019999999999996,,147.72266938302604
9,57,38576,,3.282773515136689,,4.592215078926885,,5.943194725436719,,4.127218559331055,,2.40465395053462,,114.387443902439,,20.019999999999996,,147.72266938302604
10,64,38583,,3.282773515136689,,4.592215078926885,,5.943194725436719,,4.127218559331055,,2.40465395053462,,144.2279863414634,,20.019999999999996,,148.6656305240992
11,71,38590,,2.870931663160796,,4.592215078926885,,5.943194725436719,,4.127218559331055,,2.40465395053462,,144.2279863414634,,20.019999999999996,,147.34773659777636
12,78,38597,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,144.2279863414634,,20.019999999999996,,142.1918642447133
13,85,38604,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
14,92,38611,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
15,99,38618,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
16,106,38625,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
17,113,38632,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
18,120,38639,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
19,127,38646,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
20,134,38653,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
21,141,38660,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
22,148,38667,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
23,155,38674,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
24,162,38681,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
25,169,38688,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
26,176,38695,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
27,183,38702,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
28,190,38709,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
29,197,38716,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
30,204,38723,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
31,211,38730,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
32,218,38737,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
33,225,38744,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
34,232,38751,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
35,239,38758,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
36,246,38765,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
37,253,38772,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
38,260,38779,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
39,267,38786,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
40,274,38793,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
41,281,38800,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
42,288,38807,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
43,295,38814,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
44,302,38821,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
45,309,38828,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
46,316,38835,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
47,323,38842,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
48,330,38849,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
49,337,38856,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
50,344,38863,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,,,114.1058099557377
51,351,38870,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,20.019999999999996,,143.1348099557377
52,358,38877,,4.314356501436137,,2.5512295665169424,,7.64368776171,,5.3081165011875,,3.2009755555555546,,174.06804048780486,,,,114.1058099557377
