nombre,formula,precio,n,p2o5,k2o,mgo,cao,so3,b,unidad
Ácido Fosforico 54%,54%.,23.5,0.0,200.0,0.0,0.0,0.0,0.0,0.0,Lts
DAP 18-46-0,18-46-0,340.0,18.0,46.0,0.0,0.0,0.0,0.0,0.0,Lbs
DAP 21-53-0 Soluble,21-53-0,670.0,21.0,53.0,0.0,0.0,0.0,0.0,0.0,Lbs
MAP 12-61-0,12-61-0,1200.0,12.0,61.0,0.0,0.0,0.0,0.0,0.0,Lbs
Acido Fosforoso,0-60-0,50.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,Lts
Nitrato de Amonio,33.5-0-0,320.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Sulfato de Amonio,21-0-0,218.0,21.0,0.0,0.0,0.0,0.0,58.8,0.0,Lbs
Urea,46-0-0,330.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Kcl,0-0-60,290.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,Lbs
Nitrato de Potasio,13-0-46,521.0,13.0,0.0,46.0,0.0,0.0,0.0,0.0,Lbs
Sulfato de Potasio,0-0-50,365.0,0.0,0.0,52.0,0.0,0.0,47.5,0.0,Lbs
Kcl Soluble,0-0-60,400.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,Lbs
Sulpomag (K Mag),0-0-22-11-22,,0.0,0.0,22.0,11.0,0.0,22.0,0.0,Lbs
Nitrato de Magnesio,11-0-0-0-15.7,535.0,11.0,0.0,0.0,15.7,0.0,0.0,0.0,Lbs
Sulfato de Magnesio,0-0-0-31.7-16,370.0,0.0,0.0,0.0,16.0,0.0,31.7,0.0,Lbs
Aquafeed Mg Liquido,0-0-0-0-10,2.85,0.0,0.0,0.0,10.0,0.0,8.0,0.0,Lts
Sin Magnecio,0-0-0-0-0,,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,Lbs
Nitrato de Calcio,15.5-0-0-27,520.0,15.5,0.0,0.0,0.0,27.0,0.0,0.0,Lbs
Sin Calcio,0-0-0-0,,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,Lbs
Ácido Bórico,0-0-0-0-0-0-18,0.0179,0.0,0.0,0.0,0.0,0.0,0.0,18.0,Gramos
Solubor,0-0-0-0-0-0-20.5,0.0316,0.0,0.0,0.0,0.0,0.0,0.0,20.5,Gramos
Sin Boro,0-0-0-0-0-0-0,,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,Lbs
