Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39852,,2.6909390098441746,,9.619609999999998,,5.176004166666666,,3.3220415774562473,,6.8475889611759255,,0.010195385199999999,,40.03999999999999,,381.1680600022446
2,8,39859,,2.6909390098441746,,9.619609999999998,,5.176004166666666,,3.3220415774562473,,6.8475889611759255,,0.010195385199999999,,40.03999999999999,,381.1680600022446
3,15,39866,,12.919295787120427,,9.619609999999998,,11.9119,,7.645246370036296,,15.758834869555553,,0.018351733399999997,,40.03999999999999,,622.7894504243029
4,22,39873,,12.919295787120427,,9.619609999999998,,11.9119,,7.645246370036296,,15.758834869555553,,0.0244688444,,40.03999999999999,,622.7894504243029
5,29,39880,,15.933028663778042,,6.615739565217391,,12.833682528333329,,8.236861018304266,,16.978306041211322,,0.0244688444,,40.03999999999999,,629.8149258997639
6,36,39887,,14.987367640461692,,6.615739565217391,,14.80807995333333,,9.504060604137786,,19.590332920840158,,0.0346644298,,40.03999999999999,,676.1866963573965
7,43,39894,,14.987367640461692,,6.615739565217391,,14.80807995333333,,9.504060604137786,,19.590332920840158,,0.0346644298,,40.03999999999999,,676.1866963573965
8,50,39901,,9.261725077626277,,6.615739565217391,,16.584938369999996,,10.64447652100153,,21.941025788882193,,0.04689885199999999,,40.03999999999999,,687.6964682023203
9,57,39908,,9.261725077626277,,6.615739565217391,,16.584938369999996,,10.64447652100153,,21.941025788882193,,0.04689885199999999,,40.03999999999999,,687.6964682023203
10,64,39915,,9.261725077626277,,6.615739565217391,,16.584938369999996,,10.64447652100153,,21.941025788882193,,0.05913347439999999,,40.03999999999999,,687.6964682023203
11,71,39922,,9.261725077626277,,6.615739565217391,,16.584938369999996,,10.64447652100153,,21.941025788882193,,0.05913347439999999,,40.03999999999999,,687.6964682023203
12,78,39929,,9.261725077626277,,6.615739565217391,,16.584938369999996,,10.64447652100153,,21.941025788882193,,0.05913347439999999,,40.03999999999999,,687.6964682023203
13,85,39936,,9.261725077626277,,6.615739565217391,,16.584938369999996,,10.64447652100153,,21.941025788882193,,0.0713678966,,40.03999999999999,,687.6964682023203
