Fase,Día Después Siembra,Semana,N,P2O5,K20,MgO,CaO,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O
,1.0,1,1.8453399886513822,2.2103,1.55125,0.2654978283681317,0.9235010087500001,5.0926,4,0.39999999999999997,0.5
,2.0,1,1.8453399886513822,2.2103,1.55125,0.2654978283681317,0.9235010087500001,5.0926,4,0.39999999999999997,0.5
,3.0,1,1.8453399886513822,2.2103,1.55125,0.2654978283681317,0.9235010087500001,5.0926,4,0.39999999999999997,0.5
,4.0,1,1.8453399886513822,2.2103,1.55125,0.2654978283681317,0.9235010087500001,5.0926,4,0.39999999999999997,0.5
,5.0,1,1.8453399886513822,2.2103,1.55125,0.2654978283681317,0.9235010087500001,5.0926,4,0.39999999999999997,0.5
,6.0,1,1.8453399886513822,2.2103,1.55125,0.2654978283681317,0.9235010087500001,5.0926,4,0.39999999999999997,0.5
,7.0,1,1.8453399886513822,2.2103,1.55125,0.2654978283681317,0.9235010087500001,5.0926,4,0.39999999999999997,0.5
,8.0,2,1.8453399886513822,2.2103,1.55125,0.2654978283681317,0.9235010087500001,5.0926,4,0.39999999999999997,0.5
,9.0,2,1.8453399886513822,2.2103,1.55125,0.2654978283681317,0.9235010087500001,5.0926,4,0.39999999999999997,0.5
,10.0,2,1.8453399886513822,2.2103,1.55125,0.2654978283681317,0.9235010087500001,5.0926,4,0.39999999999999997,0.5
,11.0,2,1.8453399886513822,2.2103,1.55125,0.2654978283681317,0.9235010087500001,9.1667,4,0.39999999999999997,0.5
,12.0,2,1.8453399886513822,2.2103,1.55125,0.2654978283681317,0.9235010087500001,9.1667,4,0.39999999999999997,0.5
,13.0,2,1.8453399886513822,2.2103,1.55125,0.2654978283681317,0.9235010087500001,9.1667,4,0.39999999999999997,0.5
,14.0,2,1.8453399886513822,2.2103,1.55125,0.2654978283681317,0.9235010087500001,9.1667,4,0.39999999999999997,0.5
,15.0,3,4.246809836896331,2.2103,3.57,0.6110087009020018,2.12531739,9.1667,4,0.4000000000000001,0.5
,16.0,3,4.246809836896331,2.2103,3.57,0.6110087009020018,2.12531739,9.1667,4,0.4000000000000001,0.5
