Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,MAP 12-61-0 (Lbs),Admin_MAP 12-61-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
2,1,39815,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,427.70923317073175,,20.019999999999996,,1612.3854137172625
4,15,39829,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,790.7621673170731,,20.019999999999996,,1626.9075310831163
6,29,39843,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,1084.1943307317076,,20.019999999999996,,1638.6448176197016
8,43,39857,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,1452.2239439024388,,20.019999999999996,,1653.3660021465307
10,57,39871,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,1840.148554146341,,20.019999999999996,,1668.8829865562868
12,71,39885,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,2138.5520253658533,,20.019999999999996,,1680.8191254050673
14,85,39899,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,2436.952566829269,,20.019999999999996,,1692.755147063604
16,99,39913,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,2436.952566829269,,20.019999999999996,,1692.755147063604
18,113,39927,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,2436.952566829269,,20.019999999999996,,1692.755147063604
20,127,39941,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,2436.952566829269,,20.019999999999996,,1692.755147063604
22,141,39955,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,2436.952566829269,,20.019999999999996,,1692.755147063604
24,155,39969,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,2436.952566829269,,20.019999999999996,,1692.755147063604
26,169,39983,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,2436.952566829269,,20.019999999999996,,1692.755147063604
28,183,39997,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,2436.952566829269,,20.019999999999996,,1692.755147063604
30,197,40011,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,2436.952566829269,,20.019999999999996,,1692.755147063604
32,211,40025,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,2436.952566829269,,20.019999999999996,,1692.755147063604
34,225,40039,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,2436.952566829269,,20.019999999999996,,1692.755147063604
36,239,40053,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,2436.952566829269,,20.019999999999996,,1692.755147063604
38,253,40067,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,2436.952566829269,,20.019999999999996,,1692.755147063604
40,267,40081,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,2436.952566829269,,20.019999999999996,,1692.755147063604
42,281,40095,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,2436.952566829269,,20.019999999999996,,1692.755147063604
44,295,40109,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,2436.952566829269,,20.019999999999996,,1692.755147063604
46,309,40123,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,2436.952566829269,,20.019999999999996,,1692.755147063604
48,223,40037,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,2436.952566829269,,20.019999999999996,,1692.755147063604
50,337,40151,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,2436.952566829269,,20.019999999999996,,1692.755147063604
52,351,40165,,16.576701735860436,,21.875624262295087,,28.01083753009209,,17.97779984289768,,37.05690638728251,,2436.952566829269,,20.019999999999996,,1692.755147063604
