Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39815,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,49.733586341463415,,20.019999999999996,,277.9340640808632
2,8,39822,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,49.733586341463415,,20.019999999999996,,277.9340640808632
3,15,39829,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,89.5206507317073,,20.019999999999996,,279.525546656473
4,22,39836,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,119.36021658536585,,20.019999999999996,,280.7191292906193
5,29,39843,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,119.36021658536585,,20.019999999999996,,280.7191292906193
6,36,39850,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,169.09477951219515,,20.019999999999996,,282.7085118076925
7,43,39857,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,169.09477951219515,,20.019999999999996,,282.7085118076925
8,50,39864,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,228.774887804878,,20.019999999999996,,285.0957161393998
9,57,39871,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,228.774887804878,,20.019999999999996,,285.0957161393998
10,64,39878,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,288.4559726829268,,20.019999999999996,,287.4829595345218
11,71,39885,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,288.4559726829268,,20.019999999999996,,287.4829595345218
12,78,39892,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,288.4559726829268,,20.019999999999996,,287.4829595345218
13,85,39899,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
14,92,39906,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
15,99,39913,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
16,106,39920,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
17,113,39927,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
18,120,39934,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
19,127,39941,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
20,134,39948,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
21,141,39955,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
22,148,39962,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
23,155,39969,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
24,162,39976,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
25,169,39983,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
26,176,39990,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
27,183,39997,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
28,190,40004,,2.368100247980062,,3.1250891803278686,,4.001548218584583,,2.568257120413955,,5.293843769611786,,348.13608097560973,,20.019999999999996,,289.87016386622906
